"file","action","publish_year","target_year","from_year","to_path"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\22_sheep-population.pdf","already_correct","2022","2023","2023","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\22_sheep-population.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\9E134C35__2022-24_conservation_permits.pdf","already_correct","2022","2023","2023","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\9E134C35__2022-24_conservation_permits.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\F6824B0F__22-23_sportsman_odds.pdf","moved","2023","2024","2023","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\F6824B0F__22-23_sportsman_odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\08B0DC78__23_youth_deer.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\08B0DC78__23_youth_deer.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\26F98064__23_youth_dh_odds.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\26F98064__23_youth_dh_odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\33976145__23_bg-odds.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\33976145__23_bg-odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\33C56D87__2023 DEER ODDS.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\33C56D87__2023 DEER ODDS.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\45424E60__23_youth_elk.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\45424E60__23_youth_elk.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\86B01066__23_deer_odds.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\86B01066__23_deer_odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\9CF6A0CF__2023_turkey_bonus_points_draw_results.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\9CF6A0CF__2023_turkey_bonus_points_draw_results.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\AC1194F9__2023_cougar_odds_report.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\AC1194F9__2023_cougar_odds_report.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\C1465317__23_lifetime_deer.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\C1465317__23_lifetime_deer.pdf"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf","already_correct","2023","2024","2024","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf"
