filename,final_path,doc_type,doc_type_semantic,publish_year,reported_hunt_year_inferred,model_target_year,target_year_rule,year_mismatch_flag,needs_relocation,recommended_year_folder,recommended_path
04F508BD__2013_all_species_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\04F508BD__2013_all_species_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\04F508BD__2013_all_species_hr.pdf
1400385D__2013_moose_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\1400385D__2013_moose_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\1400385D__2013_moose_hr.pdf
31B5012A__2013_mg_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\31B5012A__2013_mg_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\31B5012A__2013_mg_hr.pdf
3C5A3350__2013_rmbs_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\3C5A3350__2013_rmbs_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\3C5A3350__2013_rmbs_hr.pdf
58DF2D11__2013_gs_deer_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\58DF2D11__2013_gs_deer_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\58DF2D11__2013_gs_deer_hr.pdf
8949AE45__2013_le_elk_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\8949AE45__2013_le_elk_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\8949AE45__2013_le_elk_hr.pdf
8995B15E__2013_bison_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\8995B15E__2013_bison_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\8995B15E__2013_bison_hr.pdf
BA46974B__2013_le_pronghorn_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\BA46974B__2013_le_pronghorn_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\BA46974B__2013_le_pronghorn_hr.pdf
FA55B0D7__2013_le_deer_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\FA55B0D7__2013_le_deer_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\FA55B0D7__2013_le_deer_hr.pdf
FB91F4A9__2013_dbs_hr.pdf,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2013\pdf\harvest_report\FB91F4A9__2013_dbs_hr.pdf,harvest_report,harvest_report,2013,2013,2014,draw_or_harvest_reported_year_plus_one,no,yes,2014,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\FB91F4A9__2013_dbs_hr.pdf
