species,publish_year,href,url
black_bear,2020,/pdf/bear/20_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/20_drawing_odds.pdf
black_bear,2021,/pdf/bear/21_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/21_drawing_odds.pdf
black_bear,2022,/pdf/bear/22_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/22_drawing_odds.pdf
black_bear,2023,/pdf/bear/23_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/23_drawing_odds.pdf
black_bear,2024,/pdf/bear/24_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/24_drawing_odds.pdf
black_bear,2025,/pdf/bear/25_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/25_drawing_odds.pdf
turkey,2020,/pdf/uplandgame/turkey/2020_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2020_turkey_bonus_points_draw_results.pdf
turkey,2020,/pdf/uplandgame/turkey/2020_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2020_youth_turkey_draw_results.pdf
turkey,2021,/pdf/uplandgame/turkey/2021_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2021_turkey_bonus_points_draw_results.pdf
turkey,2021,/pdf/uplandgame/turkey/2021_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2021_youth_turkey_draw_results.pdf
turkey,2022,/pdf/uplandgame/turkey/2022_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2022_turkey_bonus_points_draw_results.pdf
turkey,2022,/pdf/uplandgame/turkey/2022_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2022_youth_turkey_draw_results.pdf
turkey,2023,/pdf/uplandgame/turkey/2023_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2023_turkey_bonus_points_draw_results.pdf
turkey,2023,/pdf/uplandgame/turkey/2023_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2023_youth_turkey_draw_results.pdf
turkey,2024,/pdf/uplandgame/turkey/2024_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_turkey_bonus_points_draw_results.pdf
turkey,2024,/pdf/uplandgame/turkey/2024_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_youth_turkey_draw_results.pdf
turkey,2025,/pdf/uplandgame/turkey/2025_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_turkey_bonus_points_draw_results.pdf
turkey,2025,/pdf/uplandgame/turkey/2025_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_youth_turkey_draw_results.pdf
