original_path,final_path,doc_type,publish_year,model_target_year,year_method,model_target_rule,confidence,action,duplicate_of
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\04F508BD__2013_all_species_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\04F508BD__2013_all_species_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\1400385D__2013_moose_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\1400385D__2013_moose_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\2DF9DC45__2013_all_species_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\2DF9DC45__2013_all_species_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\31B5012A__2013_mg_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\31B5012A__2013_mg_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\3C5A3350__2013_rmbs_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\3C5A3350__2013_rmbs_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\40C42161__2013_moose_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\40C42161__2013_moose_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\58DF2D11__2013_gs_deer_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\58DF2D11__2013_gs_deer_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\643DBA53__2013_rmbs_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\643DBA53__2013_rmbs_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\696130B3__2013_dbs_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\696130B3__2013_dbs_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest\6AF0B015__2013_bison_hr.pdf,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2013\pdf\harvest_report\6AF0B015__2013_bison_hr.pdf,harvest_report,2013,2013,filename_year,harvest_hr_applies_to_report_year,high,moved,
