"source","status","dest"
"D:\DOWNLOADS\2021_antlerless_hr.pdf","duplicate_skipped","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest_report\e8ee2db2__Antlerless big game.pdf"
"D:\DOWNLOADS\2026-03-06-2025-preliminary-bg-harvest (4).pdf","duplicate_skipped","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\harvest_report\DA091461__2026-03-06-2025-preliminary-bg-harvest.pdf"
