source_path,filename,source_year_folder,inferred_year,inferred_year_method,doc_type,confidence,move_now,dest_path,action,action_note,final_path
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\82BF7762__upland_turkey_guidebook.pdf,82BF7762__upland_turkey_guidebook.pdf,2025,,none,regulation,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\82BF7762__upland_turkey_guidebook.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\82BF7762__upland_turkey_guidebook.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\8C1294DD__2025-27_conservation_permits.pdf,8C1294DD__2025-27_conservation_permits.pdf,2025,2025,name_4digit,regulation,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\8C1294DD__2025-27_conservation_permits.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\8C1294DD__2025-27_conservation_permits.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\9C4DAAFC__black-bear-and-cougar-guidebook.pdf,9C4DAAFC__black-bear-and-cougar-guidebook.pdf,2025,,none,regulation,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\9C4DAAFC__black-bear-and-cougar-guidebook.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\9C4DAAFC__black-bear-and-cougar-guidebook.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\A113CD63__2025-12-01-Hunting Outfitting and Guiding Operating Plan Form_0.pdf,A113CD63__2025-12-01-Hunting Outfitting and Guiding Operating Plan Form_0.pdf,2025,2025,name_4digit,other_hunt,manual_review,no,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\manual_review\A113CD63__2025-12-01-Hunting Outfitting and Guiding Operating Plan Form_0.pdf,manual_review,not high-confidence database routing,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\2F49C188__Registered_Outfitters DWR - Table 1.pdf,2F49C188__Registered_Outfitters DWR - Table 1.pdf,2026,,none,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\2F49C188__Registered_Outfitters DWR - Table 1.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\2F49C188__Registered_Outfitters DWR - Table 1.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\50654F6F__Decision_Record_Q1_2026_CCFO_Hunting_Guides[1].pdf,50654F6F__Decision_Record_Q1_2026_CCFO_Hunting_Guides[1].pdf,2026,2026,name_4digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\50654F6F__Decision_Record_Q1_2026_CCFO_Hunting_Guides[1].pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\50654F6F__Decision_Record_Q1_2026_CCFO_Hunting_Guides[1].pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\53106507__Q1_2026_CCFO_Hunting_Guide_SRPs[1].pdf,53106507__Q1_2026_CCFO_Hunting_Guide_SRPs[1].pdf,2026,2026,name_4digit,other_hunt,manual_review,no,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\manual_review\53106507__Q1_2026_CCFO_Hunting_Guide_SRPs[1].pdf,manual_review,not high-confidence database routing,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\60A861A3__25_youth_deer.pdf,60A861A3__25_youth_deer.pdf,2026,2025,name_2digit,draw_odds,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\60A861A3__25_youth_deer.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\60A861A3__25_youth_deer.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\735D2FA0__Registered_Outfitters DWR - Table 1 (2026_03_09 00_04_09 UTC).pdf,735D2FA0__Registered_Outfitters DWR - Table 1 (2026_03_09 00_04_09 UTC).pdf,2026,2026,name_4digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\735D2FA0__Registered_Outfitters DWR - Table 1 (2026_03_09 00_04_09 UTC).pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\735D2FA0__Registered_Outfitters DWR - Table 1 (2026_03_09 00_04_09 UTC).pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\7F57507F__March 2026 Hunting SRPs.pdf,7F57507F__March 2026 Hunting SRPs.pdf,2026,2026,name_4digit,other_hunt,manual_review,no,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\manual_review\7F57507F__March 2026 Hunting SRPs.pdf,manual_review,not high-confidence database routing,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\8083A3C2__HR_1800010118000101 (2026_01_20 21_16_43 UTC).pdf,8083A3C2__HR_1800010118000101 (2026_01_20 21_16_43 UTC).pdf,2026,2026,name_4digit,other_hunt,manual_review,no,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\manual_review\8083A3C2__HR_1800010118000101 (2026_01_20 21_16_43 UTC).pdf,manual_review,not high-confidence database routing,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\A6BF2F60__DWR LOGO.pdf,A6BF2F60__DWR LOGO.pdf,2026,1960,name_2digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\A6BF2F60__DWR LOGO.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\A6BF2F60__DWR LOGO.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\B09A3366__U.O.G.A. Hunt Planner _ VERIFIED OUTFITTERS.pdf,B09A3366__U.O.G.A. Hunt Planner _ VERIFIED OUTFITTERS.pdf,2026,,none,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\B09A3366__U.O.G.A. Hunt Planner _ VERIFIED OUTFITTERS.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\B09A3366__U.O.G.A. Hunt Planner _ VERIFIED OUTFITTERS.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\BD4A74DA__HR3_1800010118000101 (2026_01_20 21_16_43 UTC).pdf,BD4A74DA__HR3_1800010118000101 (2026_01_20 21_16_43 UTC).pdf,2026,2026,name_4digit,other_hunt,manual_review,no,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\manual_review\BD4A74DA__HR3_1800010118000101 (2026_01_20 21_16_43 UTC).pdf,manual_review,not high-confidence database routing,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\BEFCE572__25_youth_elk.pdf,BEFCE572__25_youth_elk.pdf,2026,2025,name_2digit,draw_odds,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\BEFCE572__25_youth_elk.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\BEFCE572__25_youth_elk.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\EABAF1E2__25_lifetime_deer (1).pdf,EABAF1E2__25_lifetime_deer (1).pdf,2026,2025,name_2digit,draw_odds,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\EABAF1E2__25_lifetime_deer (1).pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\EABAF1E2__25_lifetime_deer (1).pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2026\other\F5DCB9FA__Contract-to-Book-Your-Hunt (2026_01_10 09_18_30 UTC).pdf,F5DCB9FA__Contract-to-Book-Your-Hunt (2026_01_10 09_18_30 UTC).pdf,2026,2026,name_4digit,other_hunt,manual_review,no,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\manual_review\F5DCB9FA__Contract-to-Book-Your-Hunt (2026_01_10 09_18_30 UTC).pdf,manual_review,not high-confidence database routing,
