"source_path","filename","size_bytes","publish_year_detected","target_year","doc_type_guess","rule_applied","staged_path"
"D:\Downloads\Data\25_youth_elk.pdf","25_youth_elk.pdf","93296","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\BEFCE572__25_youth_elk.pdf"
"D:\Downloads\David Baker Hunt Contract 2024  2.pdf","David Baker Hunt Contract 2024  2.pdf","1887294","2024","2024","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2024\other\097E3DE2__David Baker Hunt Contract 2024  2.pdf"
"D:\Downloads\Decision_Record_Q1_2026_CCFO_Hunting_Guides[1].pdf","Decision_Record_Q1_2026_CCFO_Hunting_Guides[1].pdf","262379","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\50654F6F__Decision_Record_Q1_2026_CCFO_Hunting_Guides[1].pdf"
"D:\Downloads\DM DNF Outfitter_Guide_Special_Use_permit_renewal_2020_0330_signed (1).pdf","DM DNF Outfitter_Guide_Special_Use_permit_renewal_2020_0330_signed (1).pdf","373289","2020","2020","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2020\other\3B1EC975__DM DNF Outfitter_Guide_Special_Use_permit_renewal_2020_0330_signed (1).pdf"
"D:\Downloads\DWR LOGO.pdf","DWR LOGO.pdf","1895772","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\A6BF2F60__DWR LOGO.pdf"
"D:\Downloads\HR_1800010118000101 (2026_01_20 21_16_43 UTC).pdf","HR_1800010118000101 (2026_01_20 21_16_43 UTC).pdf","106306","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\8083A3C2__HR_1800010118000101 (2026_01_20 21_16_43 UTC).pdf"
"D:\Downloads\HR3_1800010118000101 (2026_01_20 21_16_43 UTC).pdf","HR3_1800010118000101 (2026_01_20 21_16_43 UTC).pdf","35402","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\BD4A74DA__HR3_1800010118000101 (2026_01_20 21_16_43 UTC).pdf"
"D:\Downloads\March 2026 Hunting SRPs.pdf","March 2026 Hunting SRPs.pdf","427793","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\7F57507F__March 2026 Hunting SRPs.pdf"
"D:\Downloads\Matt Lacek Hunt Contract Archery Mature Bull Manti 2024.pdf","Matt Lacek Hunt Contract Archery Mature Bull Manti 2024.pdf","1652759","2024","2024","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2024\other\823F96E2__Matt Lacek Hunt Contract Archery Mature Bull Manti 2024.pdf"
"D:\Downloads\Q1_2026_CCFO_Hunting_Guide_SRPs[1].pdf","Q1_2026_CCFO_Hunting_Guide_SRPs[1].pdf","679885","2026","2026","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\other\53106507__Q1_2026_CCFO_Hunting_Guide_SRPs[1].pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\2023 Outfitter.pdf","2023 Outfitter.pdf","3929839","2023","2023","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\other\36011E1E__2023 Outfitter.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\2023 SSEO Commercial Price V1.0 OPTIC PRO ONLY - 15DEC22.pdf","2023 SSEO Commercial Price V1.0 OPTIC PRO ONLY - 15DEC22.pdf","342779","2023","2023","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\other\E54ABC77__2023 SSEO Commercial Price V1.0 OPTIC PRO ONLY - 15DEC22.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\2023_conservation_permit_bids.pdf","2023_conservation_permit_bids.pdf","208111","2023","2023","other","default_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\other\527EA474__2023_conservation_permit_bids.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\2023_turkey_bonus_points_draw_results.pdf","2023_turkey_bonus_points_draw_results.pdf","131980","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\9CF6A0CF__2023_turkey_bonus_points_draw_results.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\2023_youth_turkey_draw_results (1).pdf","2023_youth_turkey_draw_results (1).pdf","126549","2023","2023","draw_odds","draw_odds_same_year","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf"
