"source","status","dest","publish_year","species_hint"
"D:\UOGA HUNTS\ARCHIVE\BUCK DEER.xlsx","copied","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\\xlsx\BUCK DEER.xlsx","2026","deer"
"D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\xlsx\2026 Elk.xlsx","already_exists","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\\xlsx\2026 Elk.xlsx","2026","elk"
