"type","kept_path","moved_from","moved_to","size_bytes","hash"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest_report\03E16E00__2021-north-slope-red-canyon.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest_report\8D5177C0__2021-north-slope-red-canyon.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\8D5177C0__2021-north-slope-red-canyon.pdf","84600","AA7947F29A54F4AAB105F2964C322F23EE814DC7"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other_hunt\2026-04-rac-packet shortened.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other_hunt\1FC9FA77__2026-04-rac-packet shortened.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\1FC9FA77__2026-04-rac-packet shortened.pdf","4260310","538A507D9B7F260D31C8CFF02772CAE460FE778A"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other_hunt\2026-04-rac-packet shortened.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-packet shortened.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\2026-04-rac-packet shortened.pdf","4260310","538A507D9B7F260D31C8CFF02772CAE460FE778A"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\harvest_report\ABA2F9C3__2020-san-juan-north.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\harvest_report\80298C94__2020-san-juan-north.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\80298C94__2020-san-juan-north.pdf","74018","EBFE590DD934D7CA96F509640D81F4A8C9F1A148"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest_report\884746C2__2022-henry-mountains.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest_report\D02F25DC__2022-henry-mountains.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\D02F25DC__2022-henry-mountains.pdf","89575","C90DC2F145F1847F25869C9C5B8862252A379CF8"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other_hunt\E41C11C4__OutfittersHuntingFishing (2026_03_09 00_04_09 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other_hunt\5F5ECA14__OutfittersHuntingFishing.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\5F5ECA14__OutfittersHuntingFishing.pdf","169054","076875E2284700074F879083E420444A9A340A16"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other_hunt\C664548E__2024_le_oial_all.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other_hunt\42E32BD5__2024_le_oial_all.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\42E32BD5__2024_le_oial_all.pdf","384682","3D3C6699C22F13943DA3998303F3AF9C3A0536D2"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other_hunt\C664548E__2024_le_oial_all.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\harvest_report\2024_le_oial_all_hr.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\2024_le_oial_all_hr.pdf","384682","3D3C6699C22F13943DA3998303F3AF9C3A0536D2"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other_hunt\5B75A0AC__Alex Berger (Group) Antlerless Hunt Contract Signed 2024 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other_hunt\8646385C__Alex Berger (Group) Antlerless Hunt Contract Signed 2024.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\8646385C__Alex Berger (Group) Antlerless Hunt Contract Signed 2024.pdf","1464133","0CCB8F4B035D63A133F7F68AB4201AAE98A16636"
"exact_hash","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2016\pdf\harvest_report\1414A3B6__2016_san_rafael_dirty_devil_bg.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2016\pdf\harvest_report\BC030AB1__2016_san_rafael_dirty_devil_bg.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_quarantine\duplicates\exact_hash\BC030AB1__2016_san_rafael_dirty_devil_bg.pdf","7176","C51E1D52E7D68773D5943627DF1AB86E02B531F2"
