path,filename,clean_title,section,year_folder,reported_year,target_year,year_method,issue
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\737D4E27__pinevalley_bighorn_2014.pdf,737D4E27__pinevalley_bighorn_2014.pdf,pinevalley_bighorn_2014.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\94140BEF__pilotmtn_bighorn_2014.pdf,94140BEF__pilotmtn_bighorn_2014.pdf,pilotmtn_bighorn_2014.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\9DBED702__2014_antlerless_hr.pdf,9DBED702__2014_antlerless_hr.pdf,2014_antlerless_hr.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\A5C79130__lasalpotash_bighorn_2014.pdf,A5C79130__lasalpotash_bighorn_2014.pdf,lasalpotash_bighorn_2014.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\A72F6F1C__lockhart_bighorn_2014.pdf,A72F6F1C__lockhart_bighorn_2014.pdf,lockhart_bighorn_2014.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\B1FCCFD7__henrys_littlerockies_bighorn_2014.pdf,B1FCCFD7__henrys_littlerockies_bighorn_2014.pdf,henrys_littlerockies_bighorn_2014.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\B41D81A1__newfoundland_bighorn_2014.pdf,B41D81A1__newfoundland_bighorn_2014.pdf,newfoundland_bighorn_2014.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\D04E792F__2014_bhs_data.pdf,D04E792F__2014_bhs_data.pdf,2014_bhs_data.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2014\pdf\harvest_report\DB693FA5__goslinmtn_bighorn_2014.pdf,DB693FA5__goslinmtn_bighorn_2014.pdf,goslinmtn_bighorn_2014.pdf,harvest_report,2014,2014,2015,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\1592232F__NorthSlopeBaretop_bighorn_2015.pdf,1592232F__NorthSlopeBaretop_bighorn_2015.pdf,NorthSlopeBaretop_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\20569E3D__SouthSanRafael_bighorn_2015.pdf,20569E3D__SouthSanRafael_bighorn_2015.pdf,SouthSanRafael_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\23C2211D__2015_antlerless_hr.pdf,23C2211D__2015_antlerless_hr.pdf,2015_antlerless_hr.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\251794EF__2015_gs_deer_hr.pdf,251794EF__2015_gs_deer_hr.pdf,2015_gs_deer_hr.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\2CB58436__2015_BHS_Data.pdf,2CB58436__2015_BHS_Data.pdf,2015_BHS_Data.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\4F8E24C8__OquirrhStansburyBighorn_2015.pdf,4F8E24C8__OquirrhStansburyBighorn_2015.pdf,OquirrhStansburyBighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\60DAB81C__NorthSlopeSheepCreek_bighorn_2015.pdf,60DAB81C__NorthSlopeSheepCreek_bighorn_2015.pdf,NorthSlopeSheepCreek_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\6744AEA9__NorthSanRafael_bighorn_2015.pdf,6744AEA9__NorthSanRafael_bighorn_2015.pdf,NorthSanRafael_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\8CD72257__WasatchMtnsWest_bighorn_2015.pdf,8CD72257__WasatchMtnsWest_bighorn_2015.pdf,WasatchMtnsWest_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\94CBE76A__CentralMtnsNebo_bighorn_2015.pdf,94CBE76A__CentralMtnsNebo_bighorn_2015.pdf,CentralMtnsNebo_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\9D3EBB50__Zion_bighorn_2015.pdf,9D3EBB50__Zion_bighorn_2015.pdf,Zion_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\9FB2707A__NorthSlopeGoslinMtn_bighorn_2015.pdf,9FB2707A__NorthSlopeGoslinMtn_bighorn_2015.pdf,NorthSlopeGoslinMtn_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\D8032F87__NorthSlopeRedCanyon_bighorn_2015.pdf,D8032F87__NorthSlopeRedCanyon_bighorn_2015.pdf,NorthSlopeRedCanyon_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\E8CF3BEA__2015_le_oial_hr.pdf,E8CF3BEA__2015_le_oial_hr.pdf,2015_le_oial_hr.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2015\pdf\harvest_report\EA6B4005__KaiparowitsEastWest_bighorn_2015.pdf,EA6B4005__KaiparowitsEastWest_bighorn_2015.pdf,KaiparowitsEastWest_bighorn_2015.pdf,harvest_report,2015,2015,2016,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\11D93CAD__2016_n_slope_w_daggett_sheep_creek_bh.pdf,11D93CAD__2016_n_slope_w_daggett_sheep_creek_bh.pdf,2016_n_slope_w_daggett_sheep_creek_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\1414A3B6__2016_san_rafael_dirty_devil_bg.pdf,1414A3B6__2016_san_rafael_dirty_devil_bg.pdf,2016_san_rafael_dirty_devil_bg.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2016\pdf\harvest_report\25AAAC37__2016_box_elder_newfoundlands_bh.pdf,25AAAC37__2016_box_elder_newfoundlands_bh.pdf,2016_box_elder_newfoundlands_bh.pdf,harvest_report,2016,2016,2017,y4,model_year_mismatch
