source_path,filename,from_year,to_year,folder_type,action,final_path,note
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2020\pdf\draw_odds\97ffae94__black_bear_20_drawing_odds.pdf,97ffae94__black_bear_20_drawing_odds.pdf,2020,2021,draw_odds,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\97ffae94__black_bear_20_drawing_odds.pdf,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2023\pdf\draw_odds\39b9ca33__black_bear_23_drawing_odds.pdf,39b9ca33__black_bear_23_drawing_odds.pdf,2023,2024,draw_odds,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\39b9ca33__black_bear_23_drawing_odds.pdf,
