"filename","current_path","current_year_folder","publish_year_detected","expected_year_folder","status"
"08B0DC78__23_youth_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\08B0DC78__23_youth_deer.pdf","2023","2023","2024","needs_manual_move"
"1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf","2023","2023","2024","needs_manual_move"
"2025_Hunt_Expo_Draw_Permit_Successful_Applicants.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants.pdf","2025","2025","2026","needs_manual_move"
"2025_Hunt_Expo_Draw_Permit_Successful_Applicants_short (2).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants_short (2).pdf","2025","2025","2026","needs_manual_move"
"2026-04-rac-agenda.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-agenda.pdf","2026","2026","2027","needs_manual_move"
"2026-04-rac-packet a.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-packet a.pdf","2026","2026","2027","needs_manual_move"
"2026-04-rac-packet shortened.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-packet shortened.pdf","2026","2026","2027","needs_manual_move"
"2026-04-rac-packet.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-packet.pdf","2026","2026","2027","needs_manual_move"
"22_sheep-population.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\22_sheep-population.pdf","2022","2022","2023","needs_manual_move"
"24_bg-draw-results.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\24_bg-draw-results.pdf","2025","2025","2026","needs_manual_move"
