source_page,species,publish_year,label,url,status,dest_path
https://wildlife.utah.gov/hunting/reports,bear,2020,2020,https://wildlife.utah.gov/pdf/annual-reports/bear/20_black_bear_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\harvest_report\a34306f2__bear_2020.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2020,2020,https://wildlife.utah.gov/pdf/annual-reports/cougar/20_cougar_annual_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\harvest_report\a7d1d7ba__cougar_2020.pdf
https://wildlife.utah.gov/odds,cougar,2020,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2020_cougar_odds_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\harvest_report\dff7fc92__cougar_Drawing odds.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2020,2020-21,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_20-21.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\harvest_report\847a57a8__mixed_2020-21.pdf
https://wildlife.utah.gov/hunting/reports,bear,2021,2021,https://wildlife.utah.gov/pdf/annual-reports/bear/21_black_bear_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest_report\62474ddf__bear_2021.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2021,2021,https://wildlife.utah.gov/pdf/annual-reports/cougar/21_cougar_annual_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest_report\8817544e__cougar_2021.pdf
https://wildlife.utah.gov/odds,cougar,2021,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2021_cougar_odds_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest_report\80165f60__cougar_Drawing odds.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2021,2021-22,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_21-22.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest_report\a62a6cbd__mixed_2021-22.pdf
https://wildlife.utah.gov/hunting/reports,bear,2022,2022,https://wildlife.utah.gov/pdf/annual-reports/bear/22_black_bear_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest_report\99d034bd__bear_2022.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2022,2022,https://wildlife.utah.gov/pdf/annual-reports/cougar/22_cougar_annual_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest_report\9cb7bd59__cougar_2022.pdf
https://wildlife.utah.gov/odds,cougar,2022,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2022_cougar_odds_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest_report\7cfe81c3__cougar_Drawing odds.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2022,2022-23,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_22-23.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest_report\7406bf15__mixed_2022-23.pdf
https://wildlife.utah.gov/hunting/reports,bear,2023,2023,https://wildlife.utah.gov/pdf/annual-reports/bear/23_black_bear_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\harvest_report\295db9e8__bear_2023.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2023,2023,https://wildlife.utah.gov/pdf/annual-reports/cougar/23_cougar_annual_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\harvest_report\dbd8a659__cougar_2023.pdf
https://wildlife.utah.gov/odds,cougar,2023,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2023_cougar_odds_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\harvest_report\41c98e7e__cougar_Drawing odds.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2023,2023-24,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_23-24.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\harvest_report\36a67499__mixed_2023-24.pdf
https://wildlife.utah.gov/hunting/reports,bear,2024,2024,https://wildlife.utah.gov/pdf/annual-reports/bear/24_black_bear_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\harvest_report\50103c1f__bear_2024.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2024,2024,https://wildlife.utah.gov/pdf/annual-reports/cougar/24_cougar_annual_report.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\harvest_report\5caeaa8c__cougar_2024.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2024,2024-25,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_24-25.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\harvest_report\a3a2b28e__mixed_2024-25.pdf
