path,filename,section,year_folder,reported_year,target_year,rule,action,final_path,note
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2020\pdf\harvest_report\20_bg_harvest_report.pdf,20_bg_harvest_report.pdf,harvest_report,2020,2020,2021,leading_two_digit_year,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\20_bg_harvest_report.pdf,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\21_black_bear_report.pdf,21_black_bear_report.pdf,harvest_report,2021,2021,2022,leading_two_digit_year,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2022\pdf\harvest_report\21_black_bear_report__conflict_20260506181037.pdf,destination existed
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\26229CDE__23_black_bear_report.pdf,26229CDE__23_black_bear_report.pdf,harvest_report,2023,2023,2024,leading_two_digit_year,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2024\pdf\harvest_report\26229CDE__23_black_bear_report.pdf,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\60A861A3__25_youth_deer.pdf,60A861A3__25_youth_deer.pdf,draw_odds,2025,2025,2026,leading_two_digit_year,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2026\pdf\draw_odds\60A861A3__25_youth_deer.pdf,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\BEFCE572__25_youth_elk.pdf,BEFCE572__25_youth_elk.pdf,draw_odds,2025,2025,2026,leading_two_digit_year,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2026\pdf\draw_odds\BEFCE572__25_youth_elk.pdf,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\draw_odds\EABAF1E2__25_lifetime_deer (1).pdf,EABAF1E2__25_lifetime_deer (1).pdf,draw_odds,2025,2025,2026,leading_two_digit_year,moved,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2026\pdf\draw_odds\EABAF1E2__25_lifetime_deer (1).pdf,
