hunt_code,boundary_id,boundary_ids,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,is_multi_unit,multi_unit_reason
EB3209,,682 | 683,"Box Elder, Pilot Mtn",Elk,Conservation,Conservation,NONE,Multiseason,Bull,False,STANDARD,"Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",,,,,1.0,1.0,100.0,13.0,2.0,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_CONSERVATION_SOURCE,true,unit_specific_conservation_expo_bundle
EA2041,,29 | 33 | 38 | 39 | 40 | 302 | 303,Cache (Conservation),Elk,Conservation,Conservation,ANTLERLESS,Any Legal Weapon,Antlerless,False,STANDARD,"Oct 4 - Oct 26, 2025",,,,,0.0,,,,,Public,,,,MISSING,True,False,False,antlerless elk.csv,,official_uploaded_source,MISSING_CONSERVATION_SOURCE,true,unit_specific_conservation_expo_bundle
EA1270,,175 | 698 | 699,Fishlake (Conservation),Elk,Conservation,Conservation,ANTLERLESS,Any Legal Weapon,Antlerless,False,STANDARD,"Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025",,,,,4.0,3.0,75.0,1.8,4.0,Public,,,,MISSING,True,False,False,antlerless elk.csv,,official_uploaded_source,MISSING_CONSERVATION_SOURCE,true,unit_specific_conservation_expo_bundle
EA1180,,108 | 617 | 684 | 879,La Sal (Conservation),Elk,Conservation,Conservation,ANTLERLESS,Any Legal Weapon,Antlerless,False,STANDARD,"Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025",,,,,2.0,2.0,100.0,1.0,3.0,Public,1.0,0.0,1.0,FULL_SPLIT,True,False,False,antlerless elk.csv,,official_uploaded_source,COMPLETE,true,unit_specific_conservation_expo_bundle
EA1258,,108 | 617 | 684 | 879,La Sal (Expo),Elk,Antlerless,General Season,ANTLERLESS,Any Legal Weapon,Antlerless,False,STANDARD,"Oct 4 - Oct 16, 2025",,,,,,,,,,Public,,,,MISSING,,,,antlerless elk.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,arcgis_multi_boundary | unit_specific_conservation_expo_bundle
EA1271,,43 | 45 | 47 | 49 | 51 | 55 | 58 | 861 | 862 | 938,Manti (Conservation),Elk,Conservation,Conservation,ANTLERLESS,Any Legal Weapon,Antlerless,False,STANDARD,"Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026",,,,,3.0,3.0,100.0,2.3,4.0,Public,,,,MISSING,True,False,False,antlerless elk.csv,,official_uploaded_source,MISSING_CONSERVATION_SOURCE,true,unit_specific_conservation_expo_bundle
EA1220,,43 | 45 | 47 | 49 | 51 | 55 | 58 | 861 | 862 | 938,Manti (Expo),Elk,Antlerless,General Season,ANTLERLESS,Any Legal Weapon,Antlerless,False,STANDARD,"Oct 4 - Oct 16, 2025",,,,,0.0,,,,,Public,,,,MISSING,True,False,False,antlerless elk.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,arcgis_multi_boundary | unit_specific_conservation_expo_bundle
EA2045,,222 | 224 | 225 | 227 | 234 | 238 | 240 | 480 | 817 | 845 | 920 | 921,Wasatch Mtns (Conservation),Elk,Conservation,Conservation,ANTLERLESS,Any Legal Weapon,Antlerless,False,STANDARD,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",,,,,4.0,3.0,75.0,2.5,4.0,Public,,,,MISSING,True,False,False,antlerless elk.csv,,official_uploaded_source,MISSING_CONSERVATION_SOURCE,true,arcgis_multi_boundary | unit_specific_conservation_expo_bundle
