hunt_code,boundary_id,boundary_ids,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,is_multi_unit,multi_unit_reason
EB1001,,18 | 69 | 81 | 94 | 107 | 117 | 129 | 138 | 142 | 163 | 188 | 194 | 276 | 277 | 301 | 304 | 609 | 611 | 613 | 614 | 635 | 636 | 639 | 672 | 868 | 902 | 925 | 947 | 948,Any Bull Elk Units,Elk,General Bull,General Season - Any Bull,NONE,Any Legal Weapon,Bull,False,STANDARD,Oct 04 2025 - Oct 10 2025,,,,,9443.0,1416.0,15.0,3.9,2.9,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,general_bull_any_bull
EB1010,,18 | 69 | 81 | 94 | 107 | 117 | 129 | 138 | 142 | 163 | 188 | 194 | 276 | 277 | 301 | 304 | 609 | 611 | 613 | 614 | 635 | 636 | 639 | 672 | 868 | 902 | 925 | 947 | 948,Any Bull Elk Units,Elk,General Bull,General Season - Any Bull,NONE,Any Legal Weapon,Bull,False,STANDARD,Oct 11 2025 - Oct 17 2025,,,,,3260.0,473.0,14.5,4.0,2.9,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,general_bull_any_bull
EB1002,,18 | 69 | 81 | 94 | 107 | 117 | 129 | 138 | 142 | 163 | 188 | 194 | 276 | 277 | 301 | 304 | 609 | 611 | 613 | 614 | 635 | 636 | 639 | 672 | 868 | 902 | 925 | 947 | 948,Any Bull Elk Units,Elk,General Bull,General Season - Any Bull,NONE,Muzzleloader,Bull,False,STANDARD,Oct 29 2025 - Nov 06 2025,,,,,1779.0,276.0,15.5,4.6,3.0,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,general_bull_any_bull
EB1005,,12 | 18 | 33 | 51 | 69 | 81 | 88 | 94 | 107 | 108 | 117 | 129 | 138 | 142 | 175 | 183 | 188 | 194 | 206 | 222 | 241 | 276 | 277 | 301 | 302 | 303 | 304 | 455 | 609 | 611 | 613 | 614 | 617 | 625 | 629 | 630 | 634 | 635 | 636 | 639 | 672 | 685 | 742 | 751 | 867 | 868 | 899 | 901 | 902 | 925 | 947 | 948,Archery Hunters Choice Elk,Elk,General Bull,General Season - Archery,NONE,Archery,Bull,False,STANDARD,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery)",,,,,10614.0,1256.0,11.8,7.9,3.3,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,general_bull_any_bull
EB1007,,18 | 69 | 81 | 94 | 107 | 117 | 129 | 143 | 163 | 188 | 194 | 276 | 277 | 301 | 304 | 609 | 611 | 613 | 614 | 635 | 636 | 639 | 672 | 868 | 902 | 925 | 947 | 948,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,Youth,General Season - Any Bull,NONE,Any Legal Weapon,Bull,True,YOUTH_ONLY,Sept 12 2026 - Sept 22 2026,,,,,670.0,283.0,42.2,4.5,3.3,Public,,,750.0,TOTAL_ONLY,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,COMPLETE_TOTAL_ONLY,true,general_bull_any_bull | youth
EB1012,931,931,Uinta Basin Private Lands Any Bull Elk,Elk,General Bull,General Season - Any Bull,NONE,Any Legal Weapon,Bull,False,STANDARD,Aug 01 2025 - Nov 15 2025 - Valid only on private property within the unit,,,,,412.0,227.0,55.1,9.9,3.6,Private,,,500.0,TOTAL_ONLY,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,COMPLETE_TOTAL_ONLY,true,general_bull_any_bull
EB1011,,12 | 18 | 33 | 51 | 69 | 81 | 88 | 94 | 107 | 108 | 117 | 129 | 138 | 142 | 163 | 175 | 183 | 188 | 194 | 206 | 222 | 241 | 276 | 277 | 301 | 302 | 303 | 304 | 455 | 609 | 611 | 613 | 614 | 617 | 625 | 629 | 630 | 634 | 635 | 636 | 639 | 672 | 685 | 742 | 751 | 867 | 868 | 899 | 901 | 902 | 925 | 947 | 948,Youth General Season Bull Elk,Elk,General Bull,General Season - Youth,NONE,Any Legal Weapon,Bull,False,STANDARD,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,,,,,3558.0,624.0,17.5,5.7,3.1,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_YOUTH_SOURCE,true,general_bull_any_bull | youth
