hunt_code,boundary_id,boundary_ids,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,is_multi_unit,multi_unit_reason
EB1009,,12 | 33 | 51 | 88 | 108 | 175 | 183 | 206 | 222 | 241 | 302 | 303 | 455 | 617 | 625 | 629 | 630 | 634 | 685 | 742 | 751 | 867 | 899 | 901,Spike Only Elk Units - Multiseason,Elk,Spike Only,General Season - Spike Bull,NONE,Multiseason,Bull,False,STANDARD,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 | ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",,,,,3688.0,925.0,25.1,8.9,3.3,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,arcgis_multi_boundary
EB1003,,12 | 33 | 51 | 88 | 108 | 175 | 183 | 206 | 222 | 241 | 302 | 303 | 455 | 617 | 625 | 629 | 630 | 634 | 685 | 742 | 751 | 867 | 899 | 901,Spike Only Units,Elk,Spike Only,General Season - Spike Bull,NONE,Any Legal Weapon,Bull,False,STANDARD,Oct 04 2025 - Oct 16 2025,,,,,8938.0,1396.0,15.6,4.8,3.1,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,arcgis_multi_boundary
EB1004,,12 | 33 | 51 | 88 | 108 | 175 | 183 | 206 | 222 | 241 | 302 | 303 | 455 | 617 | 625 | 629 | 630 | 634 | 685 | 742 | 751 | 867 | 899 | 901,Spike Only Units,Elk,Spike Only,General Season - Spike Bull,NONE,Muzzleloader,Bull,False,STANDARD,Oct 29 2025 - Nov 06 2025,,,,,701.0,94.0,13.4,4.6,3.0,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_GENERAL_SOURCE,true,arcgis_multi_boundary
