metric,value
canonical_source,D:/DOCUMENTS/GitHub/HUNTS\processed_data\hunt_master_canonical_2026_priority_ordered_with_unit_specific_permit_bundles.csv
canonical_rows,1288
manifest,D:/DOCUMENTS/GitHub/HUNTS\processed_data\hard_data_exports\hard_data_manifest.csv
pattern_exports,6
statewide_permits,11
general_bull_any_bull_permits,7
spike_only_permits,3
youth_permits,8
extended_archery_permits,2
unit_specific_conservation_expo_bundles,8
