"huntCode","species","sex","huntType","huntClass","area","unitCode","unitNames","weapon","conditions","permitCount","organizations","averageValue","sourceSpecies","sourceRowStart","sourceRowNumbers","matchedPermitRegister","matchedRegisterLabel","matchedCanonicalHunts","boundaryIds","sourceHuntCodes"
"CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON","Bison","","Conservation","UWSF","Book Cliffs, Bitter Creek, Hunter's Choice","book-cliffs-bitter-creek-hunter-s-choice","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","35000","Bison","65","System.Object[]","True","","True","System.Object[]",
"CP-BISON-BOOK-CLIFFS-LITTLE-CREEK-SOUTH-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON","Bison","","Conservation","SFW","Book Cliffs, Little Creek/South, Hunter's Choice","book-cliffs-little-creek-south-hunter-s-choice","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","35000","Bison","66","System.Object[]","True","","True","System.Object[]",
"CP-BISON-HENRY-MTNS-COW-ONLY-LATE--ANY-LEGAL-WEAPON","Bison","","Conservation","SFW","Henry Mtns, Cow Only (late)","henry-mtns-cow-only-late","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","9166.67","Bison","68","System.Object[]","True","","True","System.Object[]",
"CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-EARLY--ANY-LEGAL-WEAPON","Bison","","Conservation","RMEF","Henry Mtns, Hunter's Choice (early)","henry-mtns-hunter-s-choice-early","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","68333.33","Bison","67","System.Object[]","True","","True","System.Object[]",
"CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-LATE--ANY-LEGAL-WEAPON","Bison","","Conservation","SCI","Henry Mtns, Hunter's Choice (late)","henry-mtns-hunter-s-choice-late","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","40333.33","Bison","69","System.Object[]","True","","True","System.Object[]",
"CP-BISON-STATEWIDE--ANY-LEGAL-WEAPON","Bison","","Conservation","SFW","Statewide","statewide","System.Object[]","Any Legal Weapon","Any Legal Weapon","1","System.Object[]","121666.67","Bison","70","System.Object[]","True","Statewide Bison Conservation","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-BEAVER-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Beaver","beaver","System.Object[]","ALW","ALW","1","System.Object[]","9500","Bear","21","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-BOOK-CLIFFS-BITTER-CREEK-SOUTH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","MDF","Book Cliffs, Bitter Creek/South","book-cliffs-bitter-creek-south","System.Object[]","ALW","ALW","1","System.Object[]","5283.33","Bear","23","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-BOOK-CLIFFS-BITTER-CREEK-SOUTH-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Book Cliffs, Bitter Creek/South","book-cliffs-bitter-creek-south","System.Object[]","ALW","ALW","3","System.Object[]","5283.33","Bear","22","System.Object[]","True","","True","System.Object[]","System.Object[]"
"CP-BLACK-BEAR-BOOK-CLIFFS-LITTLE-CREEK-ROADLESS-EITHER-SEX-MULTISEASON","Black Bear","Either Sex","Conservation","SFW","Book Cliffs, Little Creek Roadless","book-cliffs-little-creek-roadless","System.Object[]","ALW","ALW","1","System.Object[]","3333.33","Bear","26","System.Object[]","True","","True","System.Object[]","System.Object[]"
