file,bytes,approx_rows,structured,blob_style,has_hunt_code,has_points,has_applicants,has_permits,sample_rows_scanned_for_values,sample_rows_with_points_value,sample_rows_with_applicants_value,sample_rows_with_permits_value,sample_unique_hunt_codes,sample_codes_in_canonical,sample_codes_not_in_canonical
draw_pressure_comparison_audit.csv,1060,2,NO,NO,NO,NO,NO,NO,1,0,0,0,0,0,0
normalized_24_bg-odds.csv,949898,589,YES,YES,YES,YES,YES,YES,588,0,0,0,580,547,33
normalized_25_antlerless_drawing_odds_report_1_.csv,302760,223,YES,YES,YES,YES,YES,YES,222,3,0,94,217,217,0
normalized_25_bg-odds_1_.csv,1003115,603,YES,YES,YES,YES,YES,YES,602,0,176,419,594,572,22
normalized_25_deer_odds.csv,147975,108,YES,YES,YES,YES,YES,YES,107,89,18,89,106,106,0
normalized_25_dh_odds.csv,41948,33,YES,YES,YES,YES,YES,YES,32,25,6,26,31,31,0
normalized_25_lifetime_deer_1_.csv,134167,105,YES,YES,YES,YES,YES,YES,104,88,16,88,103,103,0
normalized_25_point-only_purchases_for_big_game_and_antlerless.csv,9913,16,YES,YES,YES,YES,YES,YES,15,0,0,0,0,0,0
normalized_25_youth_antlerless_drawing_odds_report.csv,249361,203,YES,YES,YES,YES,YES,YES,202,3,3,87,199,199,0
normalized_25_youth_deer.csv,139871,108,YES,YES,YES,YES,YES,YES,107,89,18,89,106,106,0
normalized_25_youth_dh_odds.csv,31077,25,YES,YES,YES,YES,YES,YES,24,20,3,21,23,23,0
normalized_25_youth_elk.csv,1939,2,YES,YES,YES,YES,YES,YES,1,0,0,1,1,1,0
normalized_import_ready.csv,1957,11,NO,NO,NO,NO,NO,NO,10,0,0,0,0,0,0
raw_extract_2024_antlerless_hr.csv,18515,6,NO,YES,NO,NO,NO,YES,5,0,0,0,0,0,0
raw_extract_2024_gs_buck_deer_hr.csv,11464,4,NO,YES,NO,NO,NO,YES,3,0,0,0,0,0,0
raw_extract_2024_le_oial_all.csv,46060,20,NO,YES,NO,NO,NO,YES,19,0,0,0,0,0,0
raw_extract_24_25_sportsman_odds.csv,1208,2,NO,YES,NO,NO,NO,YES,1,0,0,0,0,0,0
raw_extract_24_antlerless_drawing_odds_report.csv,230161,204,NO,YES,NO,NO,NO,YES,203,0,0,0,0,0,0
raw_extract_24_bg_odds.csv,841789,589,NO,YES,NO,NO,NO,YES,588,0,0,0,0,0,0
raw_extract_24_bg_report.csv,213643,217,NO,YES,NO,NO,NO,YES,216,0,0,3,0,0,0
raw_extract_24_bg-odds.csv,841789,589,NO,YES,NO,NO,NO,YES,588,0,0,0,0,0,0
raw_extract_24_deer_odds.csv,124981,106,NO,YES,NO,NO,NO,YES,105,0,0,0,0,0,0
raw_extract_24_dh_odds.csv,35767,33,NO,YES,NO,NO,NO,YES,32,0,0,0,0,0,0
raw_extract_24_lifetime_deer.csv,115552,106,NO,YES,NO,NO,NO,YES,105,0,0,0,0,0,0
raw_extract_24_point_only_purchases_for_big_game_and_antlerless.csv,7831,16,NO,YES,NO,NO,NO,YES,15,0,0,0,0,0,0
raw_extract_24_youth_antlerless_drawing_odds_report.csv,193978,188,NO,YES,NO,NO,NO,YES,187,0,0,0,0,0,0
raw_extract_24_youth_deer.csv,116560,105,NO,YES,NO,NO,NO,YES,104,0,0,0,0,0,0
raw_extract_24_youth_dh_odds.csv,28688,27,NO,YES,NO,NO,NO,YES,26,0,0,0,0,0,0
raw_extract_24_youth_elk_POINTS.csv,1518,2,NO,YES,NO,NO,NO,YES,1,0,0,0,0,0,0
raw_extract_24_youth_elk.csv,1511,2,NO,YES,NO,NO,NO,YES,1,0,0,0,0,0,0
raw_extract_25_antlerless_drawing_odds_report_1_.csv,260474,223,NO,YES,NO,NO,NO,YES,222,0,0,0,0,0,0
raw_extract_25_bg-odds_1_.csv,893165,603,NO,YES,NO,NO,NO,YES,602,0,0,595,0,0,0
raw_extract_25_deer_odds.csv,128808,108,NO,YES,NO,NO,NO,YES,107,0,0,107,0,0,0
raw_extract_25_dh_odds.csv,36060,33,NO,YES,NO,NO,NO,YES,32,0,0,32,0,0,0
raw_extract_25_lifetime_deer_1_.csv,115282,105,NO,YES,NO,NO,NO,YES,104,0,0,104,0,0,0
raw_extract_25_point-only_purchases_for_big_game_and_antlerless.csv,8105,16,NO,YES,NO,NO,NO,YES,15,0,0,0,0,0,0
raw_extract_25_youth_antlerless_drawing_odds_report.csv,209585,203,NO,YES,NO,NO,NO,YES,202,0,0,0,0,0,0
raw_extract_25_youth_deer.csv,120772,108,NO,YES,NO,NO,NO,YES,107,0,0,107,0,0,0
raw_extract_25_youth_dh_odds.csv,26493,25,NO,YES,NO,NO,NO,YES,24,0,0,24,0,0,0
raw_extract_25_youth_elk.csv,1557,2,NO,YES,NO,NO,NO,YES,1,0,0,1,0,0,0
