hunt_code,species,hunt_name,hunt_type,weapon,hunt_class,access_type,permits_2026_total,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,unsuccessful_2025,composite_score
DB1002,Deer,Antelope Island,Premium Limited Entry,Any Legal Weapon,Premium Limited Entry,Public,1,1,1,100,1,5,0,0.9989
DB1253,Deer,Circle E Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,7,7,100,1.4,5,0,0.9978
EB3532,Elk,Jump Creek CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,5,100,1,5,0,0.9967
EB3104,Elk,"Book Cliffs, Little Creek Roadless",Limited Entry,Multiseason,Mature Bull,Public,1,1,1,100,1,5,0,0.9967
EA1140,Elk,Heaston East CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,24,24,100,1.3,5,0,0.9957
DA1012,Deer,Junction Valley CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,14,14,100,1.8,5,0,0.9952
EA1159,Elk,Roan Cliffs CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,6,6,100,1.5,5,0,0.9951
DB1203,Deer,Avintaquin Canyon CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,2,2,100,2,5,0,0.993
DB1222,Deer,Coldwater Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,12,12,100,2.2,5,0,0.9922
EB3525,Elk,Heaston East CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,20,20,100,1.9,5,0,0.9908
DB1312,Deer,Woodruff Creek South CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,2,2,100,2.5,5,0,0.9885
EA1198,Elk,Bear Springs CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,2,2,100,2,5,0,0.9852
EB3105,Elk,"Cache, Meadowville",Limited Entry,Multiseason,Mature Bull,Public,1,2,2,100,2,5,0,0.9852
EB3079,Elk,"Book Cliffs, Little Creek Roadless",Limited Entry,Muzzleloader,Mature Bull,Public,2,1,1,100,2,5,0,0.9852
EL3024,Elk,"Beaver, East",Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,6,6,100,2,5,0,0.9852
EL3048,Elk,Monroe,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,2,5,0,0.9852
EL3196,Elk,Diamond Mtn,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,2,5,0,0.9852
DB1287,Deer,Scofield Canyons CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,9,9,100,2.8,5,0,0.9841
DB1290,Deer,Skull Crack CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,8,8,100,2.8,5,0,0.9841
DB1293,Deer,South Canyon CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,2.8,5,0,0.9841
EA1200,Elk,Double R Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,2.1,5,0,0.9838
EB3540,Elk,Old Woman Plateau CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,2.5,5,0,0.9773
EB3529,Elk,Circle E Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,2.6,5,0,0.9766
DB1239,Deer,Fort Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,2,2,100,3,5,0,0.976
DB1279,Deer,Preston Nutter Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,2,2,100,3,5,0,0.976
DB1334,Deer,Alton - Cactus Buck CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,5,100,3,5,0,0.976
DB1335,Deer,Big Piney Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,4,100,3,5,0,0.976
LO1541,Deer,Mt Dutton,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,3,3,100,3,5,0,0.976
LO1572,Deer,Nine Mile,General Season - Private Land Only,Muzzleloader,Private Land Only,Private,0,1,1,100,3,5,0,0.976
EB3608,Elk,Avintaquin Canyon CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,2,2,100,3,5,0,0.9684
EL3033,Elk,"Cache, Meadowville",Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,2,2,100,3,5,0,0.9684
EL3149,Elk,"Southwest Desert, South",Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,3,5,0,0.9684
LO0013,Elk,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,9,9,100,3,5,0,0.9684
DB1212,Deer,Bluebell CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,3.3,5,0,0.9667
EA1125,Elk,Coldwater Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,25,25,100,1.3,4.9,0,0.9654
LO0014,Elk,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Muzzleloader,Private Land Only,Private,0,5,5,100,3.2,5,0,0.9647
EB3550,Elk,Scofield West CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,3.3,5,0,0.9604
DB1241,Deer,Golden Spike CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,5,100,3.5,5,0,0.9586
LO1514,Deer,Ogden,General Season - Private Land Only,Archery,Private Land Only,Private,0,2,2,100,3.5,5,0,0.9586
EB3501,Elk,Bar J Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,11,11,100,3.4,5,0,0.9575
EB3551,Elk,SJ Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,8,8,100,3.4,5,0,0.9575
DB1292,Deer,Soldier Summit CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,11,11,100,3.6,5,0,0.956
EB3167,Elk,"Book Cliffs, Little Creek Roadless",Limited Entry,Any Legal Weapon,Mature Bull,Public,5,4,4,100,3.5,5,0,0.9558
DB1306,Deer,Washakie CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,2.3,4.8,0,0.9557
DB1201,Deer,Alton - Management Buck CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,5,100,2.6,4.8,0,0.9534
EB3613,Elk,Little Pole Canyon CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,4,100,3.7,5,0,0.9515
DB1270,Deer,Nucor West CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,11,11,100,2.8,4.8,0,0.9501
LO1544,Deer,Ogden,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,4,4,100,2.8,4.8,0,0.9501
EB3210,Elk,"North Slope, Three Corners",Limited Entry,Any Legal Weapon,Mature Bull,Public,5,5,5,100,2,4.8,0,0.9476
DA1009,Deer,"Pine Valley, Enterprise",General Season,Any Legal Weapon,Antlerless,Public,20,23,23,100,1.6,4.6,0,0.9424
DB1269,Deer,North Promontory CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,6,6,100,2.5,4.7,0,0.942
DB1277,Deer,Pocatello Valley CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,6,6,100,3,4.8,0,0.942
EB3515,Elk,Double Cone CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,7,7,100,4,5,0,0.942
EB3552,Elk,Skull Crack CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,7,7,100,4,5,0,0.942
EA1161,Elk,Scofield Canyons CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,8,8,100,2,4.7,0,0.9384
EL3175,Elk,Nebo/San Pitch Mtns,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,3,3,100,2,4.7,0,0.9384
LO1619,Deer,"West Desert, Swasey",General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,3,3,100,4,5,0,0.9383
LO1608,Deer,Morgan-South Rich,General Season - Private Land Only,Archery,Private Land Only,Private,0,1,1,100,4,5,0,0.9383
LD1023,Deer,Diamond Mtn - Private Land Only,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,4,5,0,0.9383
DB1009,Deer,Henry Mtns (Management Buck Deer),Management Buck Deer,Any Legal Weapon,Management,Public,11,11,11,100,2.2,4.6,0,0.9376
EB3522,Elk,Grazing Pasture CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,5,5,100,4.3,5,0,0.9351
EB3036,Elk,"Cache, South",Limited Entry,Any Legal Weapon,Mature Bull,Public,4,4,4,100,2.3,4.7,0,0.9351
DB1216,Deer,Castle Valley Outdoors CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,7,7,100,2.6,4.6,0,0.9328
LO1622,Deer,Oquirrh/Tintic,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,5,5,100,2.6,4.6,0,0.9328
LO1593,Deer,Nine Mile,General Season - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,2,2,100,1.5,4.5,0,0.9324
EB3508,Elk,Chimney Rock CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,16,16,100,3,4.8,0,0.9308
EB3606,Elk,Mountain Sky Ranch CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,6,6,100,4.5,5,0,0.9298
EB3527,Elk,Indian Head CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,4.6,5,0,0.9278
EL3066,Elk,San Juan Bull Elk,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,2,2,100,2,4.5,0,0.9258
EB3504,Elk,Blackhawk CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,10,10,100,3.5,4.9,0,0.9255
DB1264,Deer,Mountain Meadow CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,6,6,100,3.5,4.8,0,0.9246
EB3047,Elk,Monroe,Limited Entry,Any Legal Weapon,Mature Bull,Public,9,7,7,100,2.2,4.5,0,0.9235
DB1206,Deer,Bear Mountain CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,11,11,100,3.3,4.7,0,0.9202
EB3603,Elk,Pahvant Ensign CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,7,7,100,3.9,4.9,0,0.9169
EB3533,Elk,Junction Valley CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,8,8,100,3.6,4.8,0,0.9163
EB3549,Elk,Scofield East CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,8,8,100,5.3,5,0,0.9149
EB3565,Elk,North Peaks CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,7,7,100,3.8,4.8,0,0.9113
EB3610,Elk,Sharp Mountain CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,16,16,100,4.1,4.9,0,0.9093
EA1153,Elk,Old Woman Plateau CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,4,4,100,3,4.5,0,0.909
LO0012,Elk,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,12,12,100,2,4.3,0,0.9087
EB3544,Elk,Redd Ranches CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,19,19,100,4.2,4.9,0,0.908
LD1004,Deer,Paunsaugunt - Private Land Only,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,1,1,100,5,5,0,0.905
LO0009,Deer,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Any Legal Weapon,Private Land Only,Private,0,25,25,100,2.7,4.3,0,0.905
EB3102,Elk,"Beaver, East",Limited Entry,Multiseason,Mature Bull,Public,3,3,3,100,3.7,4.7,0,0.9047
DB1208,Deer,Blackhawk CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,7,7,100,4,4.8,0,0.9043
EB3505,Elk,Boobe Hole CWMU,CWMU,Any Legal Weapon,CWMU,CWMU,0,16,16,100,4.4,4.9,0,0.9021
