hunt_code,column,truth_value,built_value
BI1000,sex_type,Hunters Choice,Hunter's Choice
BI1000,youth_flag,False,0
BI1000,permit_status,NO_QUOTA_PUBLISHED,MISSING
BI1000,has_harvest,True,1
BI1000,has_bonus_draw,False,0
BI1000,has_antlerless_draw,False,0
BI1000,permit_overlay_source,2026_bison_either-sex.xlsx,
BI1000,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_STATEWIDE_SOURCE
BI6500,sex_type,Hunters Choice,Hunter's Choice
BI6500,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6500,youth_flag,False,0
BI6500,permits_2026_res,2,2.0
BI6500,permits_2026_nr,0,0.0
BI6500,permits_2026_total,2,2.0
BI6500,has_harvest,True,1
BI6500,has_bonus_draw,False,0
BI6500,has_antlerless_draw,False,0
BI6500,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6503,sex_type,Hunters Choice,Hunter's Choice
BI6503,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6503,youth_flag,False,0
BI6503,permits_2026_res,4,4.0
BI6503,permits_2026_nr,2,2.0
BI6503,permits_2026_total,6,6.0
BI6503,has_harvest,True,1
BI6503,has_bonus_draw,False,0
BI6503,has_antlerless_draw,False,0
BI6503,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6504,sex_type,Hunters Choice,Hunter's Choice
BI6504,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6504,youth_flag,False,0
BI6504,permits_2026_res,5,5.0
BI6504,permits_2026_nr,2,2.0
BI6504,permits_2026_total,7,7.0
BI6504,has_harvest,True,1
BI6504,has_bonus_draw,False,0
BI6504,has_antlerless_draw,False,0
BI6504,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6505,sex_type,Cow Only,Antlerless
BI6505,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6505,youth_flag,False,0
BI6505,permits_2026_res,8,8.0
BI6505,permits_2026_nr,3,3.0
BI6505,permits_2026_total,11,11.0
BI6505,has_harvest,True,1
BI6505,has_bonus_draw,False,0
BI6505,has_antlerless_draw,False,0
BI6505,permit_overlay_source,2026_bison_cow_only.xlsx,hunt_join_2025.1.csv
BI6506,sex_type,Cow Only,Antlerless
BI6506,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6506,youth_flag,False,0
BI6506,permits_2026_res,11,11.0
BI6506,permits_2026_nr,0,0.0
BI6506,permits_2026_total,11,11.0
BI6506,has_harvest,True,1
BI6506,has_bonus_draw,False,0
BI6506,has_antlerless_draw,False,0
BI6506,permit_overlay_source,2026_bison_cow_only.xlsx,hunt_join_2025.1.csv
BI6509,sex_type,Hunters Choice,Hunter's Choice
BI6509,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6509,youth_flag,False,0
BI6509,permits_2026_res,5,5.0
BI6509,permits_2026_nr,0,0.0
BI6509,permits_2026_total,5,5.0
BI6509,has_harvest,True,1
BI6509,has_bonus_draw,False,0
BI6509,has_antlerless_draw,False,0
BI6509,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6516,sex_type,Hunters Choice,Hunter's Choice
BI6516,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6516,youth_flag,False,0
BI6516,permits_2026_res,6,6.0
BI6516,permits_2026_nr,0,0.0
BI6516,permits_2026_total,6,6.0
BI6516,has_harvest,True,1
BI6516,has_bonus_draw,False,0
BI6516,has_antlerless_draw,False,0
BI6516,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6527,sex_type,Hunters Choice,Hunter's Choice
BI6527,youth_flag,False,0
BI6527,permit_status,NO_QUOTA_PUBLISHED,MISSING
BI6527,has_harvest,True,1
BI6527,has_bonus_draw,False,0
BI6527,has_antlerless_draw,False,0
BI6527,permit_overlay_source,2026_bison_either-sex.xlsx,
BI6527,data_status,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,MISSING_GENERAL_SOURCE
BI6528,sex_type,Hunters Choice,Hunter's Choice
BI6528,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6528,youth_flag,False,0
BI6528,permits_2026_res,6,5.0
BI6528,permits_2026_nr,0,0.0
BI6528,permits_2026_total,6,5.0
BI6528,has_harvest,True,1
BI6528,has_bonus_draw,False,0
BI6528,has_antlerless_draw,False,0
BI6528,permit_overlay_source,2026_bison_either-sex.xlsx,hunt_join_2025.1.csv
BI6529,sex_type,Cow Only,Antlerless
BI6529,hunt_type,Once-in-a-lifetime,Once-in-a-Lifetime
BI6529,youth_flag,False,0
BI6529,permits_2026_res,8,8.0
BI6529,permits_2026_nr,0,0.0
