OBJECTID,species,hunt_num,hunt_name,include_in_fall_recs,include_in_spring_recs,requires_tooth_packet,boundary_id,mgmt_unit_key,hunt_status,hunt_type,weapon,season_timing,last_season_date,adm_region,tribal_split,non_res,notes,public_advisories,rec_status,boundary_description,is_new_hunt,boundary_filename,rec_type,rec_unit_key,rec_unit_name,hunt_year,sex_type
1004,Bison,BI6509,Henry Mtns,Y,Y,N,637,15,Active,OIAL,Archery,,Jan 14 2026 - Jan 31 2026,SERO,0,FALSE,,,Board Approved,,FALSE,,OIAL,15,Henry Mtns,2025,Hunter's Choice
1005,Bison,BI6527,Nine Mile,Y,Y,N,615,11,Active,OIAL,Any Legal Weapon,,Aug 01 2025 - Jan 31 2026,,,TRUE,Over-the-counter hunt,"Hunters will lose all bison bonus points if they purchase this permit
Very difficult, low success hunt",Board Approved,,FALSE,,OIAL,11,Nine Mile,2025,Hunter's Choice
1006,Bison,BI6505,Henry Mtns,Y,Y,N,637,15,Active,OIAL,Any Legal Weapon,Early Any Legal Weapon,Dec 13 2025 - Dec 24 2025,SERO,0,TRUE,,,Board Approved,,FALSE,,OIAL,15,Henry Mtns,2025,Female Only
1007,Bison,BI6506,Henry Mtns,Y,Y,N,637,15,Active,OIAL,Any Legal Weapon,Late Any Legal Weapon,Dec 27 2025 - Jan 13 2026,SERO,0,FALSE,,,Board Approved,,FALSE,,OIAL,15,Henry Mtns,2025,Female Only
1008,Bison,BI6534,"Book Cliffs, Bitter Creek",Y,Y,N,667,10,Active,OIAL,Any Legal Weapon,,Sept 13 2025 - Sept 21 2025,,,FALSE,Book Cliffs Bitter Creek,,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Hunter's Choice
1009,Bison,BI6535,"Book Cliffs, Bitter Creek",Y,Y,N,667,10,Active,OIAL,Any Legal Weapon,,Oct 04 2025 - Oct 16 2025,,,FALSE,Book Cliffs Bitter Creek,,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Hunter's Choice
1010,Bison,BI6500,Antelope Island,Y,Y,N,1,31,Active,OIAL,Any Legal Weapon,,Dec 01 2025 - Dec 03 2025,NRO,0,FALSE,Agreement with Antelope Island.,,Board Approved,,FALSE,,OIAL,31,Antelope Island,2025,Hunter's Choice
1011,Bison,BI6531,"Book Cliffs, Little Creek/South",Y,Y,N,889,10,Active,OIAL,Any Legal Weapon,,Sept 22 2025 - Oct 03 2025,,,FALSE,,,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Hunter's Choice
1012,Bison,BI6528,"Book Cliffs, Little Creek/South",Y,Y,N,889,10,Active,OIAL,Archery,,Aug 16 2025 - Sept 12 2025,,,FALSE,"Book Cliffs, Little Creek/South",,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Hunter's Choice
1013,Bison,BI6503,Henry Mtns,Y,Y,N,637,15,Active,OIAL,Any Legal Weapon,Early Any Legal Weapon,Nov 01 2025 - Nov 12 2025,SERO,0,TRUE,,,Board Approved,,FALSE,,OIAL,15,Henry Mtns,2025,Hunter's Choice
1014,Bison,BI6504,Henry Mtns,Y,Y,N,637,15,Active,OIAL,Any Legal Weapon,Mid Any Legal Weapon,Nov 15 2025 - Nov 26 2025,SERO,0,TRUE,,,Board Approved,,FALSE,,OIAL,15,Henry Mtns,2025,Hunter's Choice
1015,Bison,BI6529,"Book Cliffs, Little Creek/South",Y,Y,N,889,10,Active,OIAL,Any Legal Weapon,,Oct 18 2025 - Oct 28 2025,,,FALSE,"Book Cliffs, Little Creek/South",,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Female Only
1016,Bison,BI6536,"Book Cliffs, Bitter Creek",Y,Y,N,667,10,Active,OIAL,Any Legal Weapon,,Nov 15 2025 - Nov 30 2025,,,FALSE,Book Cliffs Bitter Creek,,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Female Only
1017,Bison,BI6532,"Book Cliffs, Bitter Creek",Y,Y,N,667,10,Active,OIAL,Archery,,Aug 16 2025 - Sept 12 2025,,,FALSE,Book Cliffs Bitter Creek,,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Hunter's Choice
1018,Bison,BI6537,"Book Cliffs, Little Creek/South",Y,Y,N,889,10,Active,OIAL,Any Legal Weapon,,Nov 08 2025 - Jan 31 2026,,,TRUE,"I am recommending this hunt to elevate some of the pressure on the earlier bison hunts. We have received many complaints about hunter crowding on earlier hunts, and hopefully this will help. The long season should allow hunters plenty of time to find bison in the more remote areas of the unit if they are weathered out of the roadless area. There is potential that hunters might have an extremely difficult time finding bison during this hunt.",This has the potential to be very low success. It will be a physically demanding hunt! The weather can be extremely cold and harsh during this time of year. The Ute Tribal access across the Totem pol trail expires after Nov. 30. Good luck!,Board Approved,,FALSE,,OIAL,10,Book Cliffs,2025,Hunter's Choice
1019,Bison,BI6516,Henry Mtns,Y,Y,N,637,15,Active,OIAL,Any Legal Weapon,Late Any Legal Weapon,Nov 29 2025 - Dec 10 2025,SERO,0,FALSE,,,Board Approved,,FALSE,,OIAL,15,Henry Mtns,2025,Hunter's Choice
1020,Deer,DB1026,"Cache, Crawford Mtn",Y,Y,Y,32,2C,Active,Limited Entry,Muzzleloader,,Nov 08 2025 - Nov 23 2025,NRO,0,TRUE,,,Board Approved,,FALSE,,LE,2C,"Cache, Crawford Mtn",2025,Male Only
1021,Deer,DB1533,Manti/San Rafael,Y,Y,N,619,16B_12,Active,General Season,Any Legal Weapon,,Oct 18 2025 - Oct 26 2025,SERO,0,TRUE,,,Board Approved,,FALSE,,GS,16B_12,Manti/San Rafael,2025,Male Only
1022,Deer,DB1073,Paunsaugunt,Y,Y,Y,163,27,Active,Management Buck,Archery,,Aug 16 2025 - Sept 12 2025,,0,TRUE,,,Board Approved,,FALSE,,PLE,27,Paunsaugunt,2025,Male Only
1023,Deer,DB1047,Diamond Mtn,Y,Y,Y,206,9C,Active,Limited Entry,Multiseason,,Multiseason,NERO,0,FALSE,,,Board Approved,,FALSE,,LE,9C,Diamond Mtn,2025,Male Only
1024,Deer,DB1018,"Book Cliffs, South",Y,Y,Y,15,10,Active,Limited Entry,Any Legal Weapon,,Oct 18 2025 - Oct 26 2025,NERO,0,TRUE,,,Board Approved,,FALSE,,LE,10B,"Book Cliffs, South",2025,Male Only
1025,Deer,DB1023,Diamond Mtn,Y,Y,Y,206,9C,Active,Limited Entry,Any Legal Weapon,,Oct 18 2025 - Oct 26 2025,NERO,0,TRUE,,,Board Approved,,FALSE,,LE,9C,Diamond Mtn,2025,Male Only
1026,Deer,DB1044,Book Cliffs,Y,Y,Y,7,10,Active,Limited Entry,Multiseason,,Multiseason,NERO,0.149,TRUE,,,Board Approved,,FALSE,,LE,10,Book Cliffs,2025,Male Only
1027,Deer,DB1025,Book Cliffs,Y,Y,Y,7,10,Active,Limited Entry,Muzzleloader,,Sept 24 2025 - Oct 02 2025,NERO,0.149,TRUE,,,Board Approved,,FALSE,,LE,10,Book Cliffs,2025,Male Only
1028,Deer,DB1017,"Book Cliffs, North",Y,Y,Y,714,10,Active,Limited Entry,Any Legal Weapon,,Oct 18 2025 - Oct 26 2025,NERO,0.2275,TRUE,,,Board Approved,,FALSE,,LE,10AC,"Book Cliffs, North",2025,Male Only
1029,Deer,DB1011,Book Cliffs,Y,Y,Y,7,10,Active,Limited Entry,Archery,,Aug 16 2025 - Sept 12 2025,NERO,0.149,TRUE,,,Board Approved,,FALSE,,LE,10,Book Cliffs,2025,Male Only
1030,Deer,DB1048,"West Desert, Vernon",Y,Y,Y,248,19B,Active,Limited Entry,Multiseason,,Multiseason,CRO,0,TRUE,,,Board Approved,,FALSE,,LE,19B,"West Desert, Vernon",2025,Male Only
1031,Deer,DB1042,"West Desert, Vernon",Y,Y,Y,248,19B,Active,Limited Entry,Muzzleloader,,Sept 24 2025 - Oct 02 2025,CRO,0,TRUE,,,Board Approved,,FALSE,,LE,19B,"West Desert, Vernon",2025,Male Only
1032,Deer,DB1602,Chalk Creek,Y,Y,N,69,6,Active,General Season,Muzzleloader,,Sept 24 2025 - Oct 02 2025,,,TRUE,,This hunt is comprised of mostly private land.,Board Approved,,FALSE,,GS,6,Chalk Creek,2025,Male Only
1033,Deer,DB1514,Ogden,Y,Y,N,609,3,Active,General Season,Archery,,Aug 16 2025 - Sept 12 2025,NRO,0,TRUE,,,Board Approved,,FALSE,,GS,3,Ogden,2025,Male Only
1034,Deer,DB1574,Ogden,Y,Y,N,609,3,Active,General Season,Muzzleloader,,Sept 24 2025 - Oct 02 2025,NRO,0,TRUE,,,Board Approved,,FALSE,,GS,3,Ogden,2025,Male Only
1035,Deer,DB1502,Cache,Y,Y,N,29,2,Active,General Season,Archery,,Aug 16 2025 - Sept 12 2025,NRO,0,TRUE,,,Board Approved,,FALSE,,GS,2,Cache,2025,Male Only
1036,Deer,DB1551,"San Juan, Abajo Mtns",Y,Y,N,618,14A,Active,General Season,Any Legal Weapon,,Oct 18 2025 - Oct 26 2025,SERO,0,TRUE,,,Board Approved,,FALSE,,GS,14A,"San Juan, Abajo Mtns",2025,Male Only
1037,Deer,DB1014,"San Juan, Elk Ridge",Y,Y,Y,185,14B,Active,Limited Entry,Archery,,Aug 16 2025 - Sept 12 2025,SERO,0,TRUE,,,Board Approved,,FALSE,,LE,14B,"San Juan, Elk Ridge",2025,Male Only
1038,Deer,DB1077,Box Elder,Y,Y,N,607,1,Active,Limited Entry on General Season,Muzzleloader,,Oct 29 2025 - Nov 06 2025,NRO,0,TRUE,,This is a limited entry hunt on a general season unit. You will lose your bonus points if you draw out for this hunt.,Board Approved,,FALSE,,GS,1,Box Elder,2025,Male Only
1039,Deer,DB1513,North Slope,Y,Y,N,612,8,Active,General Season,Archery,,Aug 16 2025 - Sept 12 2025,NRO,0,TRUE,,,Board Approved,,FALSE,,GS,8,North Slope,2025,Male Only
