OBJECTID,HUNT_NBR,BOUNDARY_ID,hunt_name,hunt_type
276,EB1001,18,Any Bull Elk Units,General Season Any Bull
277,EB1001,69,Any Bull Elk Units,General Season Any Bull
278,EB1001,81,Any Bull Elk Units,General Season Any Bull
279,EB1001,94,Any Bull Elk Units,General Season Any Bull
280,EB1001,107,Any Bull Elk Units,General Season Any Bull
281,EB1001,117,Any Bull Elk Units,General Season Any Bull
282,EB1001,129,Any Bull Elk Units,General Season Any Bull
283,EB1001,138,Any Bull Elk Units,General Season Any Bull
284,EB1001,142,Any Bull Elk Units,General Season Any Bull
285,EB1001,163,Any Bull Elk Units,General Season Any Bull
286,EB1001,188,Any Bull Elk Units,General Season Any Bull
287,EB1001,194,Any Bull Elk Units,General Season Any Bull
288,EB1001,241,Any Bull Elk Units,General Season Any Bull
289,EB1001,276,Any Bull Elk Units,General Season Any Bull
290,EB1001,277,Any Bull Elk Units,General Season Any Bull
291,EB1001,301,Any Bull Elk Units,General Season Any Bull
292,EB1001,304,Any Bull Elk Units,General Season Any Bull
293,EB1001,609,Any Bull Elk Units,General Season Any Bull
294,EB1001,611,Any Bull Elk Units,General Season Any Bull
295,EB1001,613,Any Bull Elk Units,General Season Any Bull
296,EB1001,614,Any Bull Elk Units,General Season Any Bull
297,EB1001,635,Any Bull Elk Units,General Season Any Bull
298,EB1001,636,Any Bull Elk Units,General Season Any Bull
299,EB1001,639,Any Bull Elk Units,General Season Any Bull
300,EB1001,672,Any Bull Elk Units,General Season Any Bull
301,EB1001,868,Any Bull Elk Units,General Season Any Bull
302,EB1001,902,Any Bull Elk Units,General Season Any Bull
303,EB1001,925,Any Bull Elk Units,General Season Any Bull
304,EB1001,947,Any Bull Elk Units,General Season Any Bull
305,EB1001,948,Any Bull Elk Units,General Season Any Bull
306,EB1002,18,Any Bull Elk Units,General Season Any Bull
307,EB1002,69,Any Bull Elk Units,General Season Any Bull
308,EB1002,81,Any Bull Elk Units,General Season Any Bull
309,EB1002,94,Any Bull Elk Units,General Season Any Bull
310,EB1002,107,Any Bull Elk Units,General Season Any Bull
311,EB1002,117,Any Bull Elk Units,General Season Any Bull
312,EB1002,129,Any Bull Elk Units,General Season Any Bull
313,EB1002,138,Any Bull Elk Units,General Season Any Bull
314,EB1002,142,Any Bull Elk Units,General Season Any Bull
315,EB1002,163,Any Bull Elk Units,General Season Any Bull
316,EB1002,188,Any Bull Elk Units,General Season Any Bull
317,EB1002,194,Any Bull Elk Units,General Season Any Bull
318,EB1002,241,Any Bull Elk Units,General Season Any Bull
319,EB1002,276,Any Bull Elk Units,General Season Any Bull
