hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,res_permits,non_res_permits,total_permits,permits_2025_res,permits_2025_nr,permits_2025_total,source_file,source_sheet
Elk - Statewide Permit,EB1000,Bull,Elk,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,,,,2026 Elk.xlsx,Sheet1
Any Bull Elk Units,EB1001,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 04 2025 - Oct 10 2025,,,,,,,2026 Elk.xlsx,Sheet1
Any Bull Elk Units,EB1002,Bull,Elk,Muzzleloader,General Season - Any Bull,Oct 29 2025 - Nov 06 2025,,,,,,,2026 Elk.xlsx,Sheet1
Spike Only Units,EB1003,Bull,Elk,Any Legal Weapon,General Season - Spike Bull,Oct 04 2025 - Oct 16 2025,,,,,,,2026 Elk.xlsx,Sheet1
Spike Only Units,EB1004,Bull,Elk,Muzzleloader,General Season - Spike Bull,Oct 29 2025 - Nov 06 2025,,,,,,,2026 Elk.xlsx,Sheet1
Archery Hunters Choice Elk,EB1005,Bull,Elk,Archery,General Season - Archery,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery)",,,,,,,2026 Elk.xlsx,Sheet1
Draw-only Youth Any Bull/Hunters Choice Elk,EB1007,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Sept 12 2026 - Sept 22 2026,750,,750,750,,750,2026 Elk.xlsx,Sheet1
Spike Only Elk Units - Multiseason,EB1009,Bull,Elk,Multiseason,General Season - Spike Bull,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 | ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",,,,,,,2026 Elk.xlsx,Sheet1
Any Bull Elk Units,EB1010,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 11 2025 - Oct 17 2025,,,,,,,2026 Elk.xlsx,Sheet1
Youth General Season Bull Elk,EB1011,Bull,Elk,Any Legal Weapon,General Season - Youth,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,,,,,,,2026 Elk.xlsx,Sheet1
Uinta Basin Private Lands Any Bull Elk,EB1012,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Aug 01 2025 - Nov 15 2025 - Valid only on private property within the unit,500,,500,500,,500,2026 Elk.xlsx,Sheet1
"Beaver, East",EB3000,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,22,3,,22,3,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EB3002,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,4,0,,4,0,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EB3003,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
"Cache, South",EB3005,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,10,1,,10,1,,2026 Elk.xlsx,Sheet1
Manti,EB3006,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,148,17,,148,17,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EB3008,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,19,2,,19,2,,2026 Elk.xlsx,Sheet1
La Sal Mtns,EB3009,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,36,4,,36,4,,2026 Elk.xlsx,Sheet1
Monroe,EB3010,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,10,1,,10,1,,2026 Elk.xlsx,Sheet1
Mt Dutton,EB3011,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,19,2,,19,2,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EB3013,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,6,1,,6,1,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EB3015,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,17,2,,17,2,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EB3018,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,84,9,,84,9,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EB3019,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,29,3,,29,3,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EB3020,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,25,3,,25,3,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EB3022,Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,130,15,,130,15,,2026 Elk.xlsx,Sheet1
"Beaver, East",EB3024,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
"Beaver, East",EB3025,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,15,2,,15,2,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EB3028,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,0,,3,0,,2026 Elk.xlsx,Sheet1
"Box Elder, Pilot Mtn",EB3031,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 12 2026 - Oct 02 2026,6,1,,6,1,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EB3032,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,1,,3,1,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EB3033,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,6,1,,6,1,,2026 Elk.xlsx,Sheet1
"Cache, South",EB3036,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,4,0,,4,0,,2026 Elk.xlsx,Sheet1
"Cache, South",EB3037,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,6,1,,6,1,,2026 Elk.xlsx,Sheet1
Manti,EB3038,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,61,7,,61,7,,2026 Elk.xlsx,Sheet1
Manti,EB3039,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,102,11,,102,11,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EB3042,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,8,1,,8,1,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EB3043,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
Dolores Triangle,EB3044,Bull,Elk,Any Legal Weapon,Limited Entry,Dec 05 2026 - Jan 31 2027,6,1,,6,1,,2026 Elk.xlsx,Sheet1
La Sal Mtns,EB3045,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,14,2,,14,2,,2026 Elk.xlsx,Sheet1
La Sal Mtns,EB3046,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,24,3,,24,3,,2026 Elk.xlsx,Sheet1
Monroe,EB3047,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,1,,3,1,,2026 Elk.xlsx,Sheet1
Monroe,EB3048,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
Mt Dutton,EB3049,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,8,1,,8,1,,2026 Elk.xlsx,Sheet1
Mt Dutton,EB3050,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EB3053,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,9,1,,9,1,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EB3056,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,7,1,,7,1,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EB3057,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,12,1,,12,1,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EB3063,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,34,4,,34,4,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EB3064,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,99,11,,99,11,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EB3065,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,57,6,,57,6,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EB3066,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,12,1,,12,1,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EB3067,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,20,2,,20,2,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EB3068,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,10,1,,10,1,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EB3069,Bull,Elk,Any Legal Weapon,Limited Entry,Oct 03 2026 - Oct 15 2026,30,3,,30,3,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EB3072,Bull,Elk,Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,54,6,,54,6,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EB3073,Bull,Elk,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 15 2026,89,10,,89,10,,2026 Elk.xlsx,Sheet1
"Beaver, East",EB3077,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,13,2,,13,2,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EB3079,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,2,0,,2,0,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EB3081,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,5,1,,5,1,,2026 Elk.xlsx,Sheet1
"Cache, South",EB3083,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,5,1,,5,1,,2026 Elk.xlsx,Sheet1
Manti,EB3084,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,89,10,,89,10,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EB3086,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,12,1,,12,1,,2026 Elk.xlsx,Sheet1
La Sal Mtns,EB3087,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,22,2,,22,2,,2026 Elk.xlsx,Sheet1
Monroe,EB3088,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,10,1,,10,1,,2026 Elk.xlsx,Sheet1
Mt Dutton,EB3089,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,12,1,,12,1,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EB3091,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,4,0,,4,0,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EB3093,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,10,1,,10,1,,2026 Elk.xlsx,Sheet1
Fishlake/Thousand Lakes,EB3096,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,50,6,,50,6,,2026 Elk.xlsx,Sheet1
San Juan Bull Elk,EB3097,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,17,2,,17,2,,2026 Elk.xlsx,Sheet1
Diamond Mtn,EB3098,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,15,2,,15,2,,2026 Elk.xlsx,Sheet1
Wasatch Mtns,EB3100,Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,78,9,,78,9,,2026 Elk.xlsx,Sheet1
"Beaver, East",EB3102,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,,3,0,,2026 Elk.xlsx,Sheet1
"Book Cliffs, Little Creek Roadless",EB3104,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,,1,0,,2026 Elk.xlsx,Sheet1
"Cache, Meadowville",EB3105,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",1,0,,1,0,,2026 Elk.xlsx,Sheet1
"Cache, South",EB3107,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",1,0,,1,0,,2026 Elk.xlsx,Sheet1
Manti,EB3108,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",18,2,,18,2,,2026 Elk.xlsx,Sheet1
"Fillmore, Pahvant",EB3110,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,,3,0,,2026 Elk.xlsx,Sheet1
La Sal Mtns,EB3111,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",5,0,,5,0,,2026 Elk.xlsx,Sheet1
Monroe,EB3112,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",2,0,,2,0,,2026 Elk.xlsx,Sheet1
Mt Dutton,EB3113,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",3,0,,3,0,,2026 Elk.xlsx,Sheet1
"North Slope, Three Corners",EB3115,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,,1,0,,2026 Elk.xlsx,Sheet1
Panguitch Lake,EB3117,Bull,Elk,Multiseason,Limited Entry,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026 & Nov 7-15, 2026",2,0,,2,0,,2026 Elk.xlsx,Sheet1
