FID,Type,area_name,Herd Size,CollarGPS,acres,km2,Species,Shape__Area,Shape__Length,Date Range
46,low use,North Slope,5800,101,492017.109849,1991.12260092,Mule Deer,0.212870639061748,48.9403233524853,2018 - 2021
47,medium use,North Slope,5800,101,132525.636226,536.312222093,Mule Deer,0.0573188934995414,26.7740600994771,2018 - 2021
48,high use,North Slope,5800,101,182105.319634,736.954082316,Mule Deer,0.0787601993720273,10.6358603204979,2018 - 2021
49,low use,Uinta South Slope,8850,102,456015.311668,1845.42849273,Mule Deer,0.196269930995641,45.6016750346605,2016  - 2019
50,medium use,Uinta South Slope,8850,102,273894.990867,1108.41370286,Mule Deer,0.117951179076044,26.1492568676845,2016  - 2019
51,high use,Uinta South Slope,8850,102,117866.331999,476.988122636,Mule Deer,0.0506861306625979,7.86117804514323,2016  - 2019
52,high use,Beaver,10300,47,27516.0638188,111.353559584,Mule Deer,0.0114639359780995,4.20472306303352,2016 - 2021
53,medium use,Beaver,10300,47,74257.9588225,300.511297575,Mule Deer,0.0309515138842471,11.6029170792616,2016 - 2021
54,low use,Beaver,10300,47,201136.096757,813.968904936,Mule Deer,0.0838384071353175,17.8410792909392,2016 - 2021
55,high use,Dugway,9000,7,11427.7449333,46.246442977,Mule Deer,0.00489225110140978,0.767732243950542,2019 -2021
56,medium use,Dugway,9000,7,12562.8922143,50.8402210415,Mule Deer,0.00537726590164311,1.92665569924664,2019 -2021
57,low use,Dugway,9000,7,33993.9670416,137.568703845,Mule Deer,0.0145908901058647,4.0381821114661,2019 -2021
58,high use,Oquirrh-Stansbury,10000,90,40028.6793816,161.990318236,Mule Deer,0.0172090010005377,3.03884548076529,2016 - 2021
59,medium use,Oquirrh-Stansbury,10000,90,70758.588906,286.349849954,Mule Deer,0.0304168398711226,7.94851106020721,2016 - 2021
60,low use,Oquirrh-Stansbury,10000,90,65561.0854457,265.316299695,Mule Deer,0.0281783155110134,10.1954295252754,2016 - 2021
61,high use,East Canyon,12800,10,1905.31314722,7.71052874652,Mule Deer,0.000822264099042513,0.281517327841008,2020 -2021
62,medium use,East Canyon,12800,10,1193.88494192,4.83148094481,Mule Deer,0.000515207073021884,0.758334145946778,2020 -2021
63,low use,East Canyon,12800,10,5086.60896448,20.5847761562,Mule Deer,0.00219563817836388,1.54652858539692,2020 -2021
64,high use,Kaiparowits,400,12,18954.9644426,76.708019591,Mule Deer,0.00781249076953827,1.65540405604159,2020 - 2021
65,low use,Kaiparowits,400,12,64802.5622768,262.246665338,Mule Deer,0.0267213979891494,6.92436271933942,2020 - 2021
72,low use,Nebo,14200,9,74486.2177518,301.435028689,Mule Deer,0.0315705044363312,7.99844749436862,2018 - 2021
73,high use,Nebo,14200,9,12324.120796,49.8739473938,Mule Deer,0.00521203701782724,1.13658039313762,2018 - 2021
74,high use,San Juan,11750,140,107030.479132,433.136981866,Mule Deer,0.0442735772653577,5.71333669383161,2016 - 2021
75,medium use,San Juan,11750,140,218472.489999,884.126799269,Mule Deer,0.0903992337084674,16.0019502158002,2016 - 2021
76,low use,San Juan,11750,140,167167.298337,676.50205489,Mule Deer,0.0691516909064376,21.7648238969138,2016 - 2021
77,high use,Pine Valley,19500,138,140157.870623,567.198778881,Mule Deer,0.0577501344300799,8.8074600829049,2016 - 2021
78,medium use,Pine Valley,19500,138,258861.282533,1047.57444373,Mule Deer,0.106638336245851,20.4289230444317,2016 - 2021
79,low use,Pine Valley,19500,138,197801.114097,800.472708942,Mule Deer,0.0816116052324105,23.8722329367504,2016 - 2021
96,high use,Zion,18000,82,93197.2208431966,377.155771719121,Mule Deer,0.0383615943696896,12.484168041322,2019  - 2022
97,medium use,Zion,18000,82,124574.925985978,504.13683929636,Mule Deer,0.0512826053727622,20.7813767373934,2019  - 2022
98,low use,Zion,18000,82,217368.307565894,879.658331499258,Mule Deer,0.0895323696190644,32.7337435699649,2019  - 2022
99,high use,Boulder,7000,84,45254.3163946611,183.137720943056,Mule Deer,0.018807348944847,4.72447566419523,2019 - 2022
100,medium use,Boulder,7000,84,62316.2297285696,252.184834496816,Mule Deer,0.02589176480069,13.8375404640812,2019 - 2022
101,low use,Boulder,7000,84,212783.094331548,861.102631873771,Mule Deer,0.088426913134299,27.0288851582852,2019 - 2022
104,medium use,Chalk Creek,9100,63,49497.5628329536,200.309530043686,Mule Deer,0.0214174615794036,9.89984149352023,2016 - 2022
105,low use,Chalk Creek,9100,63,88635.829276895,358.696474963952,Mule Deer,0.0383532990404092,17.4354623858919,2016 - 2022
106,high use,Chalk Creek,9100,63,31148.3424925961,126.052869863277,Mule Deer,0.0134859335962574,3.21174748996428,2016 - 2022
107,high use,Fillmore,6500,21,53858.4737468909,217.957510383267,Mule Deer,0.0226448653179432,4.40185825155457,2016 - 2021
108,medium use,Fillmore,6500,21,68441.1630982228,276.971560440569,Mule Deer,0.0287568232452031,10.9097082801415,2016 - 2021
109,low use,Fillmore,6500,21,163650.548964832,662.270275107615,Mule Deer,0.0687842948477737,15.7540795435456,2016 - 2021
110,high use,Wasatch East,11800,90,66416.4245430161,268.77773421475,Mule Deer,0.0284573998237647,9.93112371742579,2020 - 2022
111,medium use,Wasatch East,11800,90,127544.754695055,516.155309681117,Mule Deer,0.0546187888394343,28.2011344602537,2020 - 2022
112,low use,Wasatch East,11800,90,182719.227438775,739.438479056575,Mule Deer,0.0782229654823823,41.4603419299552,2020 - 2022
113,high use,Box Elder,10100,95,104125.567580438,421.382907428887,Mule Deer,0.0455795914276678,8.72209372301627,2020 - 2023
114,medium use,Box Elder,10100,95,110945.456913407,448.982130772852,Mule Deer,0.0487165660915707,24.9836659537812,2020 - 2023
115,low use,Box Elder,10100,95,262028.355057445,1060.39537309238,Mule Deer,0.114747725852339,43.2743125864382,2020 - 2023
