OBJECTID,Boundary_Name,BoundaryID,Description,NOTES,GlobalID,Shape__Area,Shape__Length
9,Southeastern Region (fall turkey),849,"Cainville Fremont River Corridor Fall Turkey — Wayne County —  Boundary begins west of Hanksville at SR-24 milepost 104 on an imaginary north-south line; west from this milepost extending 1 mile either side of SR-24 to milepost 96; boundary ends along an east-west line at mile post 96. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,77a92db3-21b2-404b-a1bc-213067206306,67602084.0625,41408.8292399107
10,Central Region (fall turkey),898,"Central Region Fall Turkey — Salt Lake, Wasatch, Juab, Utah, Sanpete Counties — Central Region Fall Turkey Hunt Boundary includes only private lands in the Central Region east of I-15 — Boundary begins at the intersection of I-15 and Davis/Salt Lake county line; east on this county line to the Salt Lake/Morgan county line; south on this county line to the Salt Lake/Summit county line; south on this county line to I-80; east on I-80 to US-40; south on US-40 to SR-248; east on this road to SR-32; south on this road to SR-35; east on this road to USFS Road 054 (Mill Hollow road); south on this road to Heber Mountain and the Strawberry Valley/Currant Creek drainage divide; south along this drainage divide to US-40; west on US-40 to the Soldier Creek Dam road; south on this road to the Strawberry River; east along this river to Beaver Creek; southwest along this creek to Big Beaver Spring and USFS Road 081; south and west on this road (Reservation Ridge road and down Right Fork of White River road) to US-6; west on US-6 to the Utah/Wasatch county line; south on this county line to the Spanish Fork Canyon/Scofield drainage divide; south on this drainage divide to Bear Ridge; west along this ridge to the Skyline Drive road; south on this road to the Sanpete/Sevier county line; west on this county line to the Sevier River; north along this river to I-15; north on I-15 to the Davis/Salt Lake countly line. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,b49ca92e-bf63-4744-b0e4-9ec1fac32063,15366516974.4453,833474.038770021
11,Northern Region (fall turkey),911,"Mantua Fall Turkey — Box Elder County — Northern Region Fall Turkey Hunt Boundary includes only private lands within the boundary as written — Boundary begins at Hwy 89/91 and 100 South in Mantua at the US Forest Service boundary.  South along the US Forest Service boundary to the Brigham Face WMA boundary. South and East along the Brigham Face WMA boundary to the US Forest Service boundary. South along the US Forest Service boundary to Devil’s Gate Valley Road.  East on the Devil’s Gate Valley Road to Forest Trail 620.  East on Forest Trail 620 to Private Road at 41.445849, -111.910779.  North on Private Road at 41.445849, -111.910779 to the Box Elder/Cache County Line.  North on the Box Elder/Cache County Line to Hwy 89/91 at Sardine Summit.  South on Hwy 89/91 to the US Forest Service boundary at 100 South in Mantua. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,b138e0db-f932-42f6-b9f8-0bcec01a0e97,72471965.0039063,59413.0298979389
12,Northern Region (fall turkey),912,"Box Elder Fall Turkey — Box Elder County — Northern Region Fall Turkey Hunt Boundary includes only private lands within the boundaries as written — Boundary begins at I-15 and 20800 North in Plymouth. South on I-15 to 1000 North in Tremonton. West on 1000 North to Rocky Point Road. North and West on Rocky Point Road to 12800 North.  West on 12800 North to 10800 West.  South on 10800 West to North Canal Bank Road.  South and West on North Canal Bank Road to 11200 North (Faust Valley Road).  West and South on 11200 North (Faust Valley Road) to Hwy 83.  West and South on Hwy 83 to 7200 North (Golden Spike Dr) at Lampo Junction.  West on 7200 North (Golden Spike Dr) to 22000 West.  South and West on 22000 West to Spiral Jetty Road.  South on Spiral Jetty Road to Big Valley Road.  South on Big Valley Road to the shoreline of the Great Salt Lake.  South and East along the shoreline of the Great Salt Lake to the Little Valley Harbor.  North from the Little Valley Harbor to the East Promontory Road.  East and North on the East Promontory Road to Lone Rock.  North on the shoreline of the Great Salt Lake at Lone Rock to the West Bear River Bay Access.  West on the West Bear River Bay Access to the East Promontory Road.  North and East on the East Promontory Road to 7200 North (Golden Spike Dr).  East on 7200 North (Golden Spike Drive) to Hwy 83 at Lampo Junction.  South and East on Hwy 83 to Hwy 13.  East and South on Hwy 13 to Hwy 89 in Brigham City.  South on Hwy 89 to 8000 South.  East on 8000 South to the Canal Road.  North on the Canal Road to the south boundary of the Brigham Face WMA.  West and North on the boundary of the Brigham Face WMA to the U.S. Forest Service boundary. North along the U.S. Forest Service boundary to the Canal Road.  East on the north boundary of the Brigham Face WMA to the Canal Road.  North on the Canal Road to the South boundary of the US Forest Service.  North on the boundary of the US Forest Service to the south boundary of the Brigham Face WMA.  North on the boundary of the Brigham Face WMA to Hwy 89/91.  East on Hwy 89/91 to the US Forest Service boundary.  North and West on the US Forest Service boundary to the boundary of the Coldwater WMA.  West and North on the boundary of the Coldwater WMA to the US Forest Service boundary.  North on the US Forest Service boundary to 10520 North.  West on 10520 North to the Bonneville Shoreline Trail.  North on the Bonneville Shoreline Trail to Cottonwood Creek Road.  North on Cottonwood Creek Road to Dairy Valley Road.  East and South on Dairy Valley Road to 400 West.  North on 400 West to 2400 North. East on 2400 North across Hwy 30 to Valley View West Road.  East and North on Valley View West Road to the Box Elder/Cache County line. North on the Box Elder/Cache County line to the Bureau of Land Management boundary.  West and North along the Bureau of Land Management boundary to Cutler Reservoir. West along Cutler Reservoir to the North Cutler Dam Road. West on the North Cutler Dam Road to the West Canal Bank/Camp Fife Road.  West and South on the West Canal Bank/Camp Fife Road to 2800 West.  South on 2800 West to 16800 North.  West on 16800 North to Hwy 13.  North on Hwy 13 to 20800 North.  West on 20800 North to I-15.  Boundary excludes Salt Creek and Public Shooting Grounds WMAs. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,39b882ff-54cf-4129-96e8-c2f97a30af3b,1925386554.0625,471577.788393047
13,Northern Region (fall turkey),913,"Cache Fall Turkey — Cache County — Northern Region Fall Turkey Hunt Boundary includes only private lands within the boundaries as written — Boundary begins at the East Canyon Road and the boundary of the East Fork Little Bear WMA near Avon.  North on the East Fork Little Bear WMA boundary to the Porcupine Highline Canal.  North on the Porcupine Highline Canal to Hwy 101 in Blacksmith Fork Canyon.  West on Hwy 101 to the boundary of the Millville-Providence WMA.  North on the boundary of the Millville-Providence WMA to the US Forest Service boundary.  North on the US Forest Service boundary to the boundary of Utah Division of Wildlife property at 1500 North near Logan.  North on the boundary of the Division of Wildlife Property to the boundary of the US Forest Service at 1900 North.  North on the boundary of the US Forest Service to the boundary of the Richmond WMA.  North on the boundary of the Richmond WMA to the US Forest Service boundary.  North on the US Forest Service boundary to the Idaho State Line.  West on the Idaho State Line to Hwy 91.  South on Hwy 91 to Hwy 142 in Richmond.  West on Hwy 142 to 7200 West near Clarkston.  North on 7200 West to 11000 North.  West on 11000 North to 8600 West.  South on 8600 West to 400 N.  West on 400 North to Main Street.  South on Main Street to 300 North.  West on 300 North to 100 West.  North and West on 100 West to 11000 North.  West on 11000 North to Winter Canyon Road.  West on Winter Canyon Road to the US Forest Service boundary.  South on the US Forest Service boundary to the Utah State Trust Lands boundary.  South on the Utah State Trust Lands boundary to the Cache/Box Elder County Line.  South on the Cache/Box Elder County line to the Short Divide Road.  East and North on the Short Divide Road to 300 South.  East on 300 South to 8600 West.  South on 8600 West to 9400 North.  East on 9400 North to Hwy 142.  South on Hwy 142 to 8500 North (Fielding Road).  South and West on 8500 North (Fielding Road) to the Cache/Box Elder County line.  South on the Cache/Box Elder County line to the Bureau of Land Management boundary.  South on the Bureau of Land Management boundary to the Cache/Box Elder County line.  South on the Cache/Box Elder County line to the Valley View Road.  South and West on the Valley View Road to 2400 North.  West on 2400 North to 400 West.  South on 400 West to Willow Creek Drive.  South and West on Willow Creek Drive to the Cache/Box Elder County Line.  South on the Cache/Box Elder County Line to the US Forest Service boundary.  South on the US Forest Service boundary to Hwy 89/91. North on Hwy 89/91 to 6800 South (Mount Sterling Road).  East on 6800 South (Mount Sterling Road) to 2400 West (Meridian Road).  South on 2400 West (Meridian Road) to 8400 South (Mount Pisgah Road).  East on 8400 South (Mount Pisgah Road) to the Little Bear River.  South and East on the Little Bear River to the East Fork of the Little Bear River.  East on the East Fork of the Little Bear River to 11200 South.  East on 11200 South to 1200 East (East Canyon Road).  South on 1200 East (East Canyon Road) to the boundary of the East Fork Little Bear WMA. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,567cd083-6dbf-4f78-9ff1-ee116da82653,1383854135.72656,301234.653041456
14,Northern Region (fall turkey),914,"Morgan-South Rich Fall Turkey — Weber, Morgan Counties —  Northern Region Fall Turkey Hunt Boundary includes only private lands within the boundaries as written — Boundary begins at Hwy 39 and the US Forest Service boundary near Pineview Dam.  South on the US Forest Service boundary to Hwy 167.  South on Hwy 167 to I-84.  East on I-84 to Hwy 65 at Henefer. East and North on Hwy 65 to Old Hwy 30 (Echo Road).  East on Old Hwy 30 (Echo Road) to the boundary of the Henefer-Echo WMA.  North and East on the boundary of the Henefer-Echo WMA to Echo Canyon Road.  East on Echo Canyon Road to Heiner Canyon Road.  North on Heiner Canyon Road to Wolf Hollow Road.  North on Wolf Hollow Road to Quaking Aspen Hollow Road.  North on Quaking Aspen Hollow Road to Beaver Dam Hollow.  West at Beaver Dam Hollow to Lost Creek Road.  West and North on Lost Creek Road to Killfoil Creek Road.  West and North on Killfoil Creek Road to the Morgan/Weber County line.  South and West on the Morgan/Weber County line to the Skull Crack Canyon Road.  North and West on the Skull Crack Canyon Road to Causey Drive.  West on Causey Drive to Hwy 39.  West on Hwy 39 to the US Forest Service boundary near Pineview Dam. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,7bee1be2-8b50-4581-9a81-e3d5da9bcfb0,1507127008.90234,246615.013673195
15,Northern Region (fall turkey),915,"Ogden Valley Fall Turkey — Weber, Morgan Counties — Northern Region Fall Turkey Hunt Boundary includes only private lands within the boundaries as written — Boundary begins at Hwy 39 and Hwy 158 at the Pineview Dam.  East on Hwy 39 to Evergreen Park Drive.  North on Evergreen Park Drive to Middle Fork Drive.  North on Middle Fork Drive to the US Forest Service boundary.  South and West on the US Forest Service boundary to the Middle Fork WMA boundary.  South on the Middle Fork WMA boundary to the US Forest Service boundary.  South and West on the US Forest Service boundary to the Middle Fork WMA boundary.  West and North on the Middle Fork WMA boundary to the US Forest Service boundary.  North on the US Forest Service boundary to Hwy 158.  South on Hwy 158 to Wolf Lodge Drive.  West and North on Wolf Lodge Drive to Creek View Drive.  West on Creek View Drive to Foothill Lane.  North and West on Foothill Lane to Eagle Ridge Drive.  North on Eagle Ridge Drive to 4100 North.  West on 4100 North to North Ogden Canyon Road.  West on North Ogden Canyon Road to the Skyline Trail.  South on the Skyline Trail to Hwy 158.  South and West on Hwy 158 to Hwy 39. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,710c2ad8-66e0-485a-b902-f98041df3ead,231023357.085938,124058.01095658
16,Northern Region (fall turkey),916,"East Canyon Fall Turkey — Weber, Morgan Counties — Northern Region Fall Turkey Hunt Boundary includes only private lands within the boundaries as written — Boundary begins at I-84 and 6300 West in Mountain Green.  South on 6300 West to 5400 North. East and South on 5400 North to the Gateway Power Plant Water Aqueduct.  East and South on the Gateway Power Plant Water Aqueduct to Morgan Valley Drive.  South and East on Morgan Valley Drive to Hwy 66 (State Street).  South on Hwy 66 to the East Canyon WMA boundary.  East and South on the East Canyon WMA boundary to Hwy 65. North on Hwy 65 to Memorial Park Road in Henefer.  South and East on Memorial Park Road to 200 South.  North on 200 South to Hwy 65. East and North on Hwy 65 to I-84. West on I-84 to 6300 West in Mountain Green. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,f1eaa778-82d7-4ef2-9763-cfe2b3fcf47f,295841737.414063,127651.857225671
17,Southern Region (fall turkey),942,"Oak City Fall Turkey — Millard County —   Starting at junction of Hwy 125 and McCormick Rd. South to Telegraph Hill Rd. East along this road to the USFS boundary. East along the USFS boundary past Dry Creek. North along the USFS boundary to Leamington Pass Rd. West along this road to Hwy 125. South along Hwy 125 back to the McCormick Rd. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,3bfffa70-d12f-4367-ba14-4d93a1d2bda8,44970243.140625,44877.5265452302
18,Southern Region (fall turkey),943,"Pinto Fall Turkey — Washington and Iron Counties —  T 37 S R 15 W sections 27, 28, 33, 34, 35 and T 38 S R 15 W sections 2, 3 as follows: Beginning at the NE corner of section 27. Then south along the section line for 1 mile. Then east along the section line for 0.5 miles. Then south through the middle of section 35 to the section line. Then  east for 0.25 miles along the section line. Then south for 1.75 miles to the section line. Then west for 1.5 miles along the section.  Then north for 1.75 miles through the middle of section 3.  Then west for 0.75 miles along the section line.  Then north for 2 miles through the middle of sections 33 and 28 to the section line. Then east for 1.5 miles along the section line to the point of origin. — A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",Fall Turkey 2025,76120cf4-9b09-4a7f-b381-6762340d6af7,25435214.4960938,24439.0139828874
