FID,Boundary_N,BoundaryID,Descriptio,Hunt_Type,Shape__Area,Shape__Length
1,Southeastern Area,884,"Carbon, Emery, Garfield, Grand, San Juan, Sanpete, Sevier and Wayne counties – Boundary begins at the Utah-Arizona state line and the Kane County/San Juan County line; northeast along the Kane County/San Juan County line to the Garfield/Kane County Lin",Turkey LE,88925845386.082,1891911.12320146
2,Southern Area,885,"Beaver, Emery, Garfield, Iron, Juab, Kane, Millard, Piute, Sanpete, Sevier, Washington and Wayne counties – 
Boundary begins at the Utah-Arizona state line and the Kane County/San Juan County line; northeast along the Kane County/San Juan County line",Turkey LE,101214797634.016,1540026.59447918
3,Northeastern Area,886,"Daggett, Duchesne, Grand, Summit, Uintah, Utah and Wasatch counties –  Boundary begins at Three Corners (Utah/Colorado/Wyoming state lines); west on the Utah/Wyoming state line to the Burnt Fork/Birch Creek drainage divide; south along the Burnt Fork/S",Turkey LE,40946002607.7188,1170155.27274092
4,Central Area,887,"Juab, Millard, Salt Lake, Sanpete, Sevier, Summit, Tooele, Utah, and Wasatch counties – Boundary begins at the Utah/Nevada state line and I-80; east on I-80 to I-15; south on I-15 to I-80; east on I-80 to US-40; south on US-40 to SR-248; east on SR-248",Turkey LE,70049495900.875,1467274.86909734
5,Northern Area,888,"Box Elder, Cache, Davis, Duchesne, Morgan, Rich, Summit, Wasatch and Weber counties –  Boundary begins at the Utah/Nevada state line and I-80; east on I-80 to I-15; south on I-15 to I-80; east on I-80 to US-40; south on US-40 to SR-248; east on SR-248",Turkey LE,67217323298.6094,1380817.62147348
