OBJECTID,Boundary_Name,BoundaryID
137,Causey Spring,560
138,Bear Mountain,582
143,Bluebell,604
145,Blue Spring Hills,510
146,Boobe Hole,529
148,Buckhorn Ranch,598
171,Grazing Pasture,530
181,Ingham Peak,493
187,Little Red Creek,484
199,Oak Ranch,534
200,Old Woman Plateau,535
206,Rabbit Creek,590
219,Skull Crack,578
230,Three C,553
233,Two Bear,521
237,Westlake,558
241,Zane,537
398,TL Bar Ranch,721
448,South Canyon,491
474,RLF Deep Creek,739
477,Sand Creek,740
478,Spring Creek Acres,741
479,Alton,526
2164,Johnson Mtn Ranch,531
2165,West Willow Creek Ranch,805
2167,George Creek,806
5029,Royal Ivory Outfitters,828
5030,Snowville Flat,829
5839,Deer Creek,686
6652,Guildersleeve,573
7455,Moon Ranch,485
7859,Promontory Point,502
8663,Jump Creek,734
8665,Hiawatha,550
8666,Conover-Jensen,544
8671,Pine Canyon,592
8687,Ensign Ranches,522
9490,SJ Ranch,576
9896,Circle E Ranch,549
9908,Mountain Sky Ranch,858
10719,Cottonwood Ridge,824
10725,Avintaquin Canyon,599
11150,Chimney Rock,732
11153,Rock House,827
11554,Clear Creek,494
12368,East Fork Chalk Creek,520
12372,Double R Ranch,554
13205,Blue Creek,594
13211,Neil Creek,596
13213,Stillman Creek Ranch,593
13214,Strawberry Ridge,562
14422,Minnie Maud Ridge,551
16038,Scofield West,541
16039,Scofield East,540
16040,Scofield Canyons,539
16046,Soldier Summit,552
16047,Roan Cliffs,543
16048,Iron Springs,876
16462,Antelope Creek,581
16864,Skull Valley South,585
17265,First Light,890
17266,Indian Head,735
17267,Sweetwater,891
17268,Patmos Ridge,736
17665,Big Piney Mountain Ranch,892
17666,Tunnel Hollow,569
17667,Hardscrabble,577
18068,Woodruff Creek South,571
18069,Bear Springs,575
18488,Faust Valley,905
18892,Coldwater Ranch,505
18893,Green Canyon,489
19294,Castle Valley Outdoors,545
19295,Bar J Ranch,527
19296,Deer Haven,606
19298,Grass Valley/Clark Canyon,525
19299,Bally Watts,559
19300,Durst Mountain,567
19301,Folly Ridge,579
19312,Mountain Top,572
19313,Jacob's Creek,580
19315,Riverview Ranch LLC,517
19319,Blind Spring,500
19320,Dilly Ranch,733
19323,Engineer Springs,519
19324,Golden Spike,497
19325,Indian Creek,495
19326,Mountain Meadow,518
19328,North Promontory,513
19329,Nucor West,503
19330,Park Valley,603
19332,Plymouth Peak,737
19335,Rosette,856
19339,Dove Creek,512
19340,Allen Ranch,557
19341,Red Iron,907
19342,Heaston East,555
19728,Green River Flat,918
19733,The Rose of Snowville,509
19737,Deseret,568
19739,5S Land and Livestock,878
19744,Kimberly,922
19745,The Dirty Dozen,923
20129,Weber Florence Creek,524
20130,Cedar Springs,830
20131,Middle Ridge,565
20940,Pisgah Mountain,574
20941,Sharp Mountain,490
20943,Dry Creek,908
20944,West Ridge,874
20946,East Zion,807
20947,Wallsburg,586
20948,North Peaks,492
20949,Park Valley Hereford,504
20950,Salt Wells,906
20951,Raft River,875
20952,Heist,201
21352,Pahvant Ensign,826
21357,Double Cone,516
21364,Mt Carmel,533
21365,Coyote Little Pole,556
21369,Junction Valley,589
21824,Blackhawk,808
21826,Preston Nutter Ranch,542
22228,Cotton Thomas,640
22229,Fort Ranch,514
22628,Pocatello Valley,501
22629,Rattlesnake Pass,496
22630,Washakie,499
22631,West Hills,511
22632,Whites Valley,488
23038,Redd Ranches,548
23039,Summit Point,547
23040,Spring Creek/Dodge,546
23045,Thatcher Mountain,602
23046,Prohibition Springs,919
