FID,LOA_Name,Acres,Species,Hunt_Unit,Id,BoundaryID,Shape__Area,Shape__Length
1,Paunsaugunt LOA,45106.7,Deer,27 - Paunsaugunt,0,163,288979969.339844,809296.414210654
2,Indian Peaks LOA,25149.9,Elk,20 - Southwest Desert,0,872,164268005.707031,355447.056047057
3,Pahvant Mountain LOA,20528.7,Elk,21B - Fillmore,0,88,137356091.046875,323365.776642874
4,San Juan Elk LOA,28105.2,Elk,"14A- San Juan, Montezuma Canyon",0,710,183117813.566406,558220.046825256
5,Elk Ridge LOA,3586.63,Deer,"14B - San Juan, Elk Ridge",0,185,23290468.7890625,95241.9620842673
6,Diamond Mountain LOA,64394.5,Deer,"9C - South Slope, Diamond",0,206,454143608.902344,544829.14458671
7,South Fork of Sevier River LOA,15547.2,Pronghorn,24 - Mt Dutton/Paunsaugant,0,453,101032781.035156,157673.255767351
8,Henry Mountain Deer LOA,6006.17,Deer,15 - Henry Mtns,0,94,39348825.5390625,129448.364161469
9,Panguitch Lake LOA,33060.3,Elk,28 - Panguitch,0,634,214479506.699219,494855.312563213
10,Three Corners LOA,3894.11,Elk,"8C - North Slope, Three Corners",0,140,27653439.8515625,104734.108395522
11,Pilot Mountain LOA,6359.17,Elk,"1C - Box Elder, Pilot Mtn",0,682,45274236.6679688,102379.456952483
12,Vernon LOA,53683.9,Deer,"19B - West Desert, Vernon",0,248,369749925.859375,741452.84157222
13,Monroe Mountain LOA,16042.1,Elk,23 - Monroe,0,629,106492469.316406,279583.423527983
