boundary_id,boundary_name,source_file,source_type,source_date
1,Antelope Island,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
8,"Book Cliffs, East",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
13,"Book Cliffs, Rattlesnake Canyon",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
15,"Book Cliffs, South",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
24,"Box Elder, Promontory",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
26,"Box Elder, Raft River",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
29,Cache,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
41,"Cache, South",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
42,Central Mtns,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
56,Nebo (excludes West Face),D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
57,Nebo-West Face,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
59,"Manti, Northwest",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
63,"Manti, Southeast",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
71,Chalk Creek/Kamas,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
76,"East Canyon, Davis",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
79,"East Canyon, Morgan-Summit",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
100,"Kaiparowits, West",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
140,"North Slope, Three Corners",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
171,Plateau,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
185,"San Juan, Elk Ridge",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
187,"San Juan, Lockhart",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
191,San Rafael,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
193,"San Rafael, Dirty Devil",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
195,"San Rafael, South",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
226,"Wasatch Mtns, Cascade",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
227,"Wasatch Mtns, Currant Creek",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
237,"Wasatch Mtns, Timpanogos A",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
243,"West Desert, Mtn Ranges",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
248,"West Desert, Vernon",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
444,Diamond Mtn/Vernal/Bonanza,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
445,"Manti, Northeast",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
446,"Manti, Southwest",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
449,"Book Cliffs, Bitter Creek/South",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
607,Box Elder,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
610,Chalk Creek/East Canyon/Morgan-South Rich,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
612,North Slope,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
615,Nine Mile,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
616,Nebo,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
618,"San Juan, Abajo Mtns",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
620,"Wasatch Mtns, West",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
621,"Wasatch Mtns, East",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
623,"West Desert, West",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
628,Beaver,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
632,Thousand Lakes,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
633,Fishlake,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
638,"Book Cliffs, Wild Horse Bench",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
668,"Fillmore, Oak Creek (cougar)",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
684,La Sal,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
688,"La Sal, Potash/South Cisco",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
32767,Youth Multiseason Elk,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
7,Book Cliffs,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
9,"Book Cliffs, Bitter Creek-McCook Ridge",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
20,"Box Elder, Newfoundland Mtn",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
28,"Box Elder, West Bear River",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
32,"Cache, Crawford Mtn",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
97,Kaiparowits,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
98,"Kaiparowits, East",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
99,"Kaiparowits, Escalante",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
145,High Uintas Central,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
146,High Uintas East,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
147,High Uintas Leidy Peak,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
148,High Uintas West,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
157,"Ogden, Willard Peak",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
186,"San Juan, Hatch Point",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
225,"Wasatch Mtns, Box Elder Peak",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
231,"Wasatch Mtns, Lone Peak",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
233,"Wasatch Mtns, Provo Peak",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
244,"West Desert, Riverbed",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
246,"West Desert, Snake Valley",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
287,"North Slope, Three Corners-Bare Top",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
288,Stansbury,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
443,"San Rafael, Desert",D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
452,Diamond Mtn/Vernal,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
453,Mt Dutton/Paunsaugunt,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
484,Little Red Creek,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
493,Ingham Peak,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
498,Bootjack,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
510,Blue Spring Hills,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
521,Two Bear,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
523,State Corner,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
529,Boobe Hole,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
530,Grazing Pasture,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
534,Oak Ranch,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
535,Old Woman Plateau,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
536,Round Valley,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
537,Zane,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
553,Three C,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
558,Westlake,D:/Users/tyler/Desktop/test website/hunt_boundaries.geojson,GeoJSON,
