huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
BI0001,7,7,7,100,1,4.8
BI1000,2,2,2,100,1,5
BI6500,2,2,2,100,1,5
BI6503,15,15,14,93.3,2.4,4.6
BI6504,13,13,13,100,4.5,4.2
BI6505,28,28,22,78.6,4,4
BI6506,29,29,27,93.1,5.5,4.3
BI6509,3,3,2,66.7,7,4.3
BI6516,13,13,13,100,3.5,4.5
BI6527,18,15,0,0,9,3.6
BI6528,5,5,5,100,2,5
BI6529,5,5,4,80,1.8,4.8
BI6531,8,7,6,85.7,3.7,3.7
BI6532,4,3,3,100,2,5
BI6534,5,4,4,100,2.5,3.8
BI6535,5,5,5,100,4.2,4.4
BI6536,3,3,2,66.7,4.3,4.7
BI6537,11,11,10,90.9,3.7,4.6
DA1001,29,22,5,22.7,4.4,3
DA1002,29,17,3,17.6,2.4,2.8
DA1003,14,7,1,14.3,2.7,3.8
DA1009,25,23,23,100,1.6,4.6
DA1011,5,5,4,80,1.4,4.6
DA1012,15,14,14,100,1.8,5
DA1013,5,4,3,75,2,4.8
DA1018,18,15,8,53.3,5.1,3.4
DA1027,30,27,19,70.4,2.7,4.2
DA1030,24,14,2,14.3,3.8,2.8
DA1031,20,15,11,73.3,4.7,3.5
DA1033,5,5,4,80,1.8,4.6
DA1041,15,10,6,60,2.3,3.8
DA1042,5,4,4,100,1.7,4
DA1045,18,12,5,41.7,4.2,3.8
DA1046,25,20,10,50,5.2,3
DA1047,23,15,4,26.7,3.5,1.6
DA1048,14,8,2,25,4.7,2.4
DA1049,35,27,9,33.3,6.1,3.2
DA1050,10,8,6,75,1,4
DB0007,2,2,2,100,8.5,5
DB0008,1904,1352,288,21.3,9.5,3.3
DB0009,1,1,1,100,2,4
DB1000,9,9,9,100,10.3,4.1
DB1001,34,34,23,67.6,12.1,3.8
DB1002,1,1,1,100,1,5
DB1003,27,26,26,100,3.5,3.6
DB1004,90,88,82,93.2,6.7,4.1
DB1005,10,10,9,90,5.6,4.3
DB1006,30,30,21,70,5.7,3.9
DB1007,2,2,2,100,11,4.5
DB1008,6,6,6,100,22,4.7
DB1009,11,11,11,100,2.2,4.6
DB1010,29,28,26,92.9,4.9,4.6
DB1011,52,50,44,88,6.6,4.6
DB1012,13,13,11,84.6,9.2,4.4
DB1013,4,4,2,50,7.5,3.3
DB1014,17,17,17,100,5.3,3.7
DB1015,23,22,19,86.4,7.6,4
DB1016,51,51,29,56.9,8.8,4.1
DB1017,128,125,117,93.6,3.7,4.1
DB1019,40,40,38,95,4.4,3.9
DB1020,12,12,12,100,4,4.4
DB1022,45,45,40,88.9,4.8,3.9
DB1023,64,64,62,96.9,3.4,4.1
DB1024,154,151,129,85.4,4.4,3.5
DB1025,51,50,43,86,3.8,4.2
DB1026,8,8,8,100,4.8,3.9
DB1028,11,10,7,70,7.2,3.3
DB1029,15,15,12,80,6,4.3
