huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
DB1030,6,6,6,100,5.5,3.8
DB1031,4,4,4,100,6.5,4
DB1032,6,6,4,66.7,6.5,3.7
DB1033,6,6,6,100,4.5,4
DB1034,15,15,8,53.3,6.7,2.6
DB1037,17,16,14,87.5,4.6,3.8
DB1038,23,23,21,91.3,3.6,3.6
DB1039,7,7,7,100,5.1,3.6
DB1040,5,5,3,60,7.4,2.8
DB1041,30,30,19,63.3,5.8,3.4
DB1042,50,50,44,88,4.6,3.7
DB1043,15,15,7,46.7,6.4,2.8
DB1044,9,9,9,100,15.3,4
DB1045,3,3,3,100,30.3,3.7
DB1046,3,3,2,66.7,20,2.7
DB1047,5,5,5,100,7.6,3.8
DB1048,9,9,7,77.8,11,3.6
DB1053,5,5,4,80,6.5,4
DB1054,12,11,6,54.5,6.8,4.3
DB1055,6,6,4,66.7,5,2.6
DB1056,2,2,1,50,3,5
DB1058,28,27,10,37,8.3,2.8
DB1065,15,15,12,80,5.8,3.4
DB1073,9,9,8,88.9,7.2,5
DB1074,9,9,5,55.6,6.3,3.9
DB1077,24,23,13,56.5,4.7,3.8
DB1078,10,10,8,80,5.7,4.3
DB1079,40,40,33,82.5,5.5,3.5
DB1080,27,27,21,77.8,4.8,3.4
DB1081,9,9,5,55.6,5.9,2.8
DB1083,12,11,5,45.5,6.7,3.5
DB1084,12,12,8,66.7,5,2.4
DB1085,13,12,8,66.7,6.4,3.1
DB1086,6,5,4,80,3.3,4.5
DB1087,32,30,20,66.7,5,3.4
DB1090,7,7,7,100,6,4.4
DB1091,5,5,3,60,10,3.2
DB1100,11,11,9,81.8,3.8,4.5
DB1101,10,10,6,60,5.3,4
DB1103,8,8,3,37.5,4.1,3.6
DB1105,6,6,5,83.3,6.5,4.3
DB1106,20,18,3,16.7,5.3,2.6
DB1107,20,18,5,27.8,4,2.6
DB1108,22,22,12,54.5,3.8,4.1
DB1109,2,2,2,100,3.5,4
DB1110,10,10,4,40,8.3,3.3
DB1111,5,5,5,100,6.8,3.6
DB1112,4,4,1,25,7,2.7
DB1113,12,11,11,100,4.8,3.8
DB1114,6,6,2,33.3,6.2,3.2
DB1115,5,5,2,40,11.8,1.2
DB1119,9,9,4,44.4,6,3.7
DB1120,15,15,12,80,5.9,4.4
DB1200,20,20,18,90,5,4.7
DB1201,5,5,5,100,2.6,4.8
DB1202,3,2,1,50,7,3
DB1203,2,2,2,100,2,5
DB1204,9,9,7,77.8,1.8,5
DB1205,4,4,2,50,3.5,3.5
DB1206,11,11,11,100,3.3,4.7
DB1207,3,3,2,66.7,3.3,5
DB1208,7,7,7,100,4,4.8
DB1209,5,5,4,80,3,4.8
DB1211,10,10,10,100,4.8,4
DB1212,10,10,10,100,3.3,5
DB1213,18,18,8,44.4,4.1,4.1
DB1215,5,5,3,60,2,3.7
DB1216,7,7,7,100,2.6,4.6
DB1217,13,13,12,92.3,3,4.9
DB1219,16,15,13,86.7,3.7,4.6
DB1222,12,12,12,100,2.2,5
DB1224,10,10,9,90,4.6,4.1
DB1227,16,13,13,100,5.8,4.6
DB1228,83,83,70,84.3,3.2,4.7
DB1229,10,10,9,90,3.7,4.8
DB1230,16,16,14,87.5,3,4.9
DB1231,10,10,9,90,4.6,4.7
DB1232,7,7,5,71.4,3.2,4.8
DB1233,40,40,31,77.5,6.4,4.3
DB1234,10,10,8,80,7,4.6
DB1236,1,1,1,100,5,4
DB1237,31,31,28,90.3,3.3,5
DB1238,13,13,10,76.9,3.4,4.2
DB1239,2,2,2,100,3,5
DB1240,7,6,3,50,6.5,4.3
DB1241,5,5,5,100,3.5,5
DB1242,104,102,93,91.2,3.7,4.5
DB1243,10,10,7,70,5,4.7
DB1244,9,7,5,71.4,7.3,4.9
DB1245,10,10,8,80,4,4.5
DB1246,13,13,8,61.5,4.2,3.6
DB1248,20,20,18,90,3,4.8
DB1249,8,7,6,85.7,3.3,3.3
DB1250,3,3,2,66.7,1.7,3.3
DB1251,14,14,12,85.7,3.5,4.8
DB1252,34,32,32,100,4,4.5
DB1253,7,7,7,100,1.4,5
DB1255,2,2,0,0,9.5,2.5
DB1256,47,47,34,72.3,3.5,4.6
DB1258,9,9,7,77.8,3.3,4.7
DB1259,8,8,7,87.5,3.3,4
DB1260,9,9,6,66.7,4.7,4.7
DB1261,45,45,27,60,5.6,3.7
DB1263,10,10,10,100,5.1,2.4
DB1264,6,6,6,100,3.5,4.8
DB1265,11,10,5,50,3.9,4.1
DB1266,21,21,14,66.7,4.6,3.6
DB1269,6,6,6,100,2.5,4.7
DB1270,11,11,11,100,2.8,4.8
DB1271,4,4,3,75,4.8,5
DB1272,12,12,8,66.7,4.9,3.5
DB1274,7,7,6,85.7,5,4.9
DB1275,20,20,13,65,4.2,4.2
DB1277,6,6,6,100,3,4.8
DB1279,2,2,2,100,3,5
DB1280,10,10,9,90,2.3,5
DB1281,15,15,15,100,4.5,4.4
DB1282,16,15,14,93.3,3.6,4.4
DB1283,12,11,8,72.7,4,4.4
DB1285,7,6,3,50,4,4.3
DB1286,12,12,9,75,5,4.5
DB1287,10,9,9,100,2.8,5
DB1288,15,15,15,100,3.2,4.4
DB1289,16,16,14,87.5,3.6,5
DB1290,8,8,8,100,2.8,5
DB1291,4,4,2,50,3.5,4
DB1292,11,11,11,100,3.6,5
DB1293,10,10,10,100,2.8,5
DB1294,4,4,3,75,2.3,5
DB1295,56,56,50,89.3,3.3,4.5
DB1298,8,5,4,80,4.3,5
DB1299,25,23,22,95.7,4.7,3.9
DB1300,4,4,2,50,3.5,5
DB1301,20,20,16,80,6.2,4.5
DB1303,5,5,4,80,3.5,3.8
DB1304,10,10,10,100,3,4.4
DB1305,5,5,3,60,5.4,3.4
DB1306,10,10,10,100,2.3,4.8
DB1308,14,14,13,92.9,3.3,4.7
DB1309,23,23,22,95.7,2.8,4.5
DB1310,10,10,9,90,5.1,4.8
DB1312,2,2,2,100,2.5,5
DB1317,10,10,7,70,3.3,5
DB1320,6,5,2,40,3.3,3.5
DB1322,10,10,8,80,3.3,4.9
DB1323,4,4,4,100,9,4.8
DB1324,6,6,3,50,5,4
DB1325,7,7,4,57.1,3.5,1.8
DB1326,4,4,3,75,2.3,3.5
DB1327,7,7,5,71.4,5.6,4.7
DB1328,5,5,1,20,5.6,4.2
DB1330,1,1,1,100,5,3
DB1331,10,10,9,90,4.8,5
DB1332,37,35,21,60,5.6,3.7
DB1333,16,16,5,31.3,4,3.1
DB1334,5,5,5,100,3,5
DB1335,4,4,4,100,3,5
DB1336,8,8,6,75,3.8,4.2
DB1337,2,2,0,0,6.5,3.5
DB1341,10,10,8,80,2.3,4.5
DB1342,4,4,4,100,3,3.3
DB1343,8,8,7,87.5,8,4.4
DB1344,2,2,2,100,1,5
DB1345,10,10,10,100,2.6,4.7
DB1347,6,6,4,66.7,4.3,4
DB1348,5,5,2,40,3,2
DB1349,75,75,57,76,3.5,4.6
DB1501,935,711,164,23.1,9.5,3.2
DB1502,931,755,119,15.8,8.2,3.3
DB1503,1325,1168,250,21.4,7.7,3.5
DB1504,763,641,123,19.2,8.3,3.3
DB1508,210,176,29,16.5,7.7,3.3
DB1509,266,232,112,48.3,6.1,4
DB1510,79,50,19,38,8.4,3.2
DB1511,70,56,11,19.6,7.3,3.9
DB1512,190,147,44,29.9,9.4,3.1
DB1513,506,384,51,13.3,8.8,3.2
DB1514,396,296,59,19.9,9.3,3.3
DB1516,415,384,141,36.7,8.5,3.7
DB1517,490,434,115,26.5,8.5,3.5
DB1518,430,378,121,32,7.2,3.5
DB1519,235,219,56,25.6,7,3.4
DB1521,476,412,155,37.6,6.4,3.8
DB1522,366,327,129,39.4,10.2,3.3
DB1523,236,205,62,30.2,10.4,3.4
DB1524,77,64,11,17.2,8.1,3.2
DB1525,912,789,160,20.3,8,3.4
DB1526,1164,900,163,18.1,8.4,3.4
DB1529,458,405,157,38.8,7.6,3.6
DB1531,1982,1695,573,33.8,4.1,3.2
DB1533,4507,4060,1921,47.3,4,3.5
DB1534,2798,2544,1153,45.3,4.1,3.4
DB1536,896,842,495,58.8,4.3,3.5
DB1538,461,381,97,25.5,4,3.2
DB1539,944,827,445,53.8,3.9,3.7
DB1540,532,487,370,76,3.8,3.9
DB1541,216,206,114,55.3,3.9,3.5
DB1542,533,467,250,53.5,4.4,3.3
DB1543,1114,959,392,40.9,4.3,3.2
DB1544,1352,1164,437,37.5,3.8,3.5
DB1546,837,785,473,60.3,4.1,3.6
DB1547,1160,1034,402,38.9,5,2.9
DB1549,443,392,206,52.6,4.2,3.4
DB1551,1460,1280,658,51.4,3.9,3.5
DB1552,534,498,390,78.3,3.4,3.6
DB1553,704,623,393,63.1,3.7,3.5
DB1554,255,245,106,43.3,4.8,2.9
DB1555,3325,2995,1281,42.8,3.9,3.4
DB1556,3471,2928,825,28.2,3.7,3.2
DB1559,1191,1116,694,62.2,4.3,3.7
DB1561,837,680,164,24.1,4.1,3.1
DB1563,1346,1194,347,29.1,4.2,3.2
DB1564,755,649,141,21.7,4.1,3.2
DB1566,349,314,120,38.2,4.6,3.5
DB1568,209,160,35,21.9,4.1,3.3
DB1569,260,216,116,53.7,4.1,3.8
DB1570,106,92,57,62,4.3,3.5
DB1571,64,56,16,28.6,4.6,3.1
DB1572,196,169,42,24.9,4.2,3
DB1573,510,410,95,23.2,4.6,3.1
DB1574,394,330,70,21.2,4.2,3.1
DB1576,385,346,141,40.8,4.3,3.7
DB1577,499,442,144,32.6,4.4,3.3
DB1579,213,186,79,42.5,4,3.5
DB1581,467,398,177,44.5,4,3.6
DB1582,206,184,115,62.5,3.9,3.7
DB1583,229,204,89,43.6,4.2,3.4
DB1584,76,73,20,27.4,5.1,2.6
DB1585,917,789,217,27.5,4.2,3.3
DB1586,1129,947,187,19.7,4,3.1
DB1589,489,423,185,43.7,3.8,3.5
DB1592,233,194,38,19.6,3.1,3.2
DB1593,224,181,66,36.5,3.3,3
DB1594,397,348,186,53.4,3.2,3.8
DB1595,496,441,156,35.4,3.6,3.3
DB1596,210,191,95,49.7,3.1,3.4
DB1597,535,479,236,49.3,3.5,3.6
DB1598,563,474,147,31,3.3,3.1
DB1599,851,709,305,43,3.8,3.7
DB1600,420,352,66,18.8,8.1,3.3
DB1601,433,325,104,32,2.9,3.4
DB1602,277,225,57,25.3,4,3.2
DB1603,761,626,205,32.7,3.8,3.3
DB1604,315,238,37,15.5,8.8,3.4
DB1605,360,274,65,23.7,3,3.2
DB1606,316,242,18,7.4,3.6,2.8
DB1607,628,516,155,30,3.4,3.1
DB1608,308,223,31,13.9,8.5,3
DB1609,323,226,47,20.8,3,2.9
DB1610,181,149,18,12.1,4.8,2.7
DB1611,296,258,76,29.5,7.6,3.4
DB1612,307,275,93,33.8,4.1,3.3
DB1613,1059,989,494,49.9,4.3,3.2
DB1614,91,85,24,28.2,9.5,3.7
DB1615,89,79,31,39.2,4.5,3.7
DB1616,286,276,143,51.8,4.7,3.4
DB1617,68,55,21,38.2,9.1,3.6
DB1618,65,54,12,22.2,4.4,3.3
DB1619,228,190,44,23.2,4.5,2.7
DB1620,372,310,84,27.1,8.9,3.4
DB1621,385,341,114,33.4,4.2,3.3
DB1622,1412,1270,598,47.1,4,3.4
DB1623,181,155,40,25.8,7.9,3.6
DB1624,190,173,39,22.5,4.2,2.9
DB1625,621,559,207,37,4.1,3.1
DB1627,2723,2413,669,27.7,4.2,3
DB1628,548,428,111,25.9,4.3,3.1
DB1629,1226,1119,458,40.9,4.5,3.1
DB1630,395,352,114,32.4,4.5,3.3
DB1631,963,784,222,28.3,3.1,3
DB1770,83,78,29,37.2,9.9,3.6
DB1771,297,281,65,23.1,9.9,3.1
DB1772,1037,1001,392,39.2,9.7,3.3
DB1773,561,518,205,39.6,10.2,3.3
DB1774,1,1,0,0,7,5
DB1775,291,284,123,43.3,10.6,3.6
DB1777,104,96,32,33.3,9,3.1
DB1778,215,199,95,47.7,9.4,3.7
DB1779,73,55,31,56.4,8.5,3.6
DB1780,49,47,27,57.4,7.2,3.6
DB1781,163,156,63,40.4,11.6,3
DB1782,136,127,40,31.5,8.1,3.1
DB1783,125,120,36,30,11.6,3.6
DB1785,298,282,114,40.4,11.5,3.4
DB1786,404,384,173,45.1,10.1,3
DB1787,265,251,59,23.5,9.4,3.1
DB1788,155,149,59,39.6,8.5,3.7
DB1790,176,162,52,32.1,8.9,3.2
DB1791,157,144,69,47.9,11,3.3
DB1792,163,151,56,37.1,8.2,3.3
DB1793,53,51,16,31.4,12,2.9
DB1795,545,505,168,33.3,9.3,3.3
DB1798,360,337,158,46.9,8.2,3.5
DB1799,47,46,13,28.3,10.7,3.4
DB1800,107,103,35,34,10.8,3.4
DB1801,25,22,3,13.6,8.7,3
DB1802,245,232,76,32.8,8.2,3.3
DB1803,54,54,15,27.8,11.7,3.4
DB1804,141,127,39,30.7,8,2.7
DB1805,276,258,96,37.2,9.1,3.2
DB1806,37,34,7,20.6,9.8,3.2
DS1000,2,2,2,100,6.5,5
DS1002,1,1,1,100,1,5
DS1003,1,1,1,100,4,4
DS1004,1,1,1,100,6,4
DS1006,1,1,1,100,1,5
DS1007,1,1,1,100,1,5
DS6600,3,3,2,66.7,22.7,2.3
DS6601,13,13,13,100,5.3,4.8
DS6603,5,5,5,100,6,4.4
DS6604,7,7,7,100,7.7,4.3
DS6605,1,1,1,100,8,5
DS6606,2,2,1,50,12,4.5
DS6607,2,2,2,100,6.5,5
DS6608,7,7,6,85.7,11.1,4.6
DS6609,8,8,8,100,10.1,4.9
DS6610,12,12,11,91.7,11.2,4.4
DS6611,3,3,3,100,20.7,4.7
DS6620,3,3,2,66.7,15,3.7
DS6621,5,5,3,60,11.7,2.7
DS6622,3,3,1,33.3,16,1.7
DS6623,2,2,2,100,14,5
DS6624,3,3,2,66.7,9.5,3.5
DS6625,3,3,3,100,3,5
DS6626,7,7,5,71.4,13.4,3.9
DS6627,3,3,3,100,5.7,5
EA1010,20,15,2,13.3,3.4,2.7
EA1011,10,6,1,16.7,3.8,2.7
EA1012,6,3,2,66.7,15,3.5
EA1013,68,65,32,49.2,4.1,3.7
EA1015,70,68,31,45.6,4.7,3.7
EA1017,95,84,28,33.3,9.5,2.9
EA1018,59,53,37,69.8,5.7,3.7
EA1020,118,113,42,37.2,10.8,2.7
EA1021,227,209,93,44.5,4.3,3.4
EA1022,292,269,94,34.9,4.7,3.4
EA1023,98,93,33,35.5,4.4,3.5
EA1024,98,94,59,62.8,7.3,4
EA1025,117,104,40,38.5,6.5,3.2
EA1026,341,223,39,17.5,7.7,3
EA1030,47,41,13,31.7,5.3,3.1
EA1031,48,45,22,48.9,5.3,3.2
EA1033,125,91,11,12.1,7.6,3.2
EA1035,125,100,7,7,6.1,2.9
EA1037,49,40,10,25,5.9,3.1
EA1038,197,173,50,28.9,5.4,3.3
EA1039,148,125,44,35.2,6.1,3.2
EA1044,35,26,13,50,4,3.6
EA1049,70,63,24,38.1,3.8,3.3
EA1054,50,45,32,71.1,3.8,4.4
EA1056,5,4,2,50,3.3,3.5
EA1060,19,18,3,16.7,6.7,2.8
EA1061,17,14,4,28.6,5.4,3.3
EA1063,75,62,5,8.1,5.4,3
EA1064,74,56,2,3.6,5.3,2.7
EA1069,34,33,21,63.6,2.8,3.9
EA1073,16,13,1,7.7,10.4,2.4
EA1075,46,39,20,51.3,5.9,3.6
EA1076,49,47,38,80.9,3.3,4.2
EA1077,30,22,14,63.6,5.7,3.8
EA1078,264,247,91,36.8,5.1,3.5
EA1079,64,60,56,93.3,2.5,4.6
EA1080,59,58,45,77.6,4.1,4
EA1081,122,115,45,39.1,5,3.3
EA1082,121,107,55,51.4,5.6,3.5
EA1084,5,1,0,0,2,3
EA1085,100,91,12,13.2,9,2.9
EA1087,99,97,28,28.9,5.5,3.2
EA1089,49,46,10,21.7,4.2,2.6
EA1090,49,45,11,24.4,4.3,3
EA1094,98,85,40,47.1,6.4,3.2
EA1101,98,94,65,69.1,5,3.8
EA1106,194,159,35,22,4,3.1
EA1110,45,38,12,31.6,8.5,3.2
EA1111,34,32,2,6.3,5.7,2.6
EA1112,54,43,11,25.6,4.5,2.8
EA1113,29,21,8,38.1,7.7,3.1
EA1114,24,19,9,47.4,4.7,2.9
EA1117,214,164,26,15.9,9,2.6
EA1118,6,5,1,20,7.2,2
EA1119,20,20,15,75,2.4,4.4
EA1120,21,19,9,47.4,3,3.6
EA1121,10,10,7,70,1.5,4.4
EA1122,5,5,1,20,6.2,3
EA1124,15,15,14,93.3,3.3,4.6
EA1125,25,25,25,100,1.3,4.9
EA1129,608,580,332,57.2,2.7,3.8
EA1130,7,6,4,66.7,2.2,4.2
EA1131,33,33,24,72.7,1.8,4.3
EA1132,51,42,11,26.2,3.3,3.5
EA1134,91,87,57,65.5,2,4
EA1135,20,19,12,63.2,1.7,4.3
EA1136,81,80,37,46.3,3.3,3.8
EA1137,15,15,13,86.7,2.6,4.9
EA1138,20,20,12,60,2.4,3.7
EA1139,9,9,2,22.2,4.1,3.2
EA1140,24,24,24,100,1.3,5
EA1141,16,12,7,58.3,3,4.8
EA1142,12,12,10,83.3,3.2,4.7
EA1143,35,35,34,97.1,2,4.8
EA1145,21,21,17,81,1.7,4.1
EA1146,13,13,12,92.3,2.7,4.8
EA1147,15,15,10,66.7,2.1,4.5
EA1149,14,14,4,28.6,3.1,3.4
EA1151,6,6,2,33.3,3,2.5
EA1153,4,4,4,100,3,4.5
EA1156,20,20,16,80,2.1,5
EA1157,34,31,19,61.3,2.5,4.2
EA1158,9,8,2,25,4.7,4
EA1159,6,6,6,100,1.5,5
EA1160,4,4,3,75,1.8,4.8
EA1162,14,13,9,69.2,1.9,4.6
EA1163,32,31,23,74.2,3,4.1
EA1164,6,6,5,83.3,3.3,5
EA1165,14,14,13,92.9,1.1,5
EA1166,16,15,7,46.7,2.4,3.9
EA1167,12,10,8,80,1.9,4.1
EA1168,20,19,12,63.2,3.7,3.8
EA1170,10,10,9,90,2,4.6
EA1171,10,9,6,66.7,3.8,4.3
EA1172,14,13,8,61.5,11.5,3.7
EA1174,58,56,40,71.4,1.7,4.2
EA1175,10,7,2,28.6,2.3,3.4
EA1177,8,8,3,37.5,1.9,5
EA1180,2,2,2,100,1,3
EA1187,15,12,1,8.3,8.2,1.9
EA1189,423,354,49,13.8,4,3.1
EA1192,6,6,1,16.7,2,2.4
EA1193,20,20,12,60,4.1,3.4
EA1196,75,73,18,24.7,4.2,3.4
EA1198,2,2,2,100,2,5
EA1200,10,10,10,100,2.1,5
EA1201,10,10,9,90,3.2,4.5
EA1203,5,5,2,40,3.2,2.6
EA1204,5,5,2,40,1.8,4
EA1206,10,8,2,25,6.2,4.2
EA1207,8,8,0,0,4.7,2.1
EA1208,271,231,106,45.9,6.5,3.3
EA1209,49,43,11,25.6,14.5,2.5
EA1217,148,131,34,26,4.9,3.2
EA1221,1,1,0,0,3,4
EA1222,30,26,11,42.3,5.7,3.7
EA1223,29,29,11,37.9,3.5,3.2
EA1224,129,118,68,57.6,4,3.9
EA1225,154,146,114,78.1,2.9,4.4
EA1226,10,5,0,0,3.6,2.2
EA1228,72,49,15,30.6,2.9,3
EA1229,158,120,36,30,4.3,2.6
EA1231,50,40,13,32.5,10.4,2.7
EA1233,4,4,0,0,4.5,2.8
EA1234,16,16,7,43.8,1.9,3.9
EA1235,10,10,3,30,3.6,3
EA1236,147,116,7,6,6.3,2.6
EA1237,170,130,11,8.5,6.2,2.3
EA1239,50,43,15,34.9,5.1,2.8
EA1240,149,128,61,47.7,7.5,3.5
EA1242,98,90,23,25.6,5.9,2.8
EA1243,97,80,32,40,6.3,3.1
EA1244,100,86,15,17.4,4.4,3.3
EA1245,50,38,11,28.9,4.3,3.6
EA1250,30,28,8,28.6,6.5,3.6
EA1251,14,12,3,25,4.7,1.7
EA1254,30,26,1,3.8,7.8,2.4
EA1256,9,6,2,33.3,2.4,3.8
EA1257,5,5,3,60,2.7,5
EA1259,2,2,1,50,2.5,4
EA1260,5,5,1,20,4,5
EA1261,6,6,2,33.3,1.6,3.4
EA1263,79,76,42,55.3,4,4.1
EA1264,46,42,17,40.5,2.8,3.7
EA1266,20,19,10,52.6,11.3,3.1
EA1267,87,81,24,29.6,6,3.3
EA1268,147,118,10,8.5,8.5,2.9
EA1269,199,143,43,30.1,5.4,3.1
EA1270,4,4,3,75,1.8,4
EA1271,3,3,3,100,2.3,4
EA1272,145,99,5,5.1,6.5,2.4
EA1273,25,23,19,82.6,3.1,4.3
EA1274,25,19,1,5.3,5.3,4.1
EA1276,43,30,11,36.7,3.4,3.5
EA1277,25,24,15,62.5,2.1,4.3
EA1278,50,39,19,48.7,5.4,3.3
EA1279,49,42,14,33.3,7.7,3.1
EA1280,167,111,34,30.6,5,3.2
EA1281,73,64,24,37.5,4.2,3.3
EA1283,35,30,3,10,5.1,3.2
EA1284,35,27,4,14.8,4.3,2.6
EA1285,32,31,19,61.3,2.2,4
EA1286,16,15,9,60,3.8,3.8
EA2000,1434,1151,77,6.7,5.8,2.9
EA2002,193,149,37,24.8,5.8,3.1
EA2003,313,269,105,39,9.2,3.6
EA2004,590,461,163,35.4,7.3,3.5
EA2005,67,43,23,53.5,3.7,4
EA2006,495,413,193,46.7,10.4,3.5
EA2008,41,36,20,55.6,11.3,3.4
EA2009,70,54,15,27.8,7,3.5
EA2010,50,42,11,26.2,15.4,2.9
EA2011,298,231,96,41.6,9.7,3.6
EA2012,168,143,76,53.1,5.4,4
EA2013,148,111,42,37.8,6.6,3.6
EA2014,27,22,9,40.9,3.4,3.4
EA2015,93,64,16,25,9.8,3.1
EA2016,275,207,76,36.7,11.4,3.7
EA2017,65,50,30,60,6,3.7
EA2018,72,54,26,48.1,10.1,3.8
EA2019,59,50,15,30,13.7,2.8
EA2020,318,245,67,27.3,13.4,2.9
EA2021,28,14,3,21.4,5.8,3.6
EA2026,97,72,28,38.9,6.1,3.4
EA2027,280,225,59,26.2,8.1,3.5
EA2028,246,198,84,42.4,5.5,3.2
EA2029,88,75,26,34.7,7.2,3.6
EA2030,198,175,94,53.7,4.8,4
EA2033,73,48,1,2.1,6.2,3.1
EA2034,17,10,0,0,7.3,3.4
EA2036,60,58,53,91.4,4.3,4.4
EA2037,163,129,23,17.8,7.3,3.4
EA2038,853,714,96,13.4,5.8,3.5
EA2039,115,90,23,25.6,11.7,3.2
EA2040,71,53,29,54.7,7.4,3.7
EA2045,4,4,3,75,2.5,4
EA2046,10,10,0,0,3,3
EB1000,2,2,2,100,26,5
EB1001,10890,9443,1416,15,3.9,2.9
EB1002,2091,1779,276,15.5,4.6,3
EB1003,10081,8938,1396,15.6,4.8,3.1
EB1005,11797,10614,1256,11.8,7.9,3.3
EB1007,735,670,283,42.2,4.5,3.3
EB1009,3996,3688,925,25.1,8.9,3.3
EB1010,3698,3260,473,14.5,4,2.9
EB1011,4112,3558,624,17.5,5.7,3.1
EB1012,508,412,227,55.1,9.9,3.6
EB3000,26,26,20,76.9,12.8,4.5
EB3002,3,3,2,66.7,6.7,4.7
EB3003,11,10,2,20,8.4,3.9
EB3005,10,10,4,40,9.9,3.3
EB3006,175,171,52,30.4,13.9,3.7
EB3008,22,22,7,31.8,13,3.4
EB3009,42,41,17,41.5,11.4,3.6
EB3010,2,2,2,100,5,3
EB3011,21,21,8,38.1,14.3,3.6
EB3013,8,8,3,37.5,10.1,3.1
EB3015,18,18,7,38.9,15.1,3.6
EB3018,89,87,29,33.3,13.1,3.5
EB3019,30,29,16,55.2,15.1,3.4
EB3020,25,25,7,28,13.1,2.9
EB3022,182,169,43,25.4,13.4,3.3
EB3024,11,11,10,90.9,2.5,3.9
EB3025,17,17,15,88.2,3.9,4.3
EB3028,2,2,2,100,1,4
EB3031,12,12,9,75,8,2.7
EB3032,6,6,3,50,2.5,3.5
EB3033,8,8,4,50,3,3.8
EB3036,4,4,4,100,2.3,4.7
EB3037,7,6,4,66.7,5.4,4.2
EB3038,72,72,51,70.8,3.1,4.1
EB3039,122,122,99,81.1,4.4,3.8
EB3042,16,16,11,68.8,3.3,3.8
EB3043,16,15,10,66.7,5.7,3.1
EB3044,7,7,6,85.7,12.7,4
EB3045,17,17,8,47.1,3.9,4
EB3046,28,28,12,42.9,5.5,3.8
EB3047,8,7,7,100,2.2,4.5
EB3048,15,15,14,93.3,4.1,4.3
EB3049,8,8,7,87.5,2.4,4.1
EB3050,15,15,14,93.3,4.4,4.5
EB3053,11,11,10,90.9,3.4,4.3
EB3056,12,12,11,91.7,3.3,4.5
EB3057,13,13,11,84.6,4.1,4.6
EB3063,38,38,32,84.2,3.6,3.7
EB3064,108,107,62,57.9,6.8,3.4
EB3065,64,64,54,84.4,4.5,3.6
EB3066,19,19,15,78.9,3.9,3.8
EB3067,21,20,14,70,5.4,4
EB3068,11,11,9,81.8,2.7,4.2
