hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,permit_allocation_type,permit_source_authority,permit_note,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,permits_2025_draw_res,permits_2025_draw_nr,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,draw_2025_species_section,permits_2025_draw_total
DB1011,7,Book Cliffs,Deer,Limited Entry,Limited Entry,BONUS,Archery,Buck,FALSE,STANDARD,Aug 15 2026 - Sept 11 2026,44,4,48,,50,44,88,6.6,4.6,Public,61,,61,TOTAL_ONLY,DRAW_TOTAL_ONLY,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_buck_limited_entry.csv; no resident/nonresident split published in this source.,TRUE,TRUE,FALSE,buck_deer.xlsx,2026_deer_buck_limited_entry.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,44,4,13,28,Bonus Point Draw Results,,48
DB1044,7,Book Cliffs,Deer,Limited Entry,Limited Entry,BONUS,Multiseason,Buck,FALSE,STANDARD,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",6,1,7,,9,9,100,15.3,4,Public,9,,9,TOTAL_ONLY,DRAW_TOTAL_ONLY,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_buck_limited_entry.csv; no resident/nonresident split published in this source.,TRUE,TRUE,FALSE,buck_deer.xlsx,2026_deer_buck_limited_entry.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,6,1,42,57,Bonus Point Draw Results,,7
DB1025,7,Book Cliffs,Deer,Limited Entry,Limited Entry,BONUS,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,43,4,47,,50,43,86,3.8,4.2,Public,61,,61,TOTAL_ONLY,DRAW_TOTAL_ONLY,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_buck_limited_entry.csv; no resident/nonresident split published in this source.,TRUE,TRUE,FALSE,buck_deer.xlsx,2026_deer_buck_limited_entry.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,43,4,26,41,Bonus Point Draw Results,,47
DA1030,11,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,ANTLERLESS,Archery,Antlerless,FALSE,STANDARD,Aug 16 2025 - Sep 12 2025,19,1,20,,14,2,14.3,3.8,2.8,Public,,,25,TOTAL_ONLY,DWR_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.,TRUE,FALSE,TRUE,antlerless deer.xlsx,2026_deer_antlerless_general.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
DA1046,11,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,ANTLERLESS,"Archery, Muzzleloader, Shotgun",Antlerless,FALSE,STANDARD,Sep 13 2025 - Oct 12 2025,20,0,20,,20,10,50,5.2,3,Public,,,25,TOTAL_ONLY,DWR_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.,TRUE,FALSE,TRUE,antlerless deer.xlsx,2026_deer_antlerless_general.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
EB3028,12,"Book Cliffs, Little Creek Roadless",Elk,Mature Bull,Limited Entry,BONUS,Any Legal Weapon,Bull,FALSE,STANDARD,Sept 16 2026 - Sept 20 2026,2,0,2,,2,2,100,1,4,Public,3,0,3,FULL_SPLIT,,,,TRUE,FALSE,FALSE,BULL ELK DATABASE.csv,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,2,0,215,254,Bonus Point Draw Results,,2
EB3167,12,"Book Cliffs, Little Creek Roadless",Elk,Mature Bull,Limited Entry,BONUS,Any Legal Weapon,Bull,FALSE,STANDARD,Oct 03 2026 - Oct 15 2026,3,1,4,,4,4,100,3.5,5,Public,4,1,5,FULL_SPLIT,,,,TRUE,FALSE,FALSE,BULL ELK DATABASE.csv,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,3,1,307,346,Bonus Point Draw Results,,4
EB3002,12,"Book Cliffs, Little Creek Roadless",Elk,Mature Bull,Limited Entry,BONUS,Archery,Bull,FALSE,STANDARD,Aug 15 2026 - Sept 15 2026,3,0,3,,3,2,66.7,6.7,4.7,Public,4,0,4,FULL_SPLIT,,,,TRUE,FALSE,FALSE,BULL ELK DATABASE.csv,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,3,0,199,238,Bonus Point Draw Results,,3
EB3104,12,"Book Cliffs, Little Creek Roadless",Elk,Mature Bull,Limited Entry,BONUS,Multiseason,Bull,FALSE,STANDARD,"Arch: Aug 15-Sept 15, 2026 | Muzz: Sept 21-Oct 2, 2026 | ALW: Sept 16-20, 2026 & Oct 3-15, 2026",1,0,1,,1,1,100,1,5,Public,1,0,1,FULL_SPLIT,,,,TRUE,FALSE,FALSE,BULL ELK DATABASE.csv,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,1,0,260,299,Bonus Point Draw Results,,1
EB3079,12,"Book Cliffs, Little Creek Roadless",Elk,Mature Bull,Limited Entry,BONUS,Muzzleloader,Bull,FALSE,STANDARD,Sept 21 2026 - Oct 02 2026,2,0,2,,1,1,100,2,5,Public,2,0,2,FULL_SPLIT,,,,TRUE,FALSE,FALSE,BULL ELK DATABASE.csv,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,2,0,245,284,Bonus Point Draw Results,,2
EL3028,12,"Book Cliffs, Little Creek Roadless",Elk,Private Land Only,Limited Entry - Private Land Only,NONE,Any Legal Weapon,Bull,FALSE,STANDARD,Sept 17 2025 - Sept 21 2025 - Private Land Only,,,,,,,,,,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,DWR Hunt Planner source confirmed; no permit total/allotment published for this private-land hunt.,,,,BULL ELK DATABASE.csv,2026_elk_limitedentry_maturebull_privatelands.xlsx,Utah DWR Hunt Planner,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
EL3167,12,"Book Cliffs, Little Creek Roadless",Elk,Private Land Only,Limited Entry - Private Land Only,NONE,Any Legal Weapon,Bull,FALSE,STANDARD,Oct 04 2025 - Oct 16 2025 - Private Land Only,,,,,,,,,,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,DWR Hunt Planner source confirmed; no permit total/allotment published for this private-land hunt.,,,,BULL ELK DATABASE.csv,2026_elk_limitedentry_maturebull_privatelands.xlsx,Utah DWR Hunt Planner,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
EL3002,12,"Book Cliffs, Little Creek Roadless",Elk,Private Land Only,Limited Entry - Private Land Only,NONE,Archery,Bull,FALSE,STANDARD,Aug 16 2025 - Sept 16 2025 - Private Land Only,,,,,,,,,,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,DWR Hunt Planner source confirmed; no permit total/allotment published for this private-land hunt.,,,,BULL ELK DATABASE.csv,2026_elk_limitedentry_maturebull_privatelands.xlsx,Utah DWR Hunt Planner,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
EL3079,12,"Book Cliffs, Little Creek Roadless",Elk,Private Land Only,Limited Entry - Private Land Only,NONE,Muzzleloader,Bull,FALSE,STANDARD,Sept 22 2025 - Oct 03 2025 - Private Land Only,,,,,,,,,,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,DWR Hunt Planner source confirmed; no permit total/allotment published for this private-land hunt.,,,,BULL ELK DATABASE.csv,2026_elk_limitedentry_maturebull_privatelands.xlsx,Utah DWR Hunt Planner,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
DB1018,15,"Book Cliffs, South",Deer,Limited Entry,Limited Entry,BONUS,Any Legal Weapon,Buck,FALSE,STANDARD,Oct 17 2026 - Oct 25 2026,27,2,29,,31,31,100,3.7,4.5,Public,38,,38,TOTAL_ONLY,DRAW_TOTAL_ONLY,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_buck_limited_entry.csv; no resident/nonresident split published in this source.,TRUE,TRUE,FALSE,buck_deer.xlsx,2026_deer_buck_limited_entry.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,27,2,20,35,Bonus Point Draw Results,,29
PB5027,15,"Book Cliffs, South",Pronghorn,Limited Entry,Limited Entry,BONUS,Any Legal Weapon,Buck,FALSE,STANDARD,Sept 12 2026 - Sept 20 2026,31,3,34,,36,36,100,1.5,4.4,Public,34,4,38,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,31,3,431,522,Bonus Point Draw Results,,34
PB5002,15,"Book Cliffs, South",Pronghorn,Limited Entry,Limited Entry,BONUS,Archery,Buck,FALSE,STANDARD,Aug 15 2026 - Sept 11 2026,7,1,8,,8,7,87.5,5.9,4.3,Public,8,1,9,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,7,1,411,502,Bonus Point Draw Results,,8
RS1001,15,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Conservation,Conservation,NONE,Any Legal Weapon,Male Only,FALSE,STANDARD,"Nov 1 - Dec 31, 2025",,,,,1,1,100,20,2,Public,0,0,0,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.csv,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,,,,,,,
RS6701,15,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Once-in-a-lifetime,BONUS,Any Legal Weapon,Male Only,FALSE,OIL,Oct 31 2026 - Nov 30 2026,5,1,6,,6,6,100,8.3,4.2,Public,5,1,6,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.xlsx,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,5,1,589,589,Bonus Point Draw Results,,6
EA1266,18,"Box Elder, Hansel Mtn",Elk,Antlerless,General Season,ANTLERLESS,Any Legal Weapon,Antlerless,FALSE,STANDARD,Aug 01 2025 - Jan 31 2026,18,2,20,,19,10,52.6,11.3,3.1,Public,18,2,20,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_elk_antlerless__total.xlsx.,TRUE,FALSE,TRUE,antlerless elk.xlsx,2026_elk_antlerless__total.xlsx,official_uploaded_source,COMPLETE,,,,,,,
EA2026,18,"Box Elder, Hansel Mtn",Elk,Antlerless,Private Lands Only,ANTLERLESS,Any Legal Weapon,Antlerless,FALSE,STANDARD,Aug 01 2025 - Jan 31 2026,,,200,,72,28,38.9,6.1,3.4,Private,,,200,TOTAL_ONLY,ANTLERLESS_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_elk_antlerless__total.xlsx; no resident/nonresident split published in this source.,TRUE,FALSE,FALSE,antlerless elk.xlsx,2026_elk_antlerless__total.xlsx,Utah DWR Hunt Planner,COMPLETE_TOTAL_ONLY,,,,,,,
RS1003,20,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Conservation,Conservation,NONE,Any Legal Weapon,Male Only,FALSE,STANDARD,"Oct 25 - Dec 31, 2025",,,,,1,1,100,2,5,Public,0,0,0,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.csv,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,,,,,,,
RE1000,20,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Antlerless,General Season,NONE,Any Legal Weapon,Antlerless,FALSE,STANDARD,Sep 08 2025 - Sep 16 2025,4,1,5,,5,4,80,2,4,Public,4,1,5,FULL_SPLIT,,,,TRUE,FALSE,TRUE,rocky mtn sheep ewe.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,,,,,,,
RS6703,20,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Once-in-a-lifetime,BONUS,Any Legal Weapon,Male Only,FALSE,OIL,Oct 03 2026 - Oct 23 2026,4,0,4,,5,5,100,7.8,4.6,Public,4,0,4,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.xlsx,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,3,0,590,590,Bonus Point Draw Results,,3
RS6704,20,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Once-in-a-lifetime,BONUS,Any Legal Weapon,Male Only,FALSE,OIL,Oct 24 2026 - Nov 13 2026,3,1,4,,4,4,100,2.5,5,Public,3,1,4,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.xlsx,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,3,1,591,591,Bonus Point Draw Results,,4
RS6722,20,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Once-in-a-lifetime,BONUS,Archery,Male Only,FALSE,OIL,Nov 14 2026 - Dec 06 2026,2,0,2,,3,2,66.7,14,4,Public,2,0,2,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.xlsx,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,2,0,598,598,Bonus Point Draw Results,,2
DA1031,21,"Oquirrh-Stansbury, Settlement Cyn",Deer,Antlerless,General Season,ANTLERLESS,Archery,Antlerless,FALSE,STANDARD,Aug 16 2025 - Sep 12 2025,16,0,16,,15,11,73.3,4.7,3.5,Public,,,20,TOTAL_ONLY,DWR_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.,TRUE,FALSE,TRUE,antlerless deer.xlsx,2026_deer_antlerless_general.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
DA1033,23,"San Juan, Monticello",Deer,Antlerless,General Season,ANTLERLESS,Archery,Antlerless,FALSE,STANDARD,Aug 01 2025 - Sep 14 2025,4,0,4,,5,4,80,1.8,4.6,Public,,,5,TOTAL_ONLY,DWR_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.,TRUE,FALSE,TRUE,antlerless deer.xlsx,2026_deer_antlerless_general.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
DA1042,23,"San Juan, Monticello",Deer,Antlerless,General Season,ANTLERLESS,Archery,Antlerless,FALSE,STANDARD,Nov 24 2025 - Dec 31 2025,4,0,4,,4,4,100,1.7,4,Public,,,5,TOTAL_ONLY,DWR_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.,TRUE,FALSE,TRUE,antlerless deer.xlsx,2026_deer_antlerless_general.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
PD1012,24,"Box Elder, Promontory",Pronghorn,Antlerless,General Season,NONE,Any Legal Weapon,Antlerless,FALSE,STANDARD,Oct 04 2025 - Oct 26 2025,22,3,25,,16,8,50,2.6,3.1,Public,18,2,20,FULL_SPLIT,,,,TRUE,FALSE,TRUE,pronghorn doe.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,,,,,,,
PB5028,24,"Box Elder, Promontory",Pronghorn,Limited Entry,Limited Entry,BONUS,Any Legal Weapon,Buck,FALSE,STANDARD,Sept 12 2026 - Sept 20 2026,14,2,16,,17,12,70.6,2.1,3.8,Public,14,2,16,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,14,2,432,523,Bonus Point Draw Results,,16
PB5003,24,"Box Elder, Promontory",Pronghorn,Limited Entry,Limited Entry,BONUS,Archery,Buck,FALSE,STANDARD,Aug 15 2026 - Sept 11 2026,4,0,4,,2,0,0,11.5,2,Public,4,0,4,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,3,0,412,503,Bonus Point Draw Results,,3
PB5029,25,"Box Elder, Puddle Valley",Pronghorn,Limited Entry,Limited Entry,BONUS,Any Legal Weapon,Buck,FALSE,STANDARD,Sept 12 2026 - Sept 20 2026,14,2,16,,16,14,87.5,2.2,4.1,Public,14,2,16,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,14,2,433,524,Bonus Point Draw Results,,16
PB5004,25,"Box Elder, Puddle Valley",Pronghorn,Limited Entry,Limited Entry,BONUS,Archery,Buck,FALSE,STANDARD,Aug 15 2026 - Sept 11 2026,3,1,4,,3,3,100,2.3,4.7,Public,3,1,4,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,3,1,413,504,Bonus Point Draw Results,,4
PD1000,27,"Box Elder, Snowville",Pronghorn,Antlerless,General Season,NONE,Any Legal Weapon,Antlerless,FALSE,STANDARD,Nov 08 2025 - Dec 07 2025,72,8,80,,70,33,47.1,3.1,2.9,Public,36,4,40,FULL_SPLIT,,,,TRUE,FALSE,TRUE,pronghorn doe.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,,,,,,,
PB5030,27,"Box Elder, Snowville",Pronghorn,Limited Entry,Limited Entry,BONUS,Any Legal Weapon,Buck,FALSE,STANDARD,Sept 12 2026 - Sept 20 2026,27,3,30,,32,24,75,2,4.1,Public,28,3,31,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,27,3,434,525,Bonus Point Draw Results,,30
PB5005,27,"Box Elder, Snowville",Pronghorn,Limited Entry,Limited Entry,BONUS,Archery,Buck,FALSE,STANDARD,Aug 15 2026 - Sept 11 2026,9,1,10,,8,5,62.5,5.8,4.8,Public,9,1,10,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,9,1,414,505,Bonus Point Draw Results,,10
PB5080,27,"Box Elder, Snowville",Pronghorn,Limited Entry,Limited Entry,BONUS,Muzzleloader,Buck,FALSE,STANDARD,Sept 23 2026 - Oct 01 2026,9,1,10,,10,8,80,2,3.7,Public,9,1,10,FULL_SPLIT,,,,TRUE,FALSE,FALSE,pronghorn buck.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE,1,6,472,563,Bonus Point Draw Results,,7
DA1001,28,"Box Elder, West Bear River",Deer,Antlerless,General Season,ANTLERLESS,"Archery, Muzzleloader, Shotgun",Antlerless,FALSE,STANDARD,Aug 18 2025 - Aug 30 2025,24,0,24,,22,5,22.7,4.4,3,Public,,,30,TOTAL_ONLY,DWR_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.,TRUE,FALSE,TRUE,antlerless deer.xlsx,2026_deer_antlerless_general.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
