hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,permit_allocation_type,permit_source_authority,permit_note,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,permits_2025_draw_res,permits_2025_draw_nr,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,draw_2025_species_section,permits_2025_draw_total
BI6500,1,Antelope Island,Bison,Once-in-a-lifetime,Once-in-a-lifetime,BONUS,Any Legal Weapon,Hunters Choice,FALSE,OIL,Dec 07 2026 - Dec 09 2026,2,0,2,,2,2,100,1,5,Public,2,0,2,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,TRUE,FALSE,FALSE,bison bull.xlsx,2026_bison_either-sex.xlsx,official_uploaded_source,COMPLETE,2,0,535,1,Bonus Point Draw Results,,2
DB1121,1,Antelope Island,Deer,Management,Management Buck Deer,NONE,Any Legal Weapon,Buck,FALSE,STANDARD,"Nov 16 2026 - Nov 20, 2026",,,,,,,,,,Public,2,,2,TOTAL_ONLY,DRAW_TOTAL_ONLY,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_buck_limited_entry_management_buck.csv; no resident/nonresident split published in this source.,,,,buck_deer.xlsx,2026_deer_buck_limited_entry_management_buck.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
DB0009,1,Antelope Island - Conservation/Expo,Deer,Premium Limited Entry,Premium Limited Entry,BONUS,Any Legal Weapon,Buck,FALSE,STANDARD,"Nov 9, 2026 - Nov 16, 2026",,,,,1,1,100,2,4,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,Utah DWR Hunt Planner source confirms hunt in 2026_deer_buck_premium_limited_entry.csv; no quota or permit total published in uploaded source.,TRUE,FALSE,FALSE,BUCK DEER.csv,2026_deer_buck_premium_limited_entry.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
DB1002,1,Antelope Island,Deer,Premium Limited Entry,Premium Limited Entry,BONUS,Any Legal Weapon,Buck,FALSE,STANDARD,Nov 11 2026 - Nov 18 2026,1,0,1,,1,1,100,1,5,Public,1,,1,TOTAL_ONLY,DRAW_TOTAL_ONLY,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_buck_premium_limited_entry.csv; no resident/nonresident split published in this source.,TRUE,TRUE,FALSE,buck_deer.xlsx,2026_deer_buck_premium_limited_entry.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,1,0,4,19,Bonus Point Draw Results,,1
RS1000,1,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Once-in-a-lifetime,BONUS,Any Legal Weapon,Male Only,FALSE,OIL,Nov 9 2026 - Nov 16 2026,,,,,1,1,100,2,5,Public,0,0,0,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.csv,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,,,,,,,
RS6700,1,Antelope Island,Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Once-in-a-lifetime,BONUS,Any Legal Weapon,Male Only,FALSE,OIL,"Nov 11, 2026 - Nov 18, 2026",1,0,1,,1,1,100,1,5,Public,2,0,2,FULL_SPLIT,DRAW_RES_NR_SPLIT,Utah DWR Hunt Planner,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx.,TRUE,FALSE,FALSE,rocky mtn. sheep.xlsx,2026_ROCKY_MOUNTAIN_SHEEP_ram.xlsx,official_uploaded_source,COMPLETE,1,0,588,588,Bonus Point Draw Results,,1
DA1041,6,"Nine Mile, Green River Valley",Deer,Antlerless,General Season,ANTLERLESS,Any Legal Weapon,Antlerless,FALSE,STANDARD,Oct 04 2025 - Oct 26 2025,11,1,12,,10,6,60,2.3,3.8,Public,,,15,TOTAL_ONLY,DWR_TOTAL,Utah DWR Hunt Planner,2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.,TRUE,FALSE,TRUE,antlerless deer.xlsx,2026_deer_antlerless_general.csv,official_uploaded_source,COMPLETE_TOTAL_ONLY,,,,,,,
DB1056,7,Book Cliffs (North & South),Deer,Conservation,Conservation,NONE,Any Legal Weapon,Buck,FALSE,STANDARD,"Oct 17, 2026 - Oct 25, 2026",,,,,2,1,50,3,5,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,Utah DWR Hunt Planner source confirms hunt in 2026_deer_buck_conservation.csv; no quota or permit total published in uploaded source.,TRUE,FALSE,FALSE,BUCK DEER.csv,2026_deer_buck_conservation.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
DB1075,7,Book Cliffs (North & South),Deer,Conservation,Conservation,NONE,Archery,Buck,FALSE,STANDARD,Aug 16 2025 - Sept 12 2025,,,,,,,,,,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,Utah DWR Hunt Planner source confirms hunt in 2026_deer_buck_conservation.csv; no quota or permit total published in uploaded source.,,,,BUCK DEER.csv,2026_deer_buck_conservation.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
DB1076,7,Book Cliffs (North & South),Deer,Conservation,Conservation,NONE,Muzzleloader,Buck,FALSE,STANDARD,Sept 24 2025 - Oct 02 2025,,,,,,,,,,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,Utah DWR Hunt Planner source confirms hunt in 2026_deer_buck_conservation.csv; no quota or permit total published in uploaded source.,,,,BUCK DEER.csv,2026_deer_buck_conservation.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,
