hunt_code,page,section,line,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,split_type,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total_2025_main,in_main_file,permits_delta_vs_2025_main,source_pdf
DB1111,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Beaver, West Muzzleloader DB1111 4 1 5 4 1 5",4,1,5,4,1,5,res_nr_split,Deer,"Beaver, West",Limited Entry on General Season,Muzzleloader,Male Only,Public,5,TRUE,0,2026-04-rac-packet.pdf
DB1084,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Boulder/Kaiparowits Muzzleloader DB1084 11 1 12 12 1 13,11,1,12,12,1,13,res_nr_split,Deer,Boulder/Kaiparowits,Limited Entry on General Season,Muzzleloader,Male Only,Public,12,TRUE,1,2026-04-rac-packet.pdf
DB1077,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Box Elder Muzzleloader DB1077 22 3 25 23 3 26,22,3,25,23,3,26,res_nr_split,Deer,Box Elder,Limited Entry on General Season,Muzzleloader,Male Only,Public,24,TRUE,2,2026-04-rac-packet.pdf
DB1078,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Cache Muzzleloader DB1078 9 1 10 11 1 12,9,1,10,11,1,12,res_nr_split,Deer,Cache,Limited Entry on General Season,Muzzleloader,Male Only,Public,10,TRUE,2,2026-04-rac-packet.pdf
DB1114,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Cedar/Stansbury Muzzleloader DB1114 5 1 6 5 1 6,5,1,6,5,1,6,res_nr_split,Deer,Cedar/Stansbury,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,TRUE,0,2026-04-rac-packet.pdf
DB1100,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Chalk Creek Muzzleloader DB1100 10 1 11 10 1 11,10,1,11,10,1,11,res_nr_split,Deer,Chalk Creek,Limited Entry on General Season,Muzzleloader,Male Only,Public,11,TRUE,0,2026-04-rac-packet.pdf
DB1101,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,East Canyon Muzzleloader DB1101 9 1 10 9 1 10,9,1,10,9,1,10,res_nr_split,Deer,East Canyon,Limited Entry on General Season,Muzzleloader,Male Only,Public,10,TRUE,0,2026-04-rac-packet.pdf
DB1028,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Fillmore Muzzleloader DB1028 10 1 11 11 1 12,10,1,11,11,1,12,res_nr_split,Deer,Fillmore,Limited Entry on General Season,Muzzleloader,Male Only,Public,11,TRUE,1,2026-04-rac-packet.pdf
DB1055,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Fishlake Muzzleloader DB1055 5 1 6 6 1 7,5,1,6,6,1,7,res_nr_split,Deer,Fishlake,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,TRUE,1,2026-04-rac-packet.pdf
DB1030,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Kamas Muzzleloader DB1030 5 1 6 4 1 5,5,1,6,4,1,5,res_nr_split,Deer,Kamas,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,TRUE,-1,2026-04-rac-packet.pdf
DB1081,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,La Sal Mtns Muzzleloader DB1081 8 1 9 8 1 9,8,1,9,8,1,9,res_nr_split,Deer,La Sal Mtns,Limited Entry on General Season,Muzzleloader,Male Only,Public,9,TRUE,0,2026-04-rac-packet.pdf
DB1079,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Manti/San Rafael Muzzleloader DB1079 38 4 42 40 5 45,38,4,42,40,5,45,res_nr_split,Deer,Manti/San Rafael,Limited Entry on General Season,Muzzleloader,Male Only,Public,40,TRUE,5,2026-04-rac-packet.pdf
DB1032,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Monroe Muzzleloader DB1032 5 1 6 5 1 6,5,1,6,5,1,6,res_nr_split,Deer,Monroe,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,TRUE,0,2026-04-rac-packet.pdf
DB1103,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Morgan-South Rich Muzzleloader DB1103 7 1 8 7 1 8,7,1,8,7,1,8,res_nr_split,Deer,Morgan-South Rich,Limited Entry on General Season,Muzzleloader,Male Only,Public,8,TRUE,0,2026-04-rac-packet.pdf
DB1053,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Mt Dutton Muzzleloader DB1053 4 1 5 4 1 5,4,1,5,4,1,5,res_nr_split,Deer,Mt Dutton,Limited Entry on General Season,Muzzleloader,Male Only,Public,5,TRUE,0,2026-04-rac-packet.pdf
DB1080,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Nebo Muzzleloader DB1080 22 3 25 23 3 26,22,3,25,23,3,26,res_nr_split,Deer,Nebo,Limited Entry on General Season,Muzzleloader,Male Only,Public,27,TRUE,-1,2026-04-rac-packet.pdf
DB1033,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Nine Mile Muzzleloader DB1033 6 1 7 6 1 7,6,1,7,6,1,7,res_nr_split,Deer,Nine Mile,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,TRUE,1,2026-04-rac-packet.pdf
DB1065,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,North Slope Muzzleloader DB1065 13 2 15 14 2 16,13,2,15,14,2,16,res_nr_split,Deer,North Slope,Limited Entry on General Season,Muzzleloader,Male Only,Public,15,TRUE,1,2026-04-rac-packet.pdf
DB1054,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Ogden Muzzleloader DB1054 11 1 12 13 1 14,11,1,12,13,1,14,res_nr_split,Deer,Ogden,Limited Entry on General Season,Muzzleloader,Male Only,Public,12,TRUE,2,2026-04-rac-packet.pdf
DB1113,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Oquirrh/Tintic Muzzleloader DB1113 11 1 12 10 1 11,11,1,12,10,1,11,res_nr_split,Deer,Oquirrh/Tintic,Limited Entry on General Season,Muzzleloader,Male Only,Public,12,TRUE,-1,2026-04-rac-packet.pdf
DB1083,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Panguitch Lake Muzzleloader DB1083 11 1 12 12 1 13,11,1,12,12,1,13,res_nr_split,Deer,Panguitch Lake,Limited Entry on General Season,Muzzleloader,Male Only,Public,12,TRUE,1,2026-04-rac-packet.pdf
DB1034,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Pine Valley Muzzleloader DB1034 13 2 15 13 2 15,13,2,15,13,2,15,res_nr_split,Deer,Pine Valley,Limited Entry on General Season,Muzzleloader,Male Only,Public,15,TRUE,0,2026-04-rac-packet.pdf
DB1085,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"San Juan, Abajo Mtns Muzzleloader DB1085 12 1 13 13 1 14",12,1,13,13,1,14,res_nr_split,Deer,"San Juan, Abajo Mtns",Limited Entry on General Season,Muzzleloader,Male Only,Public,13,TRUE,1,2026-04-rac-packet.pdf
DB1040,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Southwest Desert Muzzleloader DB1040 4 1 5 4 1 5,4,1,5,4,1,5,res_nr_split,Deer,Southwest Desert,Limited Entry on General Season,Muzzleloader,Male Only,Public,5,TRUE,0,2026-04-rac-packet.pdf
DB1086,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Vernal/Bonanza Muzzleloader DB1086 5 1 6 6 1 7,5,1,6,6,1,7,res_nr_split,Deer,Vernal/Bonanza,Limited Entry on General Season,Muzzleloader,Male Only,Public,6,TRUE,1,2026-04-rac-packet.pdf
DB1041,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Wasatch Mtns, East Muzzleloader DB1041 27 3 30 30 3 33",27,3,30,30,3,33,res_nr_split,Deer,"Wasatch Mtns, East",Limited Entry on General Season,Muzzleloader,Male Only,Public,30,TRUE,3,2026-04-rac-packet.pdf
DB1087,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Wasatch Mtns, West Muzzleloader DB1087 30 3 33 36 4 40",30,3,33,36,4,40,res_nr_split,Deer,"Wasatch Mtns, West",Limited Entry on General Season,Muzzleloader,Male Only,Public,32,TRUE,8,2026-04-rac-packet.pdf
DB1112,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"West Desert, Swasey Muzzleloader DB1112 4 1 5 4 1 5",4,1,5,4,1,5,res_nr_split,Deer,"West Desert, Swasey",Limited Entry on General Season,Muzzleloader,Male Only,Public,4,TRUE,1,2026-04-rac-packet.pdf
DB1039,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Yellowstone Muzzleloader DB1039 6 1 7 6 1 7,6,1,7,6,1,7,res_nr_split,Deer,Yellowstone,Limited Entry on General Season,Muzzleloader,Male Only,Public,7,TRUE,0,2026-04-rac-packet.pdf
DB1043,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,Zion Muzzleloader DB1043 13 2 15 15 2 17,13,2,15,15,2,17,res_nr_split,Deer,Zion,Limited Entry on General Season,Muzzleloader,Male Only,Public,15,TRUE,2,2026-04-rac-packet.pdf
MB6012,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Box Elder Any Legal Weapon MB6012 2 0 2 2 0 2,2,0,2,2,0,2,res_nr_split,Moose,Box Elder,OIAL,Any Legal Weapon,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
MB6000,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Cache Any Legal Weapon MB6000 12 3 15 14 3 17,12,3,15,14,3,17,res_nr_split,Moose,Cache,OIAL,Any Legal Weapon,Male Only,Public,16,TRUE,1,2026-04-rac-packet.pdf
MB6001,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Chalk Creek Any Legal Weapon MB6001 3 0 3 4 0 4,3,0,3,4,0,4,res_nr_split,Moose,Chalk Creek,OIAL,Any Legal Weapon,Male Only,Public,3,TRUE,1,2026-04-rac-packet.pdf
MB6009,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Diamond Mtn/Vernal Any Legal Weapon MB6009 2 0 2 2 0 2,2,0,2,2,0,2,res_nr_split,Moose,Diamond Mtn/Vernal,OIAL,Any Legal Weapon,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
MB6002,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,East Canyon Any Legal Weapon MB6002 5 0 5 5 0 5,5,0,5,5,0,5,res_nr_split,Moose,East Canyon,OIAL,Any Legal Weapon,Male Only,Public,5,TRUE,0,2026-04-rac-packet.pdf
MB6003,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,"East Canyon, Morgan-Summit Any Legal Weapon MB6003 4 0 4 5 0 5",4,0,4,5,0,5,res_nr_split,Moose,"East Canyon, Morgan-Summit",OIAL,Any Legal Weapon,Male Only,Public,5,TRUE,0,2026-04-rac-packet.pdf
MB6004,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Kamas Any Legal Weapon MB6004 5 0 5 6 0 6,5,0,5,6,0,6,res_nr_split,Moose,Kamas,OIAL,Any Legal Weapon,Male Only,Public,5,TRUE,1,2026-04-rac-packet.pdf
MB6005,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,Morgan-South Rich Any Legal Weapon MB6005 6 0 6 6 0 6,6,0,6,6,0,6,res_nr_split,Moose,Morgan-South Rich,OIAL,Any Legal Weapon,Male Only,Public,6,TRUE,0,2026-04-rac-packet.pdf
MB6006,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,"North Slope, Summit Any Legal Weapon MB6006 19 3 22 20 3 23",19,3,22,20,3,23,res_nr_split,Moose,"North Slope, Summit",OIAL,Any Legal Weapon,Male Only,Public,26,TRUE,-3,2026-04-rac-packet.pdf
MB6007,16,2026 ONCE-IN-A-LIFETIME BULL MOOSE PERMITS,"North Slope, Three Corners/West Daggett Any Legal Weapon MB6007 6 2 8 6 2 8",6,2,8,6,2,8,res_nr_split,Moose,"North Slope, Three Corners/West Daggett",OIAL,Any Legal Weapon,Male Only,Public,8,TRUE,0,2026-04-rac-packet.pdf
