hunt_code,page,section,line,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,split_type,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total_2025_main,in_main_file,permits_delta_vs_2025_main,source_pdf
DB1002,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Any Legal Weapon DB1002 ,1,0,1,1,0,1,res_nr_split,Deer,Antelope Island,Premium Limited Entry,Any Legal Weapon,Male Only,Public,1,TRUE,0,2026-04-rac-packet.pdf
DB1121,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Any Legal Weapon DB1121 ,,,,2,0,2,res_nr_split,Deer,Antelope Island,Management Buck,Any Legal Weapon,Male Only,Public,,FALSE,,2026-04-rac-packet.pdf
DB1003,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Any Legal Weapon DB1003 ,22,3,25,24,3,27,res_nr_split,Deer,Henry Mtns,Premium Limited Entry,Any Legal Weapon,Male Only,Public,27,TRUE,0,2026-04-rac-packet.pdf
DB1000,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Archery DB1000 ,8,1,9,8,1,9,res_nr_split,Deer,Henry Mtns,Premium Limited Entry,Archery,Male Only,Public,9,TRUE,0,2026-04-rac-packet.pdf
DB1007,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Multiseason DB1007 1 0 1 1 0 1,1,0,1,1,0,1,res_nr_split,Deer,Henry Mtns,Premium Limited Entry,Multiseason,Male Only,Public,2,TRUE,-1,2026-04-rac-packet.pdf
DB1005,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Muzzleloader DB1005 8 1 9 8 1 9,8,1,9,8,1,9,res_nr_split,Deer,Henry Mtns,Premium Limited Entry,Muzzleloader,Male Only,Public,10,TRUE,-1,2026-04-rac-packet.pdf
DB1009,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Any Legal Weapon DB1009 10 1 11 10 1 11,10,1,11,10,1,11,res_nr_split,Deer,Henry Mtns,Management Buck,Any Legal Weapon,Male Only,Public,11,TRUE,0,2026-04-rac-packet.pdf
DB1004,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Any Legal Weapon DB1004 75 8 83 75 8 83,75,8,83,75,8,83,res_nr_split,Deer,Paunsaugunt,Premium Limited Entry,Any Legal Weapon,Male Only,Public,90,TRUE,-7,2026-04-rac-packet.pdf
DB1001,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Archery DB1001 26 3 29 26 3 29,26,3,29,26,3,29,res_nr_split,Deer,Paunsaugunt,Premium Limited Entry,Archery,Male Only,Public,34,TRUE,-5,2026-04-rac-packet.pdf
DB1008,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Multiseason DB1008 3 1 4 3 1 4,3,1,4,3,1,4,res_nr_split,Deer,Paunsaugunt,Premium Limited Entry,Multiseason,Male Only,Public,6,TRUE,-2,2026-04-rac-packet.pdf
DB1006,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Muzzleloader DB1006 26 3 29 26 3 29,26,3,29,26,3,29,res_nr_split,Deer,Paunsaugunt,Premium Limited Entry,Muzzleloader,Male Only,Public,30,TRUE,-1,2026-04-rac-packet.pdf
DB1010,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Any Legal Weapon DB1010 24 3 27 30 3 33,24,3,27,30,3,33,res_nr_split,Deer,Paunsaugunt,Management Buck,Any Legal Weapon,Male Only,Public,29,TRUE,4,2026-04-rac-packet.pdf
DB1073,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Archery DB1073 8 1 9 10 1 11,8,1,9,10,1,11,res_nr_split,Deer,Paunsaugunt,Management Buck,Archery,Male Only,Public,9,TRUE,2,2026-04-rac-packet.pdf
DB1074,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Muzzleloader DB1074 8 1 9 10 1 11,8,1,9,10,1,11,res_nr_split,Deer,Paunsaugunt,Management Buck,Muzzleloader,Male Only,Public,9,TRUE,2,2026-04-rac-packet.pdf
DB1058,7,2026 PREMIUM LIMITED ENTRY BUCK DEER,Any Legal Weapon DB1058 27 3 30 18 2 20,27,3,30,18,2,20,res_nr_split,Deer,Paunsaugunt,Cactus Buck,Any Legal Weapon,Male Only,Public,28,TRUE,-8,2026-04-rac-packet.pdf
DB1011,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Book Cliffs Archery DB1011 45 5 50 55 6 61,45,5,50,55,6,61,res_nr_split,Deer,Book Cliffs,Limited Entry,Archery,Male Only,Public,52,TRUE,9,2026-04-rac-packet.pdf
DB1044,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Book Cliffs Multiseason DB1044 6 1 7 8 1 9,6,1,7,8,1,9,res_nr_split,Deer,Book Cliffs,Limited Entry,Multiseason,Male Only,Public,9,TRUE,0,2026-04-rac-packet.pdf
DB1025,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Book Cliffs Muzzleloader DB1025 45 5 50 55 6 61,45,5,50,55,6,61,res_nr_split,Deer,Book Cliffs,Limited Entry,Muzzleloader,Male Only,Public,51,TRUE,10,2026-04-rac-packet.pdf
DB1017,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),"Book Cliffs, North Any Legal Weapon DB1017 114 13 127 137 15 152",114,13,127,137,15,152,res_nr_split,Deer,"Book Cliffs, North",Limited Entry,Any Legal Weapon,Male Only,Public,128,TRUE,24,2026-04-rac-packet.pdf
DB1018,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),"Book Cliffs, South Any Legal Weapon DB1018 29 3 32 34 4 38",29,3,32,34,4,38,res_nr_split,Deer,"Book Cliffs, South",Limited Entry,Any Legal Weapon,Male Only,Public,31,TRUE,7,2026-04-rac-packet.pdf
DB1026,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),"Cache, Crawford Mtn Muzzleloader DB1026 7 1 8 8 1 9",7,1,8,8,1,9,res_nr_split,Deer,"Cache, Crawford Mtn",Limited Entry,Muzzleloader,Male Only,Public,8,TRUE,1,2026-04-rac-packet.pdf
DB1120,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Castle Valley Any Legal Weapon DB1120 13 2 15 13 2 15,13,2,15,13,2,15,res_nr_split,Deer,Castle Valley,Limited Entry,Any Legal Weapon,Male Only,Public,15,TRUE,0,2026-04-rac-packet.pdf
DB1023,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Diamond Mtn Any Legal Weapon DB1023 57 6 63 61 7 68,57,6,63,61,7,68,res_nr_split,Deer,Diamond Mtn,Limited Entry,Any Legal Weapon,Male Only,Public,64,TRUE,4,2026-04-rac-packet.pdf
DB1015,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Diamond Mtn Archery DB1015 20 2 22 22 2 24,20,2,22,22,2,24,res_nr_split,Deer,Diamond Mtn,Limited Entry,Archery,Male Only,Public,23,TRUE,1,2026-04-rac-packet.pdf
DB1047,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Diamond Mtn Multiseason DB1047 3 0 3 4 0 4,3,0,3,4,0,4,res_nr_split,Deer,Diamond Mtn,Limited Entry,Multiseason,Male Only,Public,5,TRUE,-1,2026-04-rac-packet.pdf
DB1038,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Diamond Mtn Muzzleloader DB1038 20 2 22 22 2 24,20,2,22,22,2,24,res_nr_split,Deer,Diamond Mtn,Limited Entry,Muzzleloader,Male Only,Public,23,TRUE,1,2026-04-rac-packet.pdf
DB1020,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Dolores Triangle Any Legal Weapon DB1020 11 1 12 13 2 15,11,1,12,13,2,15,res_nr_split,Deer,Dolores Triangle,Limited Entry,Any Legal Weapon,Male Only,Public,12,TRUE,3,2026-04-rac-packet.pdf
DB1013,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Dolores Triangle Archery DB1013 4 0 4 5 0 5,4,0,4,5,0,5,res_nr_split,Deer,Dolores Triangle,Limited Entry,Archery,Male Only,Public,4,TRUE,1,2026-04-rac-packet.pdf
DB1031,8,2026 LIMITED ENTRY BUCK DEER (1 of 3),Dolores Triangle Muzzleloader DB1031 4 0 4 5 0 5,4,0,4,5,0,5,res_nr_split,Deer,Dolores Triangle,Limited Entry,Muzzleloader,Male Only,Public,4,TRUE,1,2026-04-rac-packet.pdf
DB1019,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE Any Legal Weapon DB1019 31 3 34 33 4 37",31,3,34,33,4,37,res_nr_split,Deer,"Fillmore, Oak Creek LE",Limited Entry,Any Legal Weapon,Male Only,Public,40,TRUE,-3,2026-04-rac-packet.pdf
DB1012,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE Archery DB1012 11 1 12 12 1 13",11,1,12,12,1,13,res_nr_split,Deer,"Fillmore, Oak Creek LE",Limited Entry,Archery,Male Only,Public,13,TRUE,0,2026-04-rac-packet.pdf
DB1045,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE Multiseason DB1045 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Deer,"Fillmore, Oak Creek LE",Limited Entry,Multiseason,Male Only,Public,3,TRUE,-1,2026-04-rac-packet.pdf
DB1029,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"Fillmore, Oak Creek LE Muzzleloader DB1029 11 1 12 12 1 13",11,1,12,12,1,13,res_nr_split,Deer,"Fillmore, Oak Creek LE",Limited Entry,Muzzleloader,Male Only,Public,15,TRUE,-2,2026-04-rac-packet.pdf
DB1115,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),Little Rockies Any Legal Weapon DB1115 4 1 5 4 1 5,4,1,5,4,1,5,res_nr_split,Deer,"Henry Mtns, Little Rockies",Limited Entry,Any Legal Weapon,Male Only,Public,5,TRUE,0,2026-04-rac-packet.pdf
DB1119,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),Moab Valley Any Legal Weapon DB1119 9 1 10 9 1 10,9,1,10,9,1,10,res_nr_split,Deer,Moab Valley,Limited Entry,Any Legal Weapon,Male Only,Public,9,TRUE,1,2026-04-rac-packet.pdf
DB1022,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge Any Legal Weapon DB1022 40 4 44 42 5 47",40,4,44,42,5,47,res_nr_split,Deer,"San Juan, Elk Ridge",Limited Entry,Any Legal Weapon,Male Only,Public,45,TRUE,2,2026-04-rac-packet.pdf
DB1014,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge Archery DB1014 14 2 16 15 2 17",14,2,16,15,2,17,res_nr_split,Deer,"San Juan, Elk Ridge",Limited Entry,Archery,Male Only,Public,17,TRUE,0,2026-04-rac-packet.pdf
DB1046,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge Multiseason DB1046 2 0 2 2 0 2",2,0,2,2,0,2,res_nr_split,Deer,"San Juan, Elk Ridge",Limited Entry,Multiseason,Male Only,Public,3,TRUE,-1,2026-04-rac-packet.pdf
DB1037,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),"San Juan, Elk Ridge Muzzleloader DB1037 14 2 16 15 2 17",14,2,16,15,2,17,res_nr_split,Deer,"San Juan, Elk Ridge",Limited Entry,Muzzleloader,Male Only,Public,17,TRUE,0,2026-04-rac-packet.pdf
DB1108,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes Any Legal Weapon DB1108 25 3 28 27 3 30,25,3,28,27,3,30,res_nr_split,Deer,Thousand Lakes,Limited Entry,Rifle Restricted,Male Only,Public,22,TRUE,8,2026-04-rac-packet.pdf
DB1106,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes Archery DB1106 21 2 23 20 2 22,21,2,23,20,2,22,res_nr_split,Deer,Thousand Lakes,Limited Entry,Archery Restricted,Male Only,Public,20,TRUE,2,2026-04-rac-packet.pdf
DB1109,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes Multiseason DB1109 2 0 2 2 0 2,2,0,2,2,0,2,res_nr_split,Deer,Thousand Lakes,Limited Entry,Multiseason Restricted,Male Only,Public,2,TRUE,0,2026-04-rac-packet.pdf
DB1107,9,2026 LIMITED ENTRY BUCK DEER (2 of 3),Thousand Lakes Muzzleloader DB1107 21 2 23 20 2 22,21,2,23,20,2,22,res_nr_split,Deer,Thousand Lakes,Limited Entry,Muzzleloader Restricted,Male Only,Public,20,TRUE,2,2026-04-rac-packet.pdf
DB1024,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),"West Desert, Vernon Any Legal Weapon DB1024 118 13 131 130 14 144",118,13,131,130,14,144,res_nr_split,Deer,"West Desert, Vernon",Limited Entry,Any Legal Weapon,Male Only,Public,154,TRUE,-10,2026-04-rac-packet.pdf
DB1016,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),"West Desert, Vernon Archery DB1016 41 5 46 46 5 51",41,5,46,46,5,51,res_nr_split,Deer,"West Desert, Vernon",Limited Entry,Archery,Male Only,Public,51,TRUE,0,2026-04-rac-packet.pdf
DB1048,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),"West Desert, Vernon Multiseason DB1048 6 1 7 7 1 8",6,1,7,7,1,8,res_nr_split,Deer,"West Desert, Vernon",Limited Entry,Multiseason,Male Only,Public,9,TRUE,-1,2026-04-rac-packet.pdf
DB1042,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),"West Desert, Vernon Muzzleloader DB1042 41 5 46 46 5 51",41,5,46,46,5,51,res_nr_split,Deer,"West Desert, Vernon",Limited Entry,Muzzleloader,Male Only,Public,50,TRUE,1,2026-04-rac-packet.pdf
DB1090,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),"Book Cliffs, Floy Canyon DB1090 6 1 7 6 1 7",6,1,7,6,1,7,res_nr_split,Deer,"Book Cliffs, Floy Canyon",Limited Entry,HAMSS,Male Only,Public,7,TRUE,0,2026-04-rac-packet.pdf
DB1105,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),East Canyon DB1105 6 1 7 6 1 7,6,1,7,6,1,7,res_nr_split,Deer,East Canyon,Limited Entry,HAMSS,Male Only,Public,6,TRUE,1,2026-04-rac-packet.pdf
DB1091,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),Kaiparowits HAMSS DB1091 4 1 5 4 1 5,4,1,5,4,1,5,res_nr_split,Deer,Kaiparowits HAMSS,Limited Entry,HAMSS,Male Only,Public,5,TRUE,0,2026-04-rac-packet.pdf
DB1116,10,2026 LIMITED ENTRY BUCK DEER (3 of 3),"San Juan, Mancos Mesa DB1116 4 1 5 4 1 5",4,1,5,4,1,5,res_nr_split,Deer,"San Juan, Mancos Mesa",Limited Entry,HAMSS,Male Only,Public,4,TRUE,1,2026-04-rac-packet.pdf
DB1110,11,2026 LIMITED ENTRY ON GENERAL SEASON BUCK DEER,"Beaver, East Muzzleloader DB1110 9 1 10 10 1 11",9,1,10,10,1,11,res_nr_split,Deer,"Beaver, East",Limited Entry on General Season,Muzzleloader,Male Only,Public,10,TRUE,1,2026-04-rac-packet.pdf
