hunt_code,display_boundary_id,dwr_boundary_id,dwr_member_boundary_ids,merged_boundary_id,boundary_geometry_type,geometry_status,boundary_geojson_path,boundary_kmz_path,boundary_kml_path,dwr_boundary_link,member_boundary_count
BI1000,UOGA_BI1000_2026,,637;667;889,BI1000_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/BI1000.geojson,data/boundaries/kmz/BI1000.kmz,data/boundaries/kml/BI1000.kml,,3
BI6500,DWR_1,1,,,single_kmz,mapped,processed_data/boundaries/BI6500.geojson,,,,0
BI6503,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/BI6503.geojson,,,,0
BI6504,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/BI6504.geojson,,,,0
BI6505,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/BI6505.geojson,,,,0
BI6506,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/BI6506.geojson,,,,0
BI6509,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/BI6509.geojson,,,,0
BI6516,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/BI6516.geojson,,,,0
BI6527,DWR_615,615,,,single_kmz,mapped,processed_data/boundaries/BI6527.geojson,,,,0
BI6528,DWR_889,889,,,single_kmz,mapped,processed_data/boundaries/BI6528.geojson,,,,0
BI6529,DWR_889,889,,,single_kmz,mapped,processed_data/boundaries/BI6529.geojson,,,,0
BI6531,DWR_889,889,,,single_kmz,mapped,processed_data/boundaries/BI6531.geojson,,,,0
BI6532,DWR_667,667,,,single_kmz,mapped,processed_data/boundaries/BI6532.geojson,,,,0
BI6534,DWR_667,667,,,single_kmz,mapped,processed_data/boundaries/BI6534.geojson,,,,0
BI6535,DWR_667,667,,,single_kmz,mapped,processed_data/boundaries/BI6535.geojson,,,,0
BI6536,DWR_667,667,,,single_kmz,mapped,processed_data/boundaries/BI6536.geojson,,,,0
BI6537,DWR_889,889,,,single_kmz,mapped,processed_data/boundaries/BI6537.geojson,,,,0
BI6538,DWR_615,615,,,single_kmz,mapped,processed_data/boundaries/BI6538.geojson,,,,0
BI6539,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/BI6539.geojson,,,,0
BR1000,UOGA_BR1000_2026,,7;12;52;88;92;93;138;163;175;289;444;448;449;455;456;457;462;463;610;611;613;615;616;628;629;630;684;710;744;845,BR1000_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/BR1000.geojson,data/boundaries/kmz/BR1000.kmz,data/boundaries/kml/BR1000.kml,,30
BR1007,UOGA_BR1007_2026,,7;52;88;163;175;289;444;448;455;456;457;462;463;613;615;616;628;629;630;684;710;744,BR1007_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/BR1007.geojson,data/boundaries/kmz/BR1007.kmz,data/boundaries/kml/BR1007.kml,,22
CG9999,UOGA_CG9999_2026,,8;16;26;29;56;57;59;63;71;75;76;86;88;94;97;117;140;143;163;172;191;226;234;237;239;243;247;276;444;445;446;609;613;625;629;630;632;633;634;635;668;672;681;683;684;685;711;729;730;752;753;818;819,CG9999_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/CG9999.geojson,data/boundaries/kmz/CG9999.kmz,data/boundaries/kml/CG9999.kml,,53
DA1001,DWR_28,28,,,single_kmz,mapped,processed_data/boundaries/DA1001.geojson,,,,0
DA1002,DWR_28,28,,,single_kmz,mapped,processed_data/boundaries/DA1002.geojson,,,,0
DA1003,DWR_115,115,,,single_kmz,mapped,processed_data/boundaries/DA1003.geojson,,,,0
DA1009,DWR_169,169,,,single_kmz,mapped,processed_data/boundaries/DA1009.geojson,,,,0
DA1011,DWR_806,806,,,single_kmz,mapped,processed_data/boundaries/DA1011.geojson,,,,0
DA1012,DWR_589,589,,,single_kmz,mapped,processed_data/boundaries/DA1012.geojson,,,,0
DA1013,DWR_533,533,,,single_kmz,mapped,processed_data/boundaries/DA1013.geojson,,,,0
DA1018,DWR_840,840,,,single_kmz,mapped,processed_data/boundaries/DA1018.geojson,,,,0
DA1027,DWR_77,77,,,single_kmz,mapped,processed_data/boundaries/DA1027.geojson,,,,0
DA1030,DWR_11,11,,,single_kmz,mapped,processed_data/boundaries/DA1030.geojson,,,,0
DA1031,DWR_21,21,,,single_kmz,mapped,processed_data/boundaries/DA1031.geojson,,,,0
DA1033,DWR_23,23,,,single_kmz,mapped,processed_data/boundaries/DA1033.geojson,,,,0
DA1041,DWR_6,6,,,single_kmz,mapped,processed_data/boundaries/DA1041.geojson,,,,0
DA1042,DWR_23,23,,,single_kmz,mapped,processed_data/boundaries/DA1042.geojson,,,,0
DA1045,DWR_474,474,,,single_kmz,mapped,processed_data/boundaries/DA1045.geojson,,,,0
DA1046,DWR_11,11,,,single_kmz,mapped,processed_data/boundaries/DA1046.geojson,,,,0
DA1047,DWR_895,895,,,single_kmz,mapped,processed_data/boundaries/DA1047.geojson,,,,0
DA1048,DWR_910,910,,,single_kmz,mapped,processed_data/boundaries/DA1048.geojson,,,,0
DA1049,DWR_909,909,,,single_kmz,mapped,processed_data/boundaries/DA1049.geojson,,,,0
DA1050,DWR_509,509,,,single_kmz,mapped,processed_data/boundaries/DA1050.geojson,,,,0
DB0001,DWR_866,866,,,single_kmz,mapped,processed_data/boundaries/DB0001.geojson,,,,0
DB0002,DWR_866,866,,,single_kmz,mapped,processed_data/boundaries/DB0002.geojson,,,,0
DB0003,DWR_866,866,,,single_kmz,mapped,processed_data/boundaries/DB0003.geojson,,,,0
DB0004,DWR_865,865,,,single_kmz,mapped,processed_data/boundaries/DB0004.geojson,,,,0
DB0005,DWR_865,865,,,single_kmz,mapped,processed_data/boundaries/DB0005.geojson,,,,0
DB0006,DWR_865,865,,,single_kmz,mapped,processed_data/boundaries/DB0006.geojson,,,,0
DB0007,UOGA_DB0007_2026,,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,DB0007_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/DB0007.geojson,data/boundaries/kmz/DB0007.kmz,data/boundaries/kml/DB0007.kml,,28
DB0008,UOGA_DB0008_2026,,,,single_kmz,unavailable,processed_data/boundaries/DB0008.geojson,,,,0
DB0009,DWR_1,1,,,single_kmz,mapped,processed_data/boundaries/DB0009.geojson,,,,0
DB0010,DWR_865,865,,,single_kmz,mapped,processed_data/boundaries/DB0010.geojson,,,,0
DB0011,DWR_865,865,,,single_kmz,mapped,processed_data/boundaries/DB0011.geojson,,,,0
DB0012,DWR_865,865,,,single_kmz,mapped,processed_data/boundaries/DB0012.geojson,,,,0
DB0013,DWR_865,865,,,single_kmz,mapped,processed_data/boundaries/DB0013.geojson,,,,0
DB1000,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/DB1000.geojson,,,,0
DB1001,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1001.geojson,,,,0
DB1002,DWR_1,1,,,single_kmz,mapped,processed_data/boundaries/DB1002.geojson,,,,0
DB1003,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/DB1003.geojson,,,,0
DB1004,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1004.geojson,,,,0
DB1005,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/DB1005.geojson,,,,0
DB1006,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1006.geojson,,,,0
DB1007,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/DB1007.geojson,,,,0
DB1008,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1008.geojson,,,,0
DB1009,DWR_94,94,,,single_kmz,mapped,processed_data/boundaries/DB1009.geojson,,,,0
DB1010,DWR_163,163,,,single_kmz,mapped,processed_data/boundaries/DB1010.geojson,,,,0
DB1011,DWR_7,7,,,single_kmz,mapped,processed_data/boundaries/DB1011.geojson,,,,0
DB1012,DWR_85,85,,,single_kmz,mapped,processed_data/boundaries/DB1012.geojson,,,,0
DB1013,DWR_108,108,,,single_kmz,mapped,processed_data/boundaries/DB1013.geojson,,,,0
DB1014,DWR_185,185,,,single_kmz,mapped,processed_data/boundaries/DB1014.geojson,,,,0
DB1015,DWR_206,206,,,single_kmz,mapped,processed_data/boundaries/DB1015.geojson,,,,0
DB1016,DWR_248,248,,,single_kmz,mapped,processed_data/boundaries/DB1016.geojson,,,,0
DB1017,DWR_714,714,,,single_kmz,mapped,processed_data/boundaries/DB1017.geojson,,,,0
DB1018,DWR_15,15,,,single_kmz,mapped,processed_data/boundaries/DB1018.geojson,,,,0
DB1019,DWR_85,85,,,single_kmz,mapped,processed_data/boundaries/DB1019.geojson,,,,0
DB1020,DWR_108,108,,,single_kmz,mapped,processed_data/boundaries/DB1020.geojson,,,,0
