top_folder,relative_path,filename,doc_type,reported_year_inferred,year_inference_method,expected_year_folder,status,size_bytes,last_write
2013,2013/pdf/harvest_report/04F508BD__2013_all_species_hr.pdf,04F508BD__2013_all_species_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,123547,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/1400385D__2013_moose_hr.pdf,1400385D__2013_moose_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,27835,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/31B5012A__2013_mg_hr.pdf,31B5012A__2013_mg_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,14975,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/3C5A3350__2013_rmbs_hr.pdf,3C5A3350__2013_rmbs_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,13617,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/58DF2D11__2013_gs_deer_hr.pdf,58DF2D11__2013_gs_deer_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,48461,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/8949AE45__2013_le_elk_hr.pdf,8949AE45__2013_le_elk_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,66974,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/8995B15E__2013_bison_hr.pdf,8995B15E__2013_bison_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,13266,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/BA46974B__2013_le_pronghorn_hr.pdf,BA46974B__2013_le_pronghorn_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,32339,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/FA55B0D7__2013_le_deer_hr.pdf,FA55B0D7__2013_le_deer_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,51732,2026-04-22T17:24:44
2013,2013/pdf/harvest_report/FB91F4A9__2013_dbs_hr.pdf,FB91F4A9__2013_dbs_hr.pdf,harvest,2013,yyyy,2014,year_mismatch,14290,2026-04-22T17:24:44
2014,2014/pdf/harvest_report/0AD0E19F__escalante_bighorn_2014.pdf,0AD0E19F__escalante_bighorn_2014.pdf,harvest,2014,yyyy,2015,year_mismatch,7800,2026-04-22T17:24:43
2014,2014/pdf/harvest_report/0B284939__baretop_bighorn_2014.pdf,0B284939__baretop_bighorn_2014.pdf,harvest,2014,yyyy,2015,year_mismatch,6767,2026-04-22T17:24:43
2014,2014/pdf/harvest_report/20175C2A__dirtydevil_bighorn_2014.pdf,20175C2A__dirtydevil_bighorn_2014.pdf,harvest,2014,yyyy,2015,year_mismatch,9365,2026-04-22T17:24:43
