file_name,ext,hunt_codes_in_name,has_explicit_hunt_code,suggested_use
2026BisonOnce_in_a_Lifetime2_-294873113573063378.kmz,.kmz,,no,dataset/manual map
2026DesertBighornSheepOnce_in_a_Lifetime2_-54327500208592000.kmz,.kmz,,no,dataset/manual map
2026ElkBullGeneralSeasonAnyBull2_3056179842209506216.kmz,.kmz,,no,dataset/manual map
2026ElkBullGeneralSeasonSpikeOnly1_-6035662828415347119.kmz,.kmz,,no,dataset/manual map
2026ElkBullLimitedEntry2_6222714687419988151.kmz,.kmz,,no,dataset/manual map
2026MooseOnce_in_a_Lifetime2_-1856885328064274553.kmz,.kmz,,no,dataset/manual map
2026MountainGoatOnce_in_a_Lifetime2_406257562608385986.kmz,.kmz,,no,dataset/manual map
2026MuleDeerGeneralSeason2_4801023045354334783.kmz,.kmz,,no,dataset/manual map
2026PronghornLimitedEntry_5064120187797365929.kmz,.kmz,,no,dataset/manual map
2026RockyMountainBighornSheepOnce_in_a_Lifetime2_-5043415366024294113.kmz,.kmz,,no,dataset/manual map
bi1000.kmz,.kmz,BI1000,yes,per-hunt direct
br1000.kmz,.kmz,BR1000,yes,per-hunt direct
br1007.kmz,.kmz,BR1007,yes,per-hunt direct
cg9999  cougar.kmz,.kmz,CG9999,yes,per-hunt direct
db0007.kmz,.kmz,DB0007,yes,per-hunt direct
ea2000.kmz,.kmz,EA2000,yes,per-hunt direct
eb 3128 conservation bull elk.kmz,.kmz,,no,dataset/manual map
eb1000.kmz,.kmz,EB1000,yes,per-hunt direct
eb1002.kmz,.kmz,EB1002,yes,per-hunt direct
eb1003.kmz,.kmz,EB1003,yes,per-hunt direct
eb1004.kmz,.kmz,EB1004,yes,per-hunt direct
eb1005.kmz,.kmz,EB1005,yes,per-hunt direct
eb1007.kmz,.kmz,EB1007,yes,per-hunt direct
eb1009.kmz,.kmz,EB1009,yes,per-hunt direct
eb1010.kmz,.kmz,EB1010,yes,per-hunt direct
eb1011.kmz,.kmz,EB1011,yes,per-hunt direct
eb1012.kmz,.kmz,EB1012,yes,per-hunt direct
ex1000.kmz,.kmz,EX1000,yes,per-hunt direct
Fall_Turkey_Hunt_Boundaries_-4772146982632111790.kmz,.kmz,,no,dataset/manual map
go1000.kmz,.kmz,GO1000,yes,per-hunt direct
LOA_2024_gdb_-416225797007074243.kmz,.kmz,,no,dataset/manual map
LOA_2024_gdb_-8806883841846450918.kmz,.kmz,,no,dataset/manual map
mb1000.kmz,.kmz,MB1000,yes,per-hunt direct
migration_corridors_7528961568947759688.kmz,.kmz,,no,dataset/manual map
pb1000.kmz,.kmz,PB1000,yes,per-hunt direct
rs0001.kmz,.kmz,RS0001,yes,per-hunt direct
tk1001.kmz,.kmz,TK1001,yes,per-hunt direct
tk1019.kmz,.kmz,TK1019,yes,per-hunt direct
tk1020.kmz,.kmz,TK1020,yes,per-hunt direct
tk1022.kmz,.kmz,TK1022,yes,per-hunt direct
Tradelands_-_Utah_DWR_Cooperative_Wildlife_Management_Units_(CWMU).kml,.kml,,no,dataset/manual map
UDWR.DWRADMIN.DWR_CWMU_Tradelands.kml,.kml,,no,dataset/manual map
ULTRA_Properties_2_view_-4297468604834665655.kmz,.kmz,,no,dataset/manual map
Unmapped_Mule_Deer_Migration_Corridors.kml,.kml,,no,dataset/manual map
Utah_Big_Game_Hunt_Boundaries_2025_5013133427957696525.kmz,.kmz,,no,dataset/manual map
Utah_DWR_Cooperative_Wildlife_Management_Unit_(CWMU)_Boundaries.kml,.kml,,no,dataset/manual map
UtahCougarManagementUnits.kml,.kml,,no,dataset/manual map
