year,hunt_number,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,access_type,permits_res,permits_nr,permits_total,hunters,harvest,success_percent,avg_days,satisfaction,source_type
2025,DB1211,Blue Spring Hills CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,10.0,100.0,4.8,4.0,2025 carry-forward / hunt_join_2025
2026,DB1211,Blue Spring Hills CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1212,Bluebell CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,10.0,100.0,3.3,5.0,2025 carry-forward / hunt_join_2025
2026,DB1212,Bluebell CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1213,Boobe Hole CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,18.0,8.0,44.4,4.1,4.1,2025 carry-forward / hunt_join_2025
2026,DB1213,Boobe Hole CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1215,Buckhorn Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,5.0,3.0,60.0,2.0,3.7,2025 carry-forward / hunt_join_2025
2026,DB1215,Buckhorn Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1216,Castle Valley Outdoors CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,7.0,7.0,100.0,2.6,4.6,2025 carry-forward / hunt_join_2025
2026,DB1216,Castle Valley Outdoors CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1217,Causey Spring CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,13.0,12.0,92.3,3.0,4.9,2025 carry-forward / hunt_join_2025
2026,DB1217,Causey Spring CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1219,Chimney Rock CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,15.0,13.0,86.7,3.7,4.6,2025 carry-forward / hunt_join_2025
2026,DB1219,Chimney Rock CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1222,Coldwater Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,12.0,12.0,100.0,2.2,5.0,2025 carry-forward / hunt_join_2025
2026,DB1222,Coldwater Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1224,Cotton Thomas CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,9.0,90.0,4.6,4.1,2025 carry-forward / hunt_join_2025
2026,DB1224,Cotton Thomas CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1227,Deer Haven CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,13.0,13.0,100.0,5.8,4.6,2025 carry-forward / hunt_join_2025
2026,DB1227,Deer Haven CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1228,Deseret CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,13.0,0.0,13.0,83.0,70.0,84.3,3.2,4.7,2025 carry-forward / hunt_join_2025
2026,DB1228,Deseret CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1229,Dilly Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,9.0,90.0,3.7,4.8,2025 carry-forward / hunt_join_2025
2026,DB1229,Dilly Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1230,Double R Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,16.0,14.0,87.5,3.0,4.9,2025 carry-forward / hunt_join_2025
2026,DB1230,Double R Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1231,Dove Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,10.0,9.0,90.0,4.6,4.7,2025 carry-forward / hunt_join_2025
2026,DB1231,Dove Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1232,Durst Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,7.0,5.0,71.4,3.2,4.8,2025 carry-forward / hunt_join_2025
2026,DB1232,Durst Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1233,East Fork Chalk Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,4.0,0.0,4.0,40.0,31.0,77.5,6.4,4.3,2025 carry-forward / hunt_join_2025
2026,DB1233,East Fork Chalk Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1234,East Zion CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,8.0,80.0,7.0,4.6,2025 carry-forward / hunt_join_2025
2026,DB1234,East Zion CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1236,Engineer Springs CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,1.0,1.0,100.0,5.0,4.0,2025 carry-forward / hunt_join_2025
2026,DB1236,Engineer Springs CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1237,Ensign Ranches CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,3.0,0.0,3.0,31.0,28.0,90.3,3.3,5.0,2025 carry-forward / hunt_join_2025
2026,DB1237,Ensign Ranches CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1238,Folley Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,3.0,0.0,3.0,13.0,10.0,76.9,3.4,4.2,2025 carry-forward / hunt_join_2025
2026,DB1238,Folley Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1239,Fort Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,2.0,2.0,100.0,3.0,5.0,2025 carry-forward / hunt_join_2025
2026,DB1239,Fort Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1240,George Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,6.0,3.0,50.0,6.5,4.3,2025 carry-forward / hunt_join_2025
2026,DB1240,George Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1241,Golden Spike CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,5.0,5.0,100.0,3.5,5.0,2025 carry-forward / hunt_join_2025
2026,DB1241,Golden Spike CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1242,Grass Valley/Clark Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,14.0,0.0,14.0,102.0,93.0,91.2,3.7,4.5,2025 carry-forward / hunt_join_2025
2026,DB1242,Grass Valley/Clark Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1243,Grazing Pasture CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,7.0,70.0,5.0,4.7,2025 carry-forward / hunt_join_2025
2026,DB1243,Grazing Pasture CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1244,Green Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,7.0,5.0,71.4,7.3,4.9,2025 carry-forward / hunt_join_2025
2026,DB1244,Green Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1245,Guildersleeve CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,8.0,80.0,4.0,4.5,2025 carry-forward / hunt_join_2025
2026,DB1245,Guildersleeve CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1246,Hardscrabble CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,13.0,8.0,61.5,4.2,3.6,2025 carry-forward / hunt_join_2025
2026,DB1246,Hardscrabble CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1248,Heaston East CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,20.0,18.0,90.0,3.0,4.8,2025 carry-forward / hunt_join_2025
2026,DB1248,Heaston East CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1249,Hiawatha CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,7.0,6.0,85.7,3.3,3.3,2025 carry-forward / hunt_join_2025
2026,DB1249,Hiawatha CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1250,Indian Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,3.0,2.0,66.7,1.7,3.3,2025 carry-forward / hunt_join_2025
2026,DB1250,Indian Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1251,Indian Head CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,14.0,12.0,85.7,3.5,4.8,2025 carry-forward / hunt_join_2025
2026,DB1251,Indian Head CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1252,Ingham Peak CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,5.0,0.0,5.0,32.0,32.0,100.0,4.0,4.5,2025 carry-forward / hunt_join_2025
2026,DB1252,Ingham Peak CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1253,Circle E Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,7.0,7.0,100.0,1.4,5.0,2025 carry-forward / hunt_join_2025
2026,DB1253,Circle E Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1255,Johnson Mountain Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,2.0,0.0,0.0,9.5,2.5,2025 carry-forward / hunt_join_2025
2026,DB1255,Johnson Mountain Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1256,Junction Valley CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,6.0,0.0,6.0,47.0,34.0,72.3,3.5,4.6,2025 carry-forward / hunt_join_2025
2026,DB1256,Junction Valley CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1258,Little Red Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,9.0,7.0,77.8,3.3,4.7,2025 carry-forward / hunt_join_2025
2026,DB1258,Little Red Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1259,Tunnel Hollow CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,8.0,7.0,87.5,3.3,4.0,2025 carry-forward / hunt_join_2025
2026,DB1259,Tunnel Hollow CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1260,Middle Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,9.0,6.0,66.7,4.7,4.7,2025 carry-forward / hunt_join_2025
2026,DB1260,Middle Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1261,Minnie Maud Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,5.0,0.0,5.0,45.0,27.0,60.0,5.6,3.7,2025 carry-forward / hunt_join_2025
2026,DB1261,Minnie Maud Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1263,Moon Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,10.0,100.0,5.1,2.4,2025 carry-forward / hunt_join_2025
2026,DB1263,Moon Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1264,Mountain Meadow CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,6.0,6.0,100.0,3.5,4.8,2025 carry-forward / hunt_join_2025
2026,DB1264,Mountain Meadow CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1265,Mountain Top CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,10.0,5.0,50.0,3.9,4.1,2025 carry-forward / hunt_join_2025
2026,DB1265,Mountain Top CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1266,Mt Carmel CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,3.0,0.0,3.0,21.0,14.0,66.7,4.6,3.6,2025 carry-forward / hunt_join_2025
2026,DB1266,Mt Carmel CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1269,North Promontory CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,6.0,6.0,100.0,2.5,4.7,2025 carry-forward / hunt_join_2025
2026,DB1269,North Promontory CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1270,Nucor West CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,11.0,11.0,100.0,2.8,4.8,2025 carry-forward / hunt_join_2025
2026,DB1270,Nucor West CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1271,Oak Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,4.0,3.0,75.0,4.8,5.0,2025 carry-forward / hunt_join_2025
2026,DB1271,Oak Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1272,Old Woman Plateau CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,3.0,0.0,3.0,12.0,8.0,66.7,4.9,3.5,2025 carry-forward / hunt_join_2025
2026,DB1272,Old Woman Plateau CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1273,Park Valley Hereford CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,6.0,0.0,6.0,23.0,17.0,73.9,3.2,3.8,2025 carry-forward / hunt_join_2025
2026,DB1273,Park Valley Hereford CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1274,Patmos Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,7.0,6.0,85.7,5.0,4.9,2025 carry-forward / hunt_join_2025
2026,DB1274,Patmos Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1275,Pine Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,20.0,13.0,65.0,4.2,4.2,2025 carry-forward / hunt_join_2025
2026,DB1275,Pine Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1276,Plymouth Peak CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,,,,,,,,,2025 carry-forward / hunt_join_2025
2026,DB1276,Plymouth Peak CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1277,Pocatello Valley CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,6.0,6.0,100.0,3.0,4.8,2025 carry-forward / hunt_join_2025
2026,DB1277,Pocatello Valley CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1279,Preston Nutter Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,2.0,2.0,100.0,3.0,5.0,2025 carry-forward / hunt_join_2025
2026,DB1279,Preston Nutter Ranch CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1280,Promontory Point CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,9.0,90.0,2.3,5.0,2025 carry-forward / hunt_join_2025
2026,DB1280,Promontory Point CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1281,Rattlesnake Pass CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,15.0,15.0,100.0,4.5,4.4,2025 carry-forward / hunt_join_2025
2026,DB1281,Rattlesnake Pass CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1282,Redd Ranches CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,15.0,14.0,93.3,3.6,4.4,2025 carry-forward / hunt_join_2025
2026,DB1282,Redd Ranches CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1283,Roan Cliffs CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,11.0,8.0,72.7,4.0,4.4,2025 carry-forward / hunt_join_2025
2026,DB1283,Roan Cliffs CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1285,Sand Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,6.0,3.0,50.0,4.0,4.3,2025 carry-forward / hunt_join_2025
2026,DB1285,Sand Creek CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1286,Pisgah Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,12.0,9.0,75.0,5.0,4.5,2025 carry-forward / hunt_join_2025
2026,DB1286,Pisgah Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1287,Scofield Canyons CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,9.0,9.0,100.0,2.8,5.0,2025 carry-forward / hunt_join_2025
2026,DB1287,Scofield Canyons CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1288,Scofield West CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,15.0,15.0,100.0,3.2,4.4,2025 carry-forward / hunt_join_2025
2026,DB1288,Scofield West CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1289,Sharp Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,16.0,14.0,87.5,3.6,5.0,2025 carry-forward / hunt_join_2025
2026,DB1289,Sharp Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1290,Skull Crack CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,8.0,8.0,100.0,2.8,5.0,2025 carry-forward / hunt_join_2025
2026,DB1290,Skull Crack CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1291,Skull Valley South CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,4.0,2.0,50.0,3.5,4.0,2025 carry-forward / hunt_join_2025
2026,DB1291,Skull Valley South CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1292,Soldier Summit CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,11.0,11.0,100.0,3.6,5.0,2025 carry-forward / hunt_join_2025
2026,DB1292,Soldier Summit CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1293,South Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,10.0,100.0,2.8,5.0,2025 carry-forward / hunt_join_2025
2026,DB1293,South Canyon CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1294,Spring Creek Acres CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,4.0,3.0,75.0,2.3,5.0,2025 carry-forward / hunt_join_2025
2026,DB1294,Spring Creek Acres CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1295,Spring Creek/Dodge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,6.0,0.0,6.0,56.0,50.0,89.3,3.3,4.5,2025 carry-forward / hunt_join_2025
2026,DB1295,Spring Creek/Dodge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1298,Strawberry Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,5.0,4.0,80.0,4.3,5.0,2025 carry-forward / hunt_join_2025
2026,DB1298,Strawberry Ridge CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1299,Summit Point CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,3.0,0.0,3.0,23.0,22.0,95.7,4.7,3.9,2025 carry-forward / hunt_join_2025
2026,DB1299,Summit Point CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1300,Thatcher Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,4.0,2.0,50.0,3.5,5.0,2025 carry-forward / hunt_join_2025
2026,DB1300,Thatcher Mountain CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1301,Three C CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,2.0,0.0,2.0,20.0,16.0,80.0,6.2,4.5,2025 carry-forward / hunt_join_2025
2026,DB1301,Three C CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1303,North Peaks CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,5.0,4.0,80.0,3.5,3.8,2025 carry-forward / hunt_join_2025
2026,DB1303,North Peaks CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1304,Two Bear CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,10.0,10.0,100.0,3.0,4.4,2025 carry-forward / hunt_join_2025
2026,DB1304,Two Bear CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,0.0,0.0,0.0,,,,,,2026 official/source build
2025,DB1305,Wallsburg CWMU,Deer,Male Only,CWMU,Any Legal Weapon,CWMU,CWMU,1.0,0.0,1.0,5.0,3.0,60.0,5.4,3.4,2025 carry-forward / hunt_join_2025
