huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
DB1542,185,468,426,4.7,43.4,8
DB1543,252,842,717,4.9,35.1,3
DB1544,230,1034,891,4.1,25.8,18
DB1545,610,1306,1168,4.1,52.2,28
DB1546,410,780,725,4.4,56.6,30
DB1548,505,1033,946,4.3,53.4,1
DB1549,182,378,343,4.2,53,7
DB1551,537,1232,1085,4.3,49.4,20
DB1553,296,598,515,3.7,57.5,29
DB1559,12038,34163,30230,4.3,39.8,17
DB1561,198,894,709,3.9,28,2
DB1562,100,702,610,4.3,16.3,6
DB1563,321,1371,1203,4.1,26.7,23
DB1564,148,774,688,4.1,21.5,11
DB1570,58,148,136,4.4,42.9,4
DB1572,38,220,183,4.2,20.8,8
DB1573,38,423,370,4.5,10.2,3
DB1574,39,343,263,4.3,14.9,18
DB1575,117,430,386,3.9,30.3,28
DB1576,132,363,327,4.3,40.5,30
DB1578,107,339,297,4.4,35.9,1
DB1579,64,193,170,4,37.7,7
DB1581,152,404,354,4.1,42.9,20
DB1583,65,192,172,4.3,38.1,29
DB1589,2770,12535,10796,4.2,25.7,15
DB1592,16,216,141,2.8,11.3,4
DB1593,61,236,197,3.4,31.1,8
DB1594,161,364,334,3.4,48.2,30
DB1595,183,578,518,3.7,35.4,29
DB1596,91,189,172,3.3,52.8,7
DB1597,1092,3904,3275,3.3,33.3,16
DB1598,85,421,349,3.7,24.3,28
DB1599,196,762,639,4,30.7,5
DB1600,45,383,309,7.3,14.6,5
DB1601,58,375,284,3.3,20.2,5
DB1602,23,378,296,4.1,7.9,5
DB1603,135,621,479,3.6,28.2,21
DB1604,50,320,238,6.6,21.1,21
DB1605,46,307,239,2.9,19.2,21
DB1606,27,310,228,3.7,11.9,21
DB1608,26,274,203,7.6,12.9,24
DB1609,28,265,192,3.1,14.5,11
DB1610,12,262,185,4,6.7,24
DB1770,28,74,67,7.8,41.9,2
DB1771,142,481,453,9,31.5,6
DB1772,353,978,922,10.5,38.3,23
DB1773,163,512,473,10.7,34.4,11
DB1774,19,82,71,9.2,27.1,5
DB1781,56,161,148,12.4,37.5,8
DB1782,32,157,147,10.9,22,3
DB1783,31,126,116,8.8,27.1,18
DB1784,115,299,274,7.6,42,28
DB1785,118,248,239,12.2,49.3,30
DB1787,58,243,223,9.1,26.1,1
DB1788,56,130,119,10.5,47,7
DB1790,48,176,159,9.2,30,20
DB1792,56,138,125,8.7,45.1,29
DB1800,16,70,57,9.3,28,21
DB1801,1,20,14,10.4,8.3,24
DS1001,1,1,1,3,100,26
DS1003,1,1,1,7,100,26
DS1005,1,1,1,9,100,12
DS1006,1,1,1,1,100,13
DS1007,1,1,1,12,100,29
DS6600,2,2,2,12.5,100,15
DS6601,9,9,9,15,100,26
DS6602,7,8,8,10.3,87.5,26
DS6603,6,6,6,4,100,26
DS6604,7,7,7,9.3,100,22
DS6606,2,2,2,8.5,100,14
DS6607,1,2,2,13,50,12
DS6608,6,7,7,11.9,85.7,12
DS6609,4,4,4,14.3,100,12
DS6610,9,12,11,8.3,81.8,12
DS6620,2,2,2,8.5,100,14
DS6621,6,6,6,7.7,100,30
DS6622,0,1,1,19,0,14
DS6624,1,2,2,4.5,50,12
DS6625,2,2,2,2,100,30
EA1010,3,18,18,8.1,14.3,2
EA1011,13,20,19,5,68.4,2
EA1012,1,10,5,8.6,20,2
EA1025,42,109,87,8.3,48.6,23
EA1030,15,49,45,4.4,33.3,21
EA1033,25,124,107,6.2,23.8,7
EA1040,1,6,4,2.5,25,90
EA1044,11,35,24,3.2,47.1,24
EA1061,3,20,18,5.3,16.7,17
