boundary_id_numeric,boundary_token,boundary_name,boundary_type,resolved_feature_ids,member_boundary_ids
520,520,,unit,520,
521,521,,unit,521,
522,522,,unit,522,
524,524,,unit,524,
525,525,,unit,525,
526,526,,unit,526,
527,527,,unit,527,
529,529,,unit,529,
530,530,,unit,530,
531,531,,unit,531,
533,533,,unit,533,
534,534,,unit,534,
535,535,,unit,535,
537,537,,unit,537,
539,539,,unit,539,
540,540,,unit,540,
541,541,,unit,541,
542,542,,unit,542,
543,543,,unit,543,
545,545,,unit,545,
546,546,,unit,546,
547,547,,unit,547,
548,548,,unit,548,
549,549,,unit,549,
550,550,,unit,550,
551,551,,unit,551,
552,552,,unit,552,
553,553,,unit,553,
554,554,,unit,554,
555,555,,unit,555,
556,556,,unit,556,
557,557,,unit,557,
558,558,,unit,558,
559,559,,unit,559,
560,560,,unit,560,
561,561,,unit,561,
562,562,,unit,562,
565,565,,unit,565,
567,567,,unit,567,
568,568,,unit,568,
569,569,,unit,569,
571,571,,unit,571,
572,572,,unit,572,
573,573,,unit,573,
574,574,,unit,574,
575,575,,unit,575,
576,576,,unit,576,
577,577,,unit,577,
578,578,,unit,578,
579,579,,unit,579,
580,580,,unit,580,
581,581,,unit,581,
582,582,,unit,582,
585,585,,unit,585,
586,586,,unit,586,
589,589,,unit,589,
590,590,,unit,590,
592,592,,unit,592,
598,598,,unit,598,
599,599,,unit,599,
602,602,,unit,602,
603,603,,unit,603,
604,604,,unit,604,
606,606,,unit,606,
607,607,,unit,607,
609,609,,unit,609,
611,611,,unit,611,
612,612,,unit,612,
613,613,,unit,613,
614,614,,unit,614,
615,615,,unit,615,
616,616,,unit,616,
617,617,,unit,617,
618,618,,unit,618,
619,619,,unit,619,
620,620,,unit,620,
621,621,,unit,621,
625,625,,unit,625,
628,628,,unit,628,
629,629,,unit,629,
630,630,,unit,630,
632,632,,unit,632,
633,633,,unit,633,
634,634,,unit,634,
635,635,Zion,unit,635,
636,636,,unit,636,
640,640,,unit,640,
667,667,,unit,667,
668,668,,unit,668,
672,672,,unit,672,
682,682,,unit,682,
684,684,,unit,684,
685,685,,unit,685,
688,688,"La Sal, Potash/South Cisco",unit,688,
695,695,,unit,695,
697,697,,unit,697,
698,698,,unit,698,
699,699,,unit,699,
703,703,,unit,703,
710,710,,unit,710,
714,714,,unit,714,
718,718,,unit,718,
721,721,,unit,721,
732,732,,unit,732,
733,733,,unit,733,
734,734,,unit,734,
735,735,,unit,735,
736,736,,unit,736,
740,740,,unit,740,
741,741,,unit,741,
743,743,,unit,743,
755,755,,unit,755,
804,804,,unit,804,
805,805,,unit,805,
806,806,,unit,806,
807,807,,unit,807,
808,808,,unit,808,
814,814,,unit,814,
817,817,,unit,817,
820,820,,unit,820,
821,821,,unit,821,
824,824,,unit,824,
826,826,,unit,826,
827,827,,unit,827,
828,828,,unit,828,
829,829,,unit,829,
838,838,,unit,838,
840,840,,unit,840,
856,856,,unit,856,
858,858,,unit,858,
861,861,,unit,861,
862,862,,unit,862,
865,865,,unit,865,
866,866,,unit,866,
867,867,,unit,867,
868,868,,unit,868,
869,869,,unit,869,
871,871,,unit,871,
872,872,,unit,872,
873,873,,unit,873,
874,874,,unit,874,
875,875,,unit,875,
876,876,,unit,876,
878,878,,unit,878,
879,879,,unit,879,
880,880,,unit,880,
882,882,,unit,882,
884,884,Southeastern Area,unit,884,
885,885,Southern Area,unit,885,
886,886,Northeastern Area,unit,886,
887,887,Central Area,unit,887,
888,888,Northern Area,unit,888,
889,889,,unit,889,
890,890,,unit,890,
892,892,,unit,892,
893,893,,unit,893,
895,895,,unit,895,
899,899,,unit,899,
901,901,,unit,901,
905,905,,unit,905,
906,906,,unit,906,
908,908,,unit,908,
909,909,,unit,909,
910,910,,unit,910,
918,918,,unit,918,
920,920,,unit,920,
921,921,,unit,921,
923,923,,unit,923,
924,924,,unit,924,
925,925,,unit,925,
926,926,,unit,926,
927,927,,unit,927,
928,928,,unit,928,
929,929,,unit,929,
930,930,,unit,930,
932,932,,unit,932,
933,933,"Escalante, East",unit,933,
934,934,"Escalante, West",unit,934,
937,937,,unit,937,
938,938,,unit,938,
939,939,,unit,939,
940,940,,unit,940,
941,941,,unit,941,
9999,9999,,unit,9999,
10003,10003,Mineral Mountain,unit,10003,
900001,DB0008_EXT_ARCH_2026,,special,DB0008_EXT_ARCH_2026,
900002,EA2000_CONTROL_2026,,special,EA2000_CONTROL_2026,
900003,EB1005_SPECIAL_2026,,special,EB1005_SPECIAL_2026,
900004,EB1011_SPECIAL_2026,,special,EB1011_SPECIAL_2026,
900005,EX1000_EXT_ARCH_2026,,special,EX1000_EXT_ARCH_2026,
900006,SW_BISON_2026,Bison Statewide Composite 2026,composite,1|94|615|667|889,1|94|615|667|889
900007,SW_BLACK_BEAR_2026,Black Bear Statewide Composite 2026,special,SW_BLACK_BEAR_2026,
900008,SW_COUGAR_2026,Cougar Statewide Composite 2026,special,SW_COUGAR_2026,
900009,SW_DEER_2026,Deer Statewide Composite 2026,composite,1|6|7|11|15|21|23|28|29|32|69|77|85|94|108|115|117|163|169|185|206|248|276|301|314|455|474|484|485|488|489|490|491|492|493|494|495|496|497|499|500|501|502|503|504|505|509|510|511|512|513|514|516|518|519|520|521|522|524|525|526|527|529|530|531|533|534|535|539|541|542|543|545|546|547|548|549|550|551|552|553|554|555|556|559|560|562|565|567|568|569|571|572|573|574|575|577|578|579|580|581|582|585|586|589|592|598|599|602|604|606|607|609|611|612|613|614|615|616|617|618|619|620|621|625|629|630|632|633|634|635|636|640|672|685|714|732|733|735|736|740|741|804|805|806|807|826|827|840|856|858|865|866|874|875|876|878|890|892|895|905|908|909|910|923|925|926|927|928|929|930|932,1|6|7|11|15|21|23|28|29|32|69|77|85|94|108|115|117|163|169|185|206|248|276|301|314|455|474|484|485|488|489|490|491|492|493|494|495|496|497|499|500|501|502|503|504|505|509|510|511|512|513|514|516|518|519|520|521|522|524|525|526|527|529|530|531|533|534|535|539|541|542|543|545|546|547|548|549|550|551|552|553|554|555|556|559|560|562|565|567|568|569|571|572|573|574|575|577|578|579|580|581|582|585|586|589|592|598|599|602|604|606|607|609|611|612|613|614|615|616|617|618|619|620|621|625|629|630|632|633|634|635|636|640|672|685|714|732|733|735|736|740|741|804|805|806|807|826|827|840|856|858|865|866|874|875|876|878|890|892|895|905|908|909|910|923|925|926|927|928|929|930|932
900010,SW_ELK_2026,Elk Statewide Composite 2026,composite,12|18|29|33|36|38|39|40|41|43|45|47|49|51|55|58|69|85|86|88|96|104|107|108|116|117|122|128|129|132|134|135|138|140|142|163|172|175|183|194|206|222|224|225|227|234|238|240|241|276|277|438|448|449|480|484|485|490|491|492|493|505|516|517|520|521|522|524|525|526|527|529|530|531|535|539|540|541|542|543|546|547|548|549|550|551|552|553|554|555|556|560|562|567|568|569|571|573|575|576|577|578|579|580|582|586|589|599|609|611|613|614|616|617|620|625|629|630|633|634|635|636|640|682|684|685|695|697|698|699|710|732|734|735|736|740|805|808|814|817|826|828|838|858|861|862|867|868|869|871|872|874|879|880|893|899|901|920|921|923|924|931|938|939|941,12|18|29|33|36|38|39|40|41|43|45|47|49|51|55|58|69|85|86|88|96|104|107|108|116|117|122|128|129|132|134|135|138|140|142|163|172|175|183|194|206|222|224|225|227|234|238|240|241|276|277|438|448|449|480|484|485|490|491|492|493|505|516|517|520|521|522|524|525|526|527|529|530|531|535|539|540|541|542|543|546|547|548|549|550|551|552|553|554|555|556|560|562|567|568|569|571|573|575|576|577|578|579|580|582|586|589|599|609|611|613|614|616|617|620|625|629|630|633|634|635|636|640|682|684|685|695|697|698|699|710|732|734|735|736|740|805|808|814|817|826|828|838|858|861|862|867|868|869|871|872|874|879|880|893|899|901|920|921|923|924|931|938|939|941
900011,SW_ELK_ANYBULL_2026,Elk Any Bull Composite 2026,special,SW_ELK_ANYBULL_2026,
900012,SW_ELK_SPIKE_2026,Elk Spike Only Composite 2026,special,SW_ELK_SPIKE_2026,
900013,SW_MOOSE_2026,Moose Statewide Composite 2026,composite,29|69|79|117|138|276|289|452|520|524|525|556|560|561|562|568|571|577|578|580|589|607|609|611|613|743|937,29|69|79|117|138|276|289|452|520|524|525|556|560|561|562|568|571|577|578|580|589|607|609|611|613|743|937
900014,SW_MOUNTAIN_GOAT_2026,Mountain Goat Statewide Composite 2026,composite,102|145|146|147|148|157|200|225|231|233|616|617|628|630,102|145|146|147|148|157|200|225|231|233|616|617|628|630
900015,SW_PRONGHORN_2026,Pronghorn Statewide Composite 2026,composite,15|24|25|27|38|81|97|110|129|138|186|194|201|208|244|245|246|277|289|443|453|461|509|537|545|557|558|568|581|585|589|590|603|625|628|636|667|688|703|718|721|755|806|824|826|829|873|876|882|895|906|918|940|9999,15|24|25|27|38|81|97|110|129|138|186|194|201|208|244|245|246|277|289|443|453|461|509|537|545|557|558|568|581|585|589|590|603|625|628|636|667|688|703|718|721|755|806|824|826|829|873|876|882|895|906|918|940|9999
900016,SW_RM_BIGHORN_2026,Rocky Mountain Bighorn Sheep Statewide Composite 2026,composite,1|15|20|75|140|143|616|620|668|820|821,1|15|20|75|140|143|616|620|668|820|821
900017,SW_TURKEY_MGMT_2026,Turkey Management Composite 2026,special,SW_TURKEY_MGMT_2026,
