boundary_id_numeric,boundary_token,boundary_name,boundary_type,resolved_feature_ids,member_boundary_ids
1,1,,unit,1,
6,6,,unit,6,
7,7,,unit,7,
11,11,,unit,11,
12,12,,unit,12,
15,15,,unit,15,
18,18,,unit,18,
20,20,,unit,20,
21,21,,unit,21,
23,23,,unit,23,
24,24,,unit,24,
25,25,,unit,25,
27,27,,unit,27,
28,28,,unit,28,
29,29,,unit,29,
32,32,,unit,32,
33,33,,unit,33,
36,36,,unit,36,
38,38,,unit,38,
39,39,,unit,39,
40,40,,unit,40,
41,41,,unit,41,
43,43,,unit,43,
45,45,,unit,45,
47,47,,unit,47,
49,49,,unit,49,
51,51,,unit,51,
55,55,,unit,55,
58,58,,unit,58,
69,69,,unit,69,
75,75,,unit,75,
77,77,,unit,77,
79,79,,unit,79,
81,81,,unit,81,
85,85,,unit,85,
86,86,,unit,86,
88,88,,unit,88,
94,94,Henry Mtns,unit,94,
96,96,,unit,96,
97,97,,unit,97,
98,98,"Kaiparowits, East",unit,98,
99,99,"Kaiparowits, Escalante East/West Composite 2026",composite,99,933|934
100,100,"Kaiparowits, West",unit,100,
102,102,,unit,102,
104,104,,unit,104,
107,107,,unit,107,
108,108,,unit,108,
110,110,,unit,110,
115,115,,unit,115,
116,116,,unit,116,
117,117,,unit,117,
122,122,,unit,122,
128,128,,unit,128,
129,129,,unit,129,
132,132,,unit,132,
134,134,,unit,134,
135,135,,unit,135,
138,138,,unit,138,
140,140,,unit,140,
142,142,,unit,142,
143,143,,unit,143,
145,145,,unit,145,
146,146,,unit,146,
147,147,,unit,147,
148,148,,unit,148,
157,157,,unit,157,
163,163,,unit,163,
169,169,,unit,169,
172,172,,unit,172,
175,175,,unit,175,
183,183,,unit,183,
185,185,,unit,185,
186,186,,unit,186,
187,187,"San Juan, Lockhart",unit,187,
190,190,"San Juan, South",unit,190,
193,193,"San Rafael, Dirty Devil",unit,193,
194,194,"San Rafael, North",unit,194,
195,195,"San Rafael, South",unit,195,
200,200,,unit,200,
201,201,,unit,201,
206,206,,unit,206,
208,208,,unit,208,
222,222,,unit,222,
224,224,,unit,224,
225,225,,unit,225,
227,227,,unit,227,
231,231,,unit,231,
233,233,,unit,233,
234,234,,unit,234,
238,238,,unit,238,
240,240,,unit,240,
241,241,,unit,241,
244,244,,unit,244,
245,245,,unit,245,
246,246,,unit,246,
248,248,,unit,248,
276,276,,unit,276,
277,277,,unit,277,
289,289,,unit,289,
301,301,,unit,301,
305,305,"Pine Valley, Beaver Dam",unit,305,
306,306,"Pine Valley, Virgin River",unit,306,
308,308,"San Juan, North",unit,308,
309,309,"San Juan, San Juan River",unit,309,
314,314,,unit,314,
438,438,,unit,438,
443,443,,unit,443,
448,448,,unit,448,
449,449,,unit,449,
452,452,,unit,452,
453,453,,unit,453,
454,454,Turkey Statewide Composite 2026,composite,454,884|885|886|887|888
455,455,,unit,455,
461,461,,unit,461,
474,474,,unit,474,
480,480,,unit,480,
484,484,,unit,484,
485,485,,unit,485,
488,488,,unit,488,
489,489,,unit,489,
490,490,,unit,490,
491,491,,unit,491,
492,492,,unit,492,
493,493,,unit,493,
494,494,,unit,494,
495,495,,unit,495,
496,496,,unit,496,
497,497,,unit,497,
499,499,,unit,499,
500,500,,unit,500,
501,501,,unit,501,
502,502,,unit,502,
503,503,,unit,503,
504,504,,unit,504,
505,505,,unit,505,
509,509,,unit,509,
510,510,,unit,510,
511,511,,unit,511,
512,512,,unit,512,
513,513,,unit,513,
514,514,,unit,514,
516,516,,unit,516,
517,517,,unit,517,
518,518,,unit,518,
519,519,,unit,519,
