page,hunt,title,r_bonus,r_random,r_total,r_odd_only_class,nr_bonus,nr_random,nr_total,nr_odd_only_class
68,DB1103,Limited-entry Muzzleloader Buck Deer - Morgan-south Rich - Muzzleloader,4,3,7,new_rule_odd_to_max,0,0,0,
69,DB1105,Limited-entry Hamss Buck Deer - East Canyon - H.a.m.s.s.,3,3,6,,0,1,1,
70,DB1106,Limited-entry Restricted Archery Buck Deer - Thousand Lakes,4,5,9,old_rule_odd_to_random,1,1,2,
71,DB1107,Limited-entry Restricted Muzzleloader Buck Deer - Thousand Lakes,1,1,2,,1,1,2,
72,DB1108,Limited-entry Restricted Rifle Buck Deer - Thousand Lakes,13,12,25,new_rule_odd_to_max,2,1,3,new_rule_odd_to_max
73,DB1110,"Limited-entry Muzzleloader Buck Deer - Beaver, East - Muzzleloader",5,4,9,new_rule_odd_to_max,0,1,1,
74,DB1111,"Limited-entry Muzzleloader Buck Deer - Beaver, West - Muzzleloader",2,2,4,,0,1,1,
75,DB1112,"Limited-entry Muzzleloader Buck Deer - West Desert, Swasey - Muzzleloader",2,2,4,,0,1,1,
76,DB1113,Limited-entry Muzzleloader Buck Deer - Oquirrh/tintic - Muzzleloader,6,5,11,new_rule_odd_to_max,0,1,1,
77,DB1114,Limited-entry Muzzleloader Buck Deer - Cedar/stansbury - Muzzleloader,3,2,5,new_rule_odd_to_max,0,1,1,
78,DB1115,"Limited-entry Alw (rifle) Buck Deer - Henry Mtns, Little Rockies - Any Legal Weapon",2,2,4,,0,1,1,
79,DB1116,"Limited-entry Hamss Buck Deer - San Juan, Mancos Mesa - H.a.m.s.s.",2,2,4,,0,1,1,
80,DB1119,"Limited-entry Alw (rifle) Buck Deer - La Sal, Moab Valley - Any Legal Weapon",5,4,9,new_rule_odd_to_max,0,1,1,
81,DB1120,"Limited-entry Alw (rifle) Buck Deer - La Sal, Castle Valley - Any Legal Weapon",7,6,13,new_rule_odd_to_max,1,1,2,
82,DB1200,Premium Cwmu Buck Deer -Alton - An y Legal Weapon,2,1,3,new_rule_odd_to_max,0,0,0,
83,DB1201,Cwmu Management Buck Deer - Alton - Any Legal Weapon,0,1,1,,0,0,0,
84,DB1202,Cwmu Buck Deer - Antelope Creek - Any Legal Weapon,0,1,1,,0,0,0,
85,DB1203,Cwmu Buck Deer - Avintaquin Canyon - Any Legal Weapon,0,1,1,,0,0,0,
86,DB1204,Cwmu Buck Deer - Bally Watts - Any Legal Weapon,0,1,1,,0,0,0,
87,DB1205,Cwmu Buck Deer - Bar J Ranch - Any Legal Weapon,0,1,1,,0,0,0,
88,DB1206,Cwmu Buck Deer - Bear Mountain - Any Legal Weapon,0,1,1,,0,0,0,
89,DB1207,Cwmu Buck Deer - Bear Springs - Any Legal Weapon,0,1,1,,0,0,0,
90,DB1208,Cwmu Buck Deer - Blackhawk - Any Legal Weapon,0,1,1,,0,0,0,
91,DB1209,Cwmu Buck Deer - Blind Springs - Any Legal Weapon,0,1,1,,0,0,0,
92,DB1211,Cwmu Buck Deer - Blue Spring Hills - Any Legal Weapon,0,1,1,,0,0,0,
93,DB1212,Cwmu Buck Deer - Bluebell - Any Legal Weapon,0,1,1,,0,0,0,
94,DB1213,Cwmu Buck Deer - Boobe Hole - Any Legal Weapon,1,1,2,,0,0,0,
95,DB1215,Cwmu Buck Deer - Buckhorn Ranch - Any Legal Weapon,0,1,1,,0,0,0,
96,DB1216,Cwmu Buck Deer - Castle Valley Outdoors - Any Legal Weapon,0,1,1,,0,0,0,
97,DB1217,Cwmu Buck Deer - Causey Spring - Any Legal Weapon,0,1,1,,0,0,0,
98,DB1219,Cwmu Buck Deer - Chimney Rock - Any Legal Weapon,1,1,2,,0,0,0,
99,DB1222,Cwmu Buck Deer - Coldwater Ranch -An y Legal Weapon,1,1,2,,0,0,0,
100,DB1224,Cwmu Buck Deer - Cotton Thomas - Any Legal Weapon,0,1,1,,0,0,0,
101,DB1227,Cwmu Buck Deer - Deer Haven - Any Legal Weapon,1,1,2,,0,0,0,
102,DB1228,Cwmu Buck Deer - Deseret - Any Legal Weapon,7,6,13,new_rule_odd_to_max,0,0,0,
103,DB1229,Cwmu Buck Deer - Dilly Ranch - Any Legal Weapon,0,1,1,,0,0,0,
104,DB1230,Cwmu Buck Deer - Double R Ranch - Any Legal Weapon,1,1,2,,0,0,0,
105,DB1231,Cwmu Buck Deer - Dove Creek - Any Legal Weapon,1,1,2,,0,0,0,
106,DB1232,Cwmu Buck Deer - Durst Mountain - Any Legal Weapon,1,1,2,,0,0,0,
107,DB1233,Cwmu Buck Deer - East Fork Chalk Creek - Any Legal Weapon,2,2,4,,0,0,0,
108,DB1234,Cwmu Buck Deer - East Zion - Any Legal Weapon,0,1,1,,0,0,0,
109,DB1236,Cwmu Buck Deer - Engineer Springs - Any Legal Weapon,0,1,1,,0,0,0,
110,DB1237,Cwmu Buck Deer - Ensign Ranches - Any Legal Weapon,2,1,3,new_rule_odd_to_max,0,0,0,
111,DB1238,Cwmu Buck Deer - Folley Ridge - Any Legal Weapon,2,1,3,new_rule_odd_to_max,0,0,0,
112,DB1239,Cwmu Buck Deer - Fort Ranch - Any Legal Weapon,0,1,1,,0,0,0,
113,DB1240,Cwmu Buck Deer - George Creek - Any Legal Weapon,0,1,1,,0,0,0,
114,DB1241,Cwmu Buck Deer - Golden Spike - Any Legal Weapon,0,1,1,,0,0,0,
115,DB1242,Cwmu Buck Deer - Grass Valley/clark Canyon -An y Legal Weapon,7,7,14,,0,0,0,
116,DB1243,Cwmu Buck Deer - Grazing Pasture - Any Legal Weapon,0,1,1,,0,0,0,
117,DB1244,Cwmu Buck Deer - Green Canyon - Any Legal Weapon,0,1,1,,0,0,0,
118,DB1245,Cwmu Buck Deer - Guildersleeve - Any Legal Weapon,0,1,1,,0,0,0,
119,DB1246,Cwmu Buck Deer - Hardscrabble - Any Legal Weapon,1,1,2,,0,0,0,
120,DB1248,Cwmu Buck Deer - Heaston East - Any Legal Weapon,1,1,2,,0,0,0,
121,DB1249,Cwmu Buck Deer - Hiawatha - Any Legal Weapon,0,1,1,,0,0,0,
122,DB1250,Cwmu Buck Deer - Indian Creek - Any Legal Weapon,0,1,1,,0,0,0,
123,DB1251,Cwmu Buck Deer - Indian Head - Any Legal Weapon,1,1,2,,0,0,0,
124,DB1252,Cwmu Buck Deer - Ingham Peak - Any Legal Weapon,3,2,5,new_rule_odd_to_max,0,0,0,
125,DB1253,Cwmu Buck Deer - Circle E Ranch - Any Legal Weapon,0,1,1,,0,0,0,
126,DB1255,Cwmu Buck Deer - Johnson Mountain Ranch - Any Legal Weapon,0,1,1,,0,0,0,
127,DB1256,Cwmu Buck Deer - Junction Valley - Any Legal Weapon,3,3,6,,0,0,0,
128,DB1258,Cwmu Buck Deer - Little Red Creek - Any Legal Weapon,0,1,1,,0,0,0,
129,DB1259,Cwmu Buck Deer - Tunnel Hollow - Any Legal Weapon,0,1,1,,0,0,0,
130,DB1260,Cwmu Buck Deer - Middle Ridge - Any Legal Weapon,0,1,1,,0,0,0,
