hunt_code,species,sex_type,hunt_type,weapon,hunt_class,hunt_name,season,access_type,eligibility_class,draw_family,youth_flag,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status
BI6531,Bison,Hunter's Choice,Once-in-a-Lifetime,Any Legal Weapon,Once-in-a-lifetime,"Book Cliffs, Little Creek/South",Sept 21 2026 - Oct 02 2026,Public,OIL,BONUS,False,8.0,0.0,8.0,10.0,0.0,10.0,FULL_SPLIT,True,7.0,6.0,85.7,3.7,3.7,False,False,bison bull.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE
BI6534,Bison,Hunter's Choice,Once-in-a-Lifetime,Any Legal Weapon,Once-in-a-lifetime,"Book Cliffs, Bitter Creek",Sept 12 2026 - Sept 20 2026,Public,OIL,BONUS,False,5.0,0.0,5.0,10.0,0.0,10.0,FULL_SPLIT,True,4.0,4.0,100.0,2.5,3.8,False,False,bison bull.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE
BI6535,Bison,Hunter's Choice,Once-in-a-Lifetime,Any Legal Weapon,Once-in-a-lifetime,"Book Cliffs, Bitter Creek",Oct 03 2026 - Oct 15 2026,Public,OIL,BONUS,False,5.0,0.0,5.0,8.0,0.0,8.0,FULL_SPLIT,True,5.0,5.0,100.0,4.2,4.4,False,False,bison bull.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE
BI6537,Bison,Hunter's Choice,Once-in-a-Lifetime,Any Legal Weapon,Once-in-a-lifetime,"Book Cliffs, Little Creek/South",Nov 07 2026 - Jan 31 2027,Public,OIL,BONUS,False,5.0,5.0,10.0,8.0,7.0,15.0,FULL_SPLIT,True,11.0,10.0,90.9,3.7,4.6,False,False,bison bull.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE
BI6509,Bison,Hunter's Choice,Once-in-a-Lifetime,Archery,Once-in-a-lifetime,Henry Mtns,"Jan 18 - 31, 2027",Public,OIL,BONUS,False,4.0,0.0,4.0,5.0,0.0,5.0,FULL_SPLIT,True,3.0,2.0,66.7,7.0,4.3,False,False,bison bull.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE
BI6528,Bison,Hunter's Choice,Once-in-a-Lifetime,Archery,Once-in-a-lifetime,"Book Cliffs, Little Creek/South",Aug 15 2026 - Sept 11 2026,Public,OIL,BONUS,False,5.0,0.0,5.0,5.0,0.0,5.0,FULL_SPLIT,True,5.0,5.0,100.0,2.0,5.0,False,False,bison bull.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE
BI6532,Bison,Hunter's Choice,Once-in-a-Lifetime,Archery,Once-in-a-lifetime,"Book Cliffs, Bitter Creek",Aug 15 2026 - Sept 11 2026,Public,OIL,BONUS,False,5.0,0.0,5.0,5.0,0.0,5.0,FULL_SPLIT,True,3.0,3.0,100.0,2.0,5.0,False,False,bison bull.xlsx,hunt_join_2025.1.csv,official_uploaded_source,COMPLETE
BI1000,Bison,Hunter's Choice,Statewide,Any Legal Weapon,Statewide Permit,Bison - Statewide Permit,"Aug 1, 2026 - Jan 31, 2027",Public,STANDARD,NONE,False,,,,,,,MISSING,True,2.0,2.0,100.0,1.0,5.0,False,False,bison bull.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE
BR1007,Black Bear,Either Sex,Pursuit,Pursuit Only,Pursuit,Black Bear Pursuit - Resident,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",Public,STANDARD,NONE,False,,,,,,,MISSING,,,,,,,,,black bear.csv,,official_uploaded_source,MISSING_PURSUIT_SOURCE
BR1000,Black Bear,Either Sex,Statewide,Any Legal Weapon,Statewide Permit,Black Bear - Statewide Permit,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates,Public,STANDARD,NONE,False,,,,,,,MISSING,,,,,,,,,black bear.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE
CG9999,Cougar,Either Sex,Statewide,Any Legal Weapon,Statewide Permit,Cougar - Statewide,open,Public,STANDARD,NONE,False,,,,,,,MISSING,,,,,,,,,cougar.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE
