source_page,species,publish_year,label,url
https://wildlife.utah.gov/hunting/reports,bear,2020,2020,https://wildlife.utah.gov/pdf/annual-reports/bear/20_black_bear_report.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2020,2020,https://wildlife.utah.gov/pdf/annual-reports/cougar/20_cougar_annual_report.pdf
https://wildlife.utah.gov/odds,cougar,2020,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2020_cougar_odds_report.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2020,2020-21,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_20-21.pdf
https://wildlife.utah.gov/hunting/reports,bear,2021,2021,https://wildlife.utah.gov/pdf/annual-reports/bear/21_black_bear_report.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2021,2021,https://wildlife.utah.gov/pdf/annual-reports/cougar/21_cougar_annual_report.pdf
https://wildlife.utah.gov/odds,cougar,2021,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2021_cougar_odds_report.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2021,2021-22,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_21-22.pdf
https://wildlife.utah.gov/hunting/reports,bear,2022,2022,https://wildlife.utah.gov/pdf/annual-reports/bear/22_black_bear_report.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2022,2022,https://wildlife.utah.gov/pdf/annual-reports/cougar/22_cougar_annual_report.pdf
https://wildlife.utah.gov/odds,cougar,2022,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2022_cougar_odds_report.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2022,2022-23,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_22-23.pdf
https://wildlife.utah.gov/hunting/reports,bear,2023,2023,https://wildlife.utah.gov/pdf/annual-reports/bear/23_black_bear_report.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2023,2023,https://wildlife.utah.gov/pdf/annual-reports/cougar/23_cougar_annual_report.pdf
https://wildlife.utah.gov/odds,cougar,2023,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2023_cougar_odds_report.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2023,2023-24,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_23-24.pdf
https://wildlife.utah.gov/hunting/reports,bear,2024,2024,https://wildlife.utah.gov/pdf/annual-reports/bear/24_black_bear_report.pdf
https://wildlife.utah.gov/hunting/reports,cougar,2024,2024,https://wildlife.utah.gov/pdf/annual-reports/cougar/24_cougar_annual_report.pdf
https://wildlife.utah.gov/hunting/reports,mixed,2024,2024-25,https://wildlife.utah.gov/pdf/annual-reports/furbearer/harvest_24-25.pdf
