"filename","current_path","current_year_folder","publish_year_detected","expected_year_folder","status","rule"
"AC1194F9__2023_cougar_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\AC1194F9__2023_cougar_odds_report.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"AFB9D5C1__23_deer_odds (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\AFB9D5C1__23_deer_odds (1).pdf","2024","2024","2025","needs_manual_move","draw_results_next_year"
"C1465317__23_lifetime_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\C1465317__23_lifetime_deer.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"C22FEBA4__23_drawing_odds BEAR.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"CA455989__General Season Deer Draw Odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\CA455989__General Season Deer Draw Odds.pdf","2024","2024","2025","needs_manual_move","draw_results_next_year"
"CB1425A7__draw_reality_engine.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\CB1425A7__draw_reality_engine.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"CB58CE25__25_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\CB58CE25__25_youth_antlerless_drawing_odds_report.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"D133D488__23_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\D133D488__23_antlerless_drawing_odds_report.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"D527742A__2023 ELK + OTHER BIG GAME.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\D527742A__2023 ELK + OTHER BIG GAME.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"F6824B0F__22-23_sportsman_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\F6824B0F__22-23_sportsman_odds.pdf","2022","2022","2023","needs_manual_move","draw_results_next_year"
"FB56D764__23_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\FB56D764__23_dh_odds.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
