"source_path","restored_path","doc_type","publish_year","model_target_year","sha1"
"D:\DOCUMENTS\PDF FILES\(2025) Rule 657.72 (2026_02_17 01_48_10 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\340DEBE0__(2025) Rule 657.72 (2026_02_17 01_48_10 UTC).pdf","regulation","2026","2026","340DEBE09FD24DDAF49C5189D050D4F0FCC1A84E"
"D:\DOCUMENTS\PDF FILES\20240418-Press-Release-for-BLM-Public-Lands-Rule (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\4F0C206D__20240418-Press-Release-for-BLM-Public-Lands-Rule (2026_02_06 06_23_41 UTC).pdf","regulation","2026","2026","4F0C206D1769ACF0136787D9469F0A4D3C89DD3B"
"D:\DOCUMENTS\PDF FILES\24_bg-odds (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\36C65919__24_bg-odds (2026_02_06 06_23_41 UTC).pdf","draw_odds","2026","2027","36C659194AB735C1168BF820D28B9F3202D964FF"
"D:\DOCUMENTS\PDF FILES\final 657.72 rule 21 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\3F41691C__final 657.72 rule 21 (2026_02_06 06_23_41 UTC).pdf","regulation","2026","2026","3F41691C24113DBF0A81E7F470F8B6314939B20B"
"D:\DOCUMENTS\PDF FILES\Final Draft Rule 657.72 (1) (2025_12_24 23_43_27 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\regulation\B16F7F93__Final Draft Rule 657.72 (1) (2025_12_24 23_43_27 UTC).pdf","regulation","2025","2025","B16F7F93F25D3652D74DBAB92374EBB41BE40747"
"D:\DOCUMENTS\PDF FILES\Final Draft Rule 657.72 (1) - Copy (2025_12_24 23_43_27 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\regulation\6C0299DB__Final Draft Rule 657.72 (1) - Copy (2025_12_24 23_43_27 UTC).pdf","regulation","2025","2025","6C0299DBDA30640EFD1472B902E42EFAFEAB89F9"
"D:\DOCUMENTS\PDF FILES\Final Draft Rule 657.72 (2026_01_19 02_35_53 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\BFFAD65C__Final Draft Rule 657.72 (2026_01_19 02_35_53 UTC).pdf","regulation","2026","2026","BFFAD65C2736BBECC56CBDF9E029DFBD8CCF6A52"
"D:\DOCUMENTS\PDF FILES\Final Draft Rule 657.72 (2026_02_17 01_48_10 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\35103ACC__Final Draft Rule 657.72 (2026_02_17 01_48_10 UTC).pdf","regulation","2026","2026","35103ACC075ED06B3907EBAC2E4668A58DBBEB02"
"D:\DOCUMENTS\PDF FILES\Final Draft Rule 657.72 without cover pages (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\D05E71F5__Final Draft Rule 657.72 without cover pages (2026_02_06 06_23_41 UTC).pdf","regulation","2026","2026","D05E71F5C9B5DDCD34947386417F47BA9680C462"
"D:\DOCUMENTS\PDF FILES\final rule 657  6 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\654A87FF__final rule 657  6 (2026_02_06 06_23_41 UTC).pdf","regulation","2026","2026","654A87FF88B157AA3BD55C547E02EA1A7E685B62"
"D:\DOCUMENTS\PDF FILES\Guide-Outfitter-Regulation-19_30_8-NMAC new mexico.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2030\pdf\regulation\A6C6A3B6__Guide-Outfitter-Regulation-19_30_8-NMAC new mexico.pdf","regulation","2030","2030","A6C6A3B62EC4E90ABDE738E54DF4335B86625508"
"D:\DOCUMENTS\PDF FILES\HB 153 shipp's initial registration rule (2026_01_18 23_35_20 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\B7191F33__HB 153 shipp's initial registration rule (2026_01_18 23_35_20 UTC).pdf","regulation","2026","2026","B7191F33F03ABAE53A7185F131F08F21B98FC42C"
"D:\DOCUMENTS\PDF FILES\memorandum-2025-04-28-overview-of-outfitters-guides-and-spotters-rule.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\regulation\BC51012E__memorandum-2025-04-28-overview-of-outfitters-guides-and-spotters-rule.pdf","regulation","2025","2025","BC51012E0698AE7DA8076E60DAFF6A7FBDAD64ED"
"D:\DOCUMENTS\PDF FILES\Outfitter Guide Licensing Rule r156-79 (2026_01_19 03_35_59 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\34B3EED6__Outfitter Guide Licensing Rule r156-79 (2026_01_19 03_35_59 UTC).pdf","regulation","2026","2026","34B3EED6EA9A7662FB6B9EF65EE4EBB346C3BB68"
"D:\DOCUMENTS\PDF FILES\UTAH STATE BULLETIN Rule 657.72 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\regulation\8DA4459F__UTAH STATE BULLETIN Rule 657.72 (2026_02_06 06_23_41 UTC).pdf","regulation","2026","2026","8DA4459F411CC2F214296F275EF81119AA91467F"
