"file_name","size_bytes","year_bucket","format_bucket","path"
"LOA_2024_ GEO PRIVATE LOA.geojson","2111267","2024","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\geojson\LOA_2024_ GEO PRIVATE LOA.geojson"
"LOA_2024_gdb_-2965368397397759606.geojson","519618","2024","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\geojson\LOA_2024_gdb_-2965368397397759606.geojson"
"LOA_2024_gdb_ .KMZ","854831","2024","kmz","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\kmz\LOA_2024_gdb_ .KMZ"
"LOA_2024_gdb_-416225797007074243.kmz","206130","2024","kmz","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\kmz\LOA_2024_gdb_-416225797007074243.kmz"
"LOA_2024_gdb_ EXCEL.xlsx","4705","2024","xlsx","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\xlsx\LOA_2024_gdb_ EXCEL.xlsx"
"LOA_2024_gdb_-9038420874631206616.xlsx","3776","2024","xlsx","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\xlsx\LOA_2024_gdb_-9038420874631206616.xlsx"
"conservation-permit-hunt-table-2025-27.csv","83112","2025","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\csv\conservation-permit-hunt-table-2025-27.csv"
"conservation-permit-workbook-2025-27-raw.csv","26840","2025","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\csv\conservation-permit-workbook-2025-27-raw.csv"
"deer_2025_bonus_random_audit.csv","17743","2025","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\csv\deer_2025_bonus_random_audit.csv"
"deer_2025_bonus_random_summary.csv","102","2025","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\csv\deer_2025_bonus_random_summary.csv"
"hunt_history_2025_2026_dwr_aligned.csv","396102","2025","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\csv\hunt_history_2025_2026_dwr_aligned.csv"
"Utah_Big_Game_Hunt_Boundaries_2025_elk.csv","19075","2025","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\csv\Utah_Big_Game_Hunt_Boundaries_2025_elk.csv"
"Utah_Big_Game_Hunt_Boundaries_2025_hunt table.csv","112438","2025","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\csv\Utah_Big_Game_Hunt_Boundaries_2025_hunt table.csv"
"Utah_Big_Game_Hunt_Boundaries_2025_elk.geojson","55450","2025","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\geojson\Utah_Big_Game_Hunt_Boundaries_2025_elk.geojson"
"Utah_Big_Game_Hunt_Boundaries_2025_hunt table.geojson","379116","2025","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\geojson\Utah_Big_Game_Hunt_Boundaries_2025_hunt table.geojson"
"conservation-permit-hunt-table-2025-27.json","234204","2025","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\json\conservation-permit-hunt-table-2025-27.json"
"conservation-permit-hunt-table-2025-27-audit.json","932","2025","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\json\conservation-permit-hunt-table-2025-27-audit.json"
"conservation-permit-hunt-table-2025-27-summary.json","395","2025","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\json\conservation-permit-hunt-table-2025-27-summary.json"
"conservation-permit-workbook-2025-27-raw.json","80079","2025","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\json\conservation-permit-workbook-2025-27-raw.json"
"conservation-permit-workbook-2025-27-summary.json","1661","2025","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\json\conservation-permit-workbook-2025-27-summary.json"
"conservation-permit-hunt-table-2025-27.html","77618","2025","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\other\conservation-permit-hunt-table-2025-27.html"
"Utah_Big_Game_Hunt_Boundaries_2025_-hunt table.xlsx","67394","2025","xlsx","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\xlsx\Utah_Big_Game_Hunt_Boundaries_2025_-hunt table.xlsx"
"GOAT .CSV 2026.csv","17599","2026","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\csv\GOAT .CSV 2026.csv"
"hunt_master_canonical_2026_built.csv","367463","2026","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\csv\hunt_master_canonical_2026_built.csv"
"L.E. ELK 2026.csv","34608","2026","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\csv\L.E. ELK 2026.csv"
"PRONGHORN 2026 L.E. .CSV","37332","2026","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\csv\PRONGHORN 2026 L.E. .CSV"
"2026MountainGoatOnce_in_a_Lifetime2 GEO.geojson","1394759","2026","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\geojson\2026MountainGoatOnce_in_a_Lifetime2 GEO.geojson"
"PRONGHORN 2026 GEO.geojson","4922026","2026","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\geojson\PRONGHORN 2026 GEO.geojson"
"2026MountainGoatOnce_in_a_Lifetime2_.KMZ","569598","2026","kmz","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\kmz\2026MountainGoatOnce_in_a_Lifetime2_.KMZ"
"PRONGHORN 2026 .KMZ","1994970","2026","kmz","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\kmz\PRONGHORN 2026 .KMZ"
"2026 LE BULL ELK .XLS","9041","2026","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\other\2026 LE BULL ELK .XLS"
"hunt-unit-authority-review-register-2026-03-28.html","460196","2026","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\other\hunt-unit-authority-review-register-2026-03-28.html"
"hunt-unit-permit-checklist-2026-03-28.html","1150855","2026","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\other\hunt-unit-permit-checklist-2026-03-28.html"
"uoga-outfitter-review-checklist-template-2026-03-28.html","2478","2026","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\other\uoga-outfitter-review-checklist-template-2026-03-28.html"
"2026PronghornLimitedEntry_-6120172427821280967.txt","4931839","2026","txt","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\txt\2026PronghornLimitedEntry_-6120172427821280967.txt"
"2026MountainGoatOnce_in_a_Lifetime EXCEL.xlsx","6091","2026","xlsx","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\xlsx\2026MountainGoatOnce_in_a_Lifetime EXCEL.xlsx"
"PRONGHORN 2026 EXCEL.xlsx","9346","2026","xlsx","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\xlsx\PRONGHORN 2026 EXCEL.xlsx"
"point_ladder_view.csv","2873050","unknown","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\csv\point_ladder_view.csv"
"Utah_Big_Game_Hunt_Boundaries_deer.csv","197113","unknown","csv","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\csv\Utah_Big_Game_Hunt_Boundaries_deer.csv"
"cwmu-boundaries.geojson","1796419","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\cwmu-boundaries.geojson"
"GENERAL BULL ELK.geojson","3382556","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\GENERAL BULL ELK.geojson"
"hunt_boundaries.geojson","88138885","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\hunt_boundaries.geojson"
"hunt-boundaries-lite.geojson","5060392","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\hunt-boundaries-lite.geojson"
"Utah_Big_Game_Hunt_Boundaries deer.geojson","21212867","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\Utah_Big_Game_Hunt_Boundaries deer.geojson"
"utah-black-bear-habitat.geojson","1902452","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\utah-black-bear-habitat.geojson"
"utah-elk-habitat.geojson","9483138","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\utah-elk-habitat.geojson"
"utah-migration-corridors-lite.geojson","3292225","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\utah-migration-corridors-lite.geojson"
