"file_name","size_bytes","year_bucket","format_bucket","path"
"utah-migration-stopovers-lite.geojson","1149560","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\utah-migration-stopovers-lite.geojson"
"utah-mule-deer-habitat.geojson","9803573","unknown","geojson","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\geojson\utah-mule-deer-habitat.geojson"
"bighorn_sheep_hunt_table_official.json","28594","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\bighorn_sheep_hunt_table_official.json"
"bison_hunt_table_official.json","7982","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\bison_hunt_table_official.json"
"black_bear_hunt_table_official.json","53897","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\black_bear_hunt_table_official.json"
"conservation-permit-areas.json","22437","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\conservation-permit-areas.json"
"cougar_hunt_table_official.json","40773","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\cougar_hunt_table_official.json"
"dwr-GetCWMUBoundaries.json","511","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\dwr-GetCWMUBoundaries.json"
"elk_antlerless_hunt_table_official.json","43110","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\elk_antlerless_hunt_table_official.json"
"elk_hunt_table_official.json","49228","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\elk_hunt_table_official.json"
"hunt_boundaries_arcgis.json","88110587","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\hunt_boundaries_arcgis.json"
"hunt-master-canonical.json","2028323","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\hunt-master-canonical.json"
"logo-sourcing-approved.json","15444","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\logo-sourcing-approved.json"
"manifest.json","244","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\manifest.json"
"moose_hunt_table_official.json","13509","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\moose_hunt_table_official.json"
"mountain_goat_hunt_table_official.json","7054","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\mountain_goat_hunt_table_official.json"
"outfitters.json","8293","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\outfitters.json"
"outfitters-master.json","273356","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\outfitters-master.json"
"outfitters-public.json","2","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\outfitters-public.json"
"package.json","407","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\package.json"
"package-lock.json","13211","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\package-lock.json"
"pronghorn_hunt_table_official.json","38228","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\pronghorn_hunt_table_official.json"
"turkey_hunt_table_official.json","5312","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\turkey_hunt_table_official.json"
"utah-hunt-planner-master-all.json","761787","unknown","json","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\json\utah-hunt-planner-master-all.json"
"GENERAL ELK .KMZ","1373002","unknown","kmz","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\kmz\GENERAL ELK .KMZ"
"Utah_Turkey_Habitat_4260097535588659570.kmz","582954","unknown","kmz","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\kmz\Utah_Turkey_Habitat_4260097535588659570.kmz"
"blm-surface-ownership-shapefile","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\blm-surface-ownership-shapefile"
"cwmu-boundaries-shapefile","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\cwmu-boundaries-shapefile"
"hunt-boundaries-shapefile","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\hunt-boundaries-shapefile"
"logo-review-assets","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\logo-review-assets"
"sitla-ownership-shapefile","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\sitla-ownership-shapefile"
"usfs-surface-ownership-shapefile","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\usfs-surface-ownership-shapefile"
"utah-state-parks-shapefile","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\utah-state-parks-shapefile"
"wma-boundaries-shapefile","2","unknown","other","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\other\wma-boundaries-shapefile"
"hunt-research.txt","38010","unknown","txt","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\txt\hunt-research.txt"
"Utah_Big_Game_Hunt_Boundaries_deer.xlsx","37104","unknown","xlsx","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\xlsx\Utah_Big_Game_Hunt_Boundaries_deer.xlsx"
"Utah_Turkey_Habitat_1487432346387562039.xlsx","9274","unknown","xlsx","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\unknown\xlsx\Utah_Turkey_Habitat_1487432346387562039.xlsx"
