boundary_id,hunt_number,hunt_name,species,gender,weapon,hunt_type,years,season_date_text,quota_total,quota_resident,quota_nonresident,source
1,BI6500,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2026,Dec 07 2026 - Dec 09 2026,2,2,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
1,DB0009,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,Premium Limited Entry,2026,"Nov 9, 2026 - Nov 16, 2026",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
1,DB1002,Antelope Island,Deer,Buck,Any Legal Weapon,Premium Limited Entry,2026,Nov 11 2026 - Nov 18 2026,1,1,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
1,DB1121,Antelope Island,Deer,Buck,Any Legal Weapon,Management Buck Deer,2026,"Nov 16 2026 - Nov 20, 2026",2,2,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
1,RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,2026,Nov 9 2026 - Nov 16 2026,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
1,RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,2026,"Nov 11, 2026 - Nov 18, 2026",2,2,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
6,DA1041,"Nine Mile, Green River Valley",Deer,Antlerless,Any Legal Weapon,General Season,2025,Oct 04 2025 - Oct 26 2025,15,,,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
6,DB0008,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,2026,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",2000,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,BR1000,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,2026,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.,0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,BR1007,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit Only,Pursuit,2026,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026 ",0,0,0,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
7,BR1008,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,2026,"July 5 - 16, 2026",28,26,2,dwrapps.utah.gov/huntboundary/BoundaryToHuntNumbers
