hunt_code,year,residency,points,point_creep_1yr,point_creep_3yr,forecast_applicants
BI6500,2026,Resident,32,-1.0,-3.0,0
BI6500,2026,Resident,31,-1.0,-3.0,1
BI6500,2026,Resident,30,-1.0,-3.0,3
BI6500,2026,Resident,29,-1.0,-3.0,11
BI6500,2026,Resident,28,-1.0,-3.0,15
BI6500,2026,Resident,27,-1.0,-3.0,23
BI6500,2026,Resident,26,-1.0,-3.0,24
BI6500,2026,Resident,25,-1.0,-3.0,32
BI6500,2026,Resident,24,-1.0,-3.0,40
BI6500,2026,Resident,23,-1.0,-3.0,38
BI6500,2026,Resident,22,-1.0,-3.0,36
BI6500,2026,Resident,21,-1.0,-3.0,39
BI6500,2026,Resident,20,-1.0,-3.0,31
BI6500,2026,Resident,19,-1.0,-3.0,46
BI6500,2026,Resident,18,-1.0,-3.0,40
BI6500,2026,Resident,17,-1.0,-3.0,36
BI6500,2026,Resident,16,-1.0,-3.0,52
BI6500,2026,Resident,15,-1.0,-3.0,54
BI6500,2026,Resident,14,-1.0,-3.0,62
BI6500,2026,Resident,13,-1.0,-3.0,86
BI6500,2026,Resident,12,-1.0,-3.0,69
BI6500,2026,Resident,11,-1.0,-3.0,90
BI6500,2026,Resident,10,-1.0,-3.0,107
BI6500,2026,Resident,9,-1.0,-3.0,150
BI6500,2026,Resident,8,-1.0,-3.0,157
BI6500,2026,Resident,7,-1.0,-3.0,179
BI6500,2026,Resident,6,-1.0,-3.0,182
BI6500,2026,Resident,5,-1.0,-3.0,248
BI6500,2026,Resident,4,-1.0,-3.0,254
BI6500,2026,Resident,3,-1.0,-3.0,283
BI6500,2026,Resident,2,-1.0,-3.0,336
BI6500,2026,Resident,1,-1.0,-3.0,34
BI6500,2026,Resident,0,-1.0,-3.0,489
BI6500,2026,Nonresident,32,-1.0,-3.0,0
BI6500,2026,Nonresident,31,-1.0,-3.0,0
BI6500,2026,Nonresident,30,-1.0,-3.0,0
BI6500,2026,Nonresident,29,-1.0,-3.0,0
BI6500,2026,Nonresident,28,-1.0,-3.0,0
BI6500,2026,Nonresident,27,-1.0,-3.0,0
BI6500,2026,Nonresident,26,-1.0,-3.0,0
BI6500,2026,Nonresident,25,-1.0,-3.0,0
BI6500,2026,Nonresident,24,-1.0,-3.0,0
BI6500,2026,Nonresident,23,-1.0,-3.0,0
BI6500,2026,Nonresident,22,-1.0,-3.0,0
BI6500,2026,Nonresident,21,-1.0,-3.0,0
BI6500,2026,Nonresident,20,-1.0,-3.0,0
BI6500,2026,Nonresident,19,-1.0,-3.0,0
BI6500,2026,Nonresident,18,-1.0,-3.0,0
BI6500,2026,Nonresident,17,-1.0,-3.0,0
BI6500,2026,Nonresident,16,-1.0,-3.0,0
BI6500,2026,Nonresident,15,-1.0,-3.0,0
BI6500,2026,Nonresident,14,-1.0,-3.0,0
BI6500,2026,Nonresident,13,-1.0,-3.0,0
BI6500,2026,Nonresident,12,-1.0,-3.0,0
BI6500,2026,Nonresident,11,-1.0,-3.0,0
BI6500,2026,Nonresident,10,-1.0,-3.0,0
BI6500,2026,Nonresident,9,-1.0,-3.0,0
BI6500,2026,Nonresident,8,-1.0,-3.0,0
BI6500,2026,Nonresident,7,-1.0,-3.0,0
BI6500,2026,Nonresident,6,-1.0,-3.0,0
BI6500,2026,Nonresident,5,-1.0,-3.0,0
BI6500,2026,Nonresident,4,-1.0,-3.0,0
BI6500,2026,Nonresident,3,-1.0,-3.0,0
BI6500,2026,Nonresident,2,-1.0,-3.0,0
BI6500,2026,Nonresident,1,-1.0,-3.0,0
BI6500,2026,Nonresident,0,-1.0,-3.0,0
BI6503,2026,Resident,32,-2.0,-6.0,0
BI6503,2026,Resident,31,-1.0,-3.0,0
BI6503,2026,Resident,30,0.0,0.0,0
BI6503,2026,Resident,29,1.0,3.0,10
